comment,symbol,side,gl_price,ic_price,gl_time,ic_time,time_diff_sec,gl_adv_bps,abs_price_diff_bps
CF191B1790039100,BTCUSD,buy,85898.62,85874.86,2026-09-22 04:10:00,2026-09-22 04:10:00,0.0,-2.76643402695163,2.76643402695163
CF191S1790028300,SOLUSD,sell,119.07,119.012,2026-09-22 01:10:01,2026-09-22 01:10:00,1.0,4.872270898261332,4.872270898261332
CF191S1790056500,BTCUSD,sell,85386.76,85383.44,2026-09-22 09:00:00,2026-09-22 09:00:00,0.0,0.3888266219741422,0.3888266219741422
