comment,symbol,side
CF191S1789685400,BTCUSDT,SELL
CF191S1789697100,BTCUSDT,SELL
CF191B1789698900,SOLUSDT,BUY
CF191B1789709100,BTCUSDT,BUY
CF191B1789715100,SOLUSDT,BUY
CF191B1789720200,BTCUSDT,BUY
CF191S1789728900,SOLUSDT,SELL
CF191B1789734900,BTCUSDT,BUY
CF191B1789740600,SOLUSDT,BUY
CF191B1789742400,ETHUSDT,BUY
CF191B1789747200,BTCUSDT,BUY
CF191B1789752300,SOLUSDT,BUY
CF191B1789754100,ETHUSDT,BUY
CF191B1789765200,BTCUSDT,BUY
CF191B1789772100,SOLUSDT,BUY
CF191B1789776600,BTCUSDT,BUY
CF191S1789788300,SOLUSDT,SELL
CF191S1789788600,BTCUSDT,SELL
CF191B1789801500,BTCUSDT,BUY
CF191B1789801500,SOLUSDT,BUY
CF191S1789814100,BTCUSDT,SELL
CF191B1789825800,BTCUSDT,BUY
CF191B1789832400,BTCUSDT,BUY
CF191S1789833300,BTCUSDT,SELL
CF191S1789833600,SOLUSDT,SELL
CF191S1789837200,BTCUSDT,SELL
CF191S1789838400,SOLUSDT,SELL
CF191B1789842900,BTCUSDT,BUY
CF191B1789851600,BTCUSDT,BUY
CF191B1789853100,BTCUSDT,BUY
CF191B1789858200,BTCUSDT,BUY
CF191B1789874100,SOLUSDT,BUY
CF191S1789910700,BTCUSDT,SELL
CF191S1789913100,BTCUSDT,SELL
CF191S1789917000,BTCUSDT,SELL
CF191B1789925700,ETHUSDT,BUY
CF191B1789941900,BTCUSDT,BUY
CF191B1789946400,BTCUSDT,BUY
CF191S1789952100,ETHUSDT,SELL
CF191B1789952700,BTCUSDT,BUY
CF191B1789956000,BTCUSDT,BUY
CF191B1789956000,ETHUSDT,BUY
CF191B1789967700,SOLUSDT,BUY
CF191B1789977900,SOLUSDT,BUY
CF191B1789979100,SOLUSDT,BUY
CF191S1789986300,ETHUSDT,SELL
CF191B1790013600,ETHUSDT,BUY
CF191B1790013600,BTCUSDT,BUY
CF191B1790017500,SOLUSDT,BUY
CF191B1790019000,BTCUSDT,BUY
CF191B1790021700,ETHUSDT,BUY
CF191S1790023200,ETHUSDT,SELL
CF191S1790023500,BTCUSDT,SELL
CF191S1790024400,BTCUSDT,SELL
CF191S1790028300,SOLUSDT,SELL
CF191S1790029500,BTCUSDT,SELL
CF191B1790039100,BTCUSDT,BUY
CF191B1790039100,ETHUSDT,BUY
CF191B1790040000,SOLUSDT,BUY
CF191S1790054100,ETHUSDT,SELL
CF191B1790055600,SOLUSDT,BUY
CF191S1790056500,BTCUSDT,SELL
CF191S1790061300,BTCUSDT,SELL
CF191S1790061300,ETHUSDT,SELL
CF191S1790061600,SOLUSDT,SELL
CF191S1790061600,BTCUSDT,SELL
CF191S1790067600,BTCUSDT,SELL
CF191S1790076300,BTCUSDT,SELL
CF191S1790087100,SOLUSDT,SELL
CF191S1790087700,SOLUSDT,SELL
CF191B1790088900,BTCUSDT,BUY
CF191B1790091600,ETHUSDT,BUY
CF191B1790091600,BTCUSDT,BUY
CF191S1790093100,SOLUSDT,SELL
CF191B1790097300,SOLUSDT,BUY
