available_time,close,atr14,bias,D14_CONCORDANCE,SETUP_CONFIRMATION_PCT,OB_CONFIRM,IMBALANCE_CONFIRM,LIQUIDITY_CONFIRM,PRICE_ACTION_CONFIRM,resolution,target_dir,D14_signed24
2022-07-20 00:00:00,1711.59,8.28021315384641,BEAR,-1,0,False,False,False,False,NO_BREAKOUT,0.0,1.8574401062194161
2022-07-20 04:00:00,1712.11,7.895912214285942,BEAR,-1,50,True,False,False,True,NO_BREAKOUT,0.0,2.2062048725012584
2022-07-20 08:00:00,1711.73,7.613347056122665,BEAR,-1,50,False,False,True,True,NO_BREAKOUT,0.0,2.521886872943665
2022-07-20 12:00:00,1707.95,7.508107980685323,BEAR,-1,50,False,True,False,True,NO_BREAKOUT,0.0,3.048704155412367
2022-07-20 16:00:00,1708.82,7.513243124922097,BEAR,-1,50,False,False,True,True,BEAR_FIRST,-1.0,0.2888233435174967
2022-07-20 20:00:00,1702.93,7.910868615999101,BEAR,-1,75,False,True,True,True,BEAR_FIRST,-1.0,-1.111129564485863
2022-07-21 00:00:00,1696.21,8.184378000570595,BEAR,-1,75,True,True,False,True,NO_BREAKOUT,0.0,-2.8041226832876034
2022-07-21 04:00:00,1694.69,7.986208143386986,BEAR,-1,75,True,True,False,True,BEAR_FIRST,-1.0,-2.804835486105916
2022-07-21 08:00:00,1692.53,7.754336133145059,BEAR,-1,50,False,True,False,True,BEAR_FIRST,-1.0,-2.6991349924253445
2022-07-21 12:00:00,1685.06,7.831169266491836,BEAR,-1,75,True,True,False,True,BULL_FIRST,1.0,-4.2394690844005725
2022-08-09 04:00:00,1789.01,8.453721906909015,BULL,1,75,True,True,False,True,NO_BREAKOUT,0.0,0.4424086859236996
2022-08-10 00:00:00,1793.72,8.083052147137293,BULL,1,25,False,True,False,False,NO_BREAKOUT,0.0,-0.22763678453461117
2022-08-10 04:00:00,1792.75,7.711405565198923,BULL,1,50,False,False,True,True,NO_BREAKOUT,0.0,-0.2969627236744733
2022-08-10 08:00:00,1790.4,7.499162310541858,BULL,1,50,False,False,True,True,BULL_FIRST,1.0,-0.6867433703575851
2022-08-10 12:00:00,1792.4,7.355650716931726,BULL,1,100,True,True,True,True,BULL_FIRST,1.0,-0.38473822492493726
2022-08-12 16:00:00,1793.37,8.046550496539552,BULL,1,75,False,True,True,True,BULL_FIRST,1.0,
2022-08-12 20:00:00,1797.17,8.058225461072444,BULL,1,50,False,True,False,True,NO_BREAKOUT,0.0,
2022-08-13 00:00:00,1801.0,7.844780785281551,BULL,1,75,True,True,False,True,NO_BREAKOUT,0.0,
2022-08-15 04:00:00,1801.19,7.493010729190001,BULL,1,25,False,False,False,True,BEAR_FIRST,-1.0,-3.1349214419901537
2022-08-15 08:00:00,1794.48,7.541367105676435,BULL,1,50,False,False,True,True,BEAR_FIRST,-1.0,-1.6561983822003183
2022-09-21 08:00:00,1661.99,7.747778514360746,BEAR,-1,75,True,True,False,True,BULL_FIRST,1.0,0.20134803764826747
