score_pct,n_all,n_resolved,accuracy,mean_signed24_atr
0,7,2,1.0,1.7490564617094677
25,72,42,0.5238095238095238,0.6288453409356777
50,212,104,0.5769230769230769,0.4665150434224258
75,94,64,0.65625,0.6179502817783545
100,12,8,0.875,0.9923343127841409
