year,n_hi,n_lo,effect,eligible,positive
2023,77,22,-0.210094089019508,True,False
2024,30,12,-0.20131461017983465,False,False
2025,44,6,1.442008492065893,False,False
2026,45,9,-1.1129692020763242,False,False
