model,class,quintile,n,mean_p,actual_rate
raw,SL,Q1,5400,0.1280438179106129,0.20796296296296296
raw,SL,Q2,5401,0.33758618605997,0.369561192371783
raw,SL,Q3,5401,0.5359483675663728,0.4730605443436401
raw,SL,Q4,5401,0.7237858627187018,0.5982225513793742
raw,SL,Q5,5401,0.9014905147851262,0.7478244769487132
raw,TIME,Q1,5400,0.0013208416276935273,0.010185185185185186
raw,TIME,Q2,5401,0.004305903209698146,0.03406776522866136
raw,TIME,Q3,5401,0.012216689536969711,0.07091279392705055
raw,TIME,Q4,5401,0.04904075725927963,0.18033697463432696
raw,TIME,Q5,5401,0.3789382125898827,0.39862988335493427
raw,TP,Q1,5400,0.06897887598348557,0.16185185185185186
raw,TP,Q2,5401,0.1915213021345193,0.25661914460285135
raw,TP,Q3,5401,0.3396847147318949,0.3364191816330309
raw,TP,Q4,5401,0.527271186337326,0.47398629883354937
raw,TP,Q5,5401,0.7997183401341958,0.6802443991853361
cal,SL,Q1,5400,0.25057799457159774,0.20685185185185184
cal,SL,Q2,5401,0.37225410806138476,0.36382151453434547
cal,SL,Q3,5401,0.46334686570030875,0.47231994075171263
cal,SL,Q4,5401,0.5560874294749668,0.5960007406035919
cal,SL,Q5,5401,0.6981356525153499,0.7576374745417516
cal,TIME,Q1,5400,0.03594078105878183,0.009814814814814814
cal,TIME,Q2,5401,0.05973536122895979,0.034993519718570634
cal,TIME,Q3,5401,0.09120677906420348,0.07331975560081466
cal,TIME,Q4,5401,0.15597144465100649,0.17904091834845398
cal,TIME,Q5,5401,0.35972193564121685,0.3969635252730976
cal,TP,Q1,5400,0.20199570260262228,0.16
cal,TP,Q2,5401,0.3026539578580322,0.25087946676541384
cal,TP,Q3,5401,0.37791495885908105,0.3369746343269765
cal,TP,Q4,5401,0.4633713675117545,0.4802814293649324
cal,TP,Q5,5401,0.6109909591970736,0.6809850027772635
