filename,bytes,sha256,category,storage
FXArena_TimeoutSweep_v009b_FINAL_report.md,2342,0e3548e6351ce27894290026ad134869e81db4d2fb1ab6202776382272d9c1fc,Reports,repository
ResearchOS-1.0.tar.gz,248,9d99a757b37aad7c57e99d29d74a6a99b7d6db3583c3cdb414208c1f309c5f88,Archive/LegacySnapshots,checkpoint-reference
C2_Control_Reference_2026-07-22.md,7692,2e35c8e46b1ca7ab4d7e5a6cc86bdff15fce82faa34b5c87184ea62284c27225,Specs,repository
S2R_SPEC_FROZEN.md,2416,fee59a1147468a5089baa3aee7c5b04e8f22bbf680e18724584cb97bf8dcfb0b,Specs,repository
weights_schedule_C2.1.pkl,54631,d81c3c670074763509db9da9dcdf44913e7e951710b69a3a8d72f482d2ee483b,Models,checkpoint-reference
FXArena_TrendBirthExecution_v002_report.md,5864,f8396943f3d72cb8257bedf26f66d91828c35764dd86266c5b216d3da2c5ef54,Reports,repository
FXArena_OS_Prototype_v001_report.md,1241,9b46f32aa08bca34a3011019709efb23a717ae1fba5d06027e8d3d51e2e4a9a9,Reports,repository
BattleOutcome_v002_tick_covered_candidates.csv,2392417,08e284662846e69e448d0f0082d9efb6ed10834edde22355440a612b7529c0d2,Results,release-v1.0
FXArena_Quant_Architecture_Report.md,4964,6c146a76bd9bd0a4e124b7a79433d3a56324756d97603bc3162db6ca4b86304c,Reports,repository
BattleOutcome_v002_RiskFirst_threshold_summary.csv,3475,fa6ed9791b4a37aecd970453416048457011a6b118413ec52bd2b06fe3c9d724,Results,repository
FXArena_GeoSweep_v009_report.md,8458,fc131f8514d383e84023b3aa8a3f349d361a6b2e0307e0c5433f11998d49d8ea,Reports,repository
Trades.csv,492404,1b8af211651202d9de59b5237b81002dbe3b7a8334362b9b11d3d8f8881e7c0d,Results,repository
weights_schedule_C2.pkl,54631,d81c3c670074763509db9da9dcdf44913e7e951710b69a3a8d72f482d2ee483b,Models,checkpoint-reference
C2_frozen_livewindow.csv,3040,5a383ab85c2bda1c9a65de153c6a04806ac019b762a26869a41ddf7f705bcaf4,Results,repository
wf_toolkit.py,8334,a2abc036822dfe81cdf05ee670de911ebddd3fa6cd71e537423854b156f58d26,Code/Python,repository
BattleOutcome_v002_RiskFirst_threshold_report.md,2472,abb36fc7fc1b1a0a4809711c5d8a4b5ed84036aa999880a8fc14c7c40cd97ead,Reports,repository
FXArena_TimeoutSweep_TZ_v009b_2026-07-22.md,6560,6f9d1435bf4a7ac25df8d370f947cd53b7fc9fe4274bc579e54e6945ea74e112,Specs,repository
BattleOutcome_v002_RiskFirst_threshold_trades.csv,1075955,6529151c988f61ce5946916a2c4561a1f903c9402adff5122475dad37cde0114,Results,release-v1.0
C2_SPEC_FROZEN.md,2257,9848525011838cce54e68028994f2273f78767d60ae9b01d0942f21a82d04346,Specs,repository
FXArena_MarketGeometry_v001_report.md,2174,bca1d58d40c7554a6438bdb4ea17328d04c82caa834ebe7ad8cc933bb0cd4444,Reports,repository
FXArena_LevelBattleEngine_v003_EVENT_STREAM.mq5,51705,36f0f3de539d0c39ce732876261801f6dfa937ddff6836a2925d232187023aae,Code/MQL5,repository
FXArena_ExecutionCore_v001.mq5,9163,8de175465203195b94df063056f09f045b52be802f9cf4557e37f92ef1347443,Code/MQL5,repository
ResearchOS-1.0.zip,326,9d775b0900f228270fc7e007cd48a380dd5b114bef82f21d334a8e55160ff4c6,Archive/LegacySnapshots,checkpoint-reference
C2_p_by_episode.csv,5064009,1e7121fee28c8344233d3d8afd0705054a9e9255b17ed9d574e93446e61c71bb,Results,release-v1.0
BattleOutcome_v002_RiskFirst_threshold_monthly.csv,5529,267d1c3e443cf9f62ee2dc62947c172c79a329d06461705e173813c8da7844c3,Results,repository
FXArena_TrendBirthExecution_v001_report.md,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Reports,repository
