period,window_min,bucket,flow_q,price_q,N,EV_R,PF,SumR,MaxDD_R,WR,mean_mfe60,mean_mae60,mean_ret60,impulse60_rate,mean_oi_ch15,mean_oi_ch30,mean_signed_flow,mean_price_response_atr,delta_EV_vs_control,delta_PF_vs_control
historical,5,ADVERSE_ABSORPTION_QCORNER,,,291,0.08073637855430454,1.1377973830719914,23.49428615930262,19.056898418966938,0.37800687285223367,1.0582263774277323,1.0597273040697561,-0.02904810378331738,0.26804123711340205,0.00016760548007465226,0.0001734797468784053,0.41917923347726244,0.2922183030747413,-0.05148382359396114,-0.08786012954630729
historical,5,SUPPORTIVE_ABSORPTION_QCORNER,,,232,0.10062939739881335,1.1640299060811619,23.346020196524698,15.13716306756421,0.3706896551724138,1.4282707542646547,1.3711522181043647,0.06375021134271201,0.3103448275862069,-0.001086112938850078,-0.002012891700963346,0.022695731739939808,0.7153813346393293,-0.031590804749452334,-0.061627606537136836
historical,5,FLOW_WITH_PRICE_WITH,,,561,0.13044119673662544,1.2115585594610618,73.17751136924687,19.326976432487815,0.37076648841354726,1.5185809976401945,1.1974566279233092,0.19198427879894878,0.2976827094474153,0.00020856585217482232,0.0004990845902462625,0.44163210526801067,0.8463625192251084,-0.0017790054116402498,-0.01409895315723686
historical,5,FLOW_AGAINST_PRICE_AGAINST,,,604,0.12293331178675107,1.211359744118167,74.25172031919764,41.58374121777554,0.3841059602649007,1.1978166526133338,1.1871704573936823,0.0009865448993344782,0.28311258278145696,-0.0010050409380227643,-0.001357478748975137,-0.007153986900927017,0.2513402620280516,-0.009286890361514616,-0.014297768500131758
historical,15,ADVERSE_ABSORPTION_QCORNER,,,100,0.2320390122653194,1.4408416090565421,23.20390122653194,6.124402373043238,0.44,0.9603982603233403,0.85497353587391,0.040399360492741516,0.25,-1.628008219079713e-05,-0.0004223252104448205,0.25287174926848893,0.25715051950255846,0.09981881011705371,0.21518409643824343
historical,15,SUPPORTIVE_ABSORPTION_QCORNER,,,55,0.03971733853619936,1.0616820212278484,2.1844536194909647,10.21979006798464,0.36363636363636365,1.1817014088355697,1.321404510035107,-0.1499169431700496,0.2,6.447564796098507e-05,-0.00020321080734861537,-0.09896878772495704,0.7613936144288342,-0.09250286361206633,-0.1639754913904503
historical,15,FLOW_WITH_PRICE_WITH,,,776,0.13295017139616166,1.2141469257610804,103.16933300342144,21.08224445396023,0.36726804123711343,1.5141907370363843,1.207226268159935,0.11968759858738817,0.31056701030927836,-0.0002223610555629644,-0.00013190379314861086,0.27212938384159624,1.2080374315948381,0.0007299692478959785,-0.011510586857218286
historical,15,FLOW_AGAINST_PRICE_AGAINST,,,914,0.10393896347419886,1.1779963669831008,95.00021261541775,22.56374517116359,0.3938730853391685,1.2163105161257475,1.1619333932103362,0.11753915639969197,0.30196936542669583,-0.0013409854592884968,-0.0013095039050508765,-0.13010480920974343,-0.448298791051865,-0.02828123867406683,-0.047661145635197855
historical,30,ADVERSE_ABSORPTION_QCORNER,,,32,0.30707347554204156,1.5191425188882062,9.82635121734533,6.281547775941894,0.40625,1.1692198783368009,1.031501753848671,0.1028759582713874,0.21875,-0.0007256457213761676,-0.001629117806073905,0.15957600912443776,-0.16980534080432824,0.17485327339377588,0.2934850062699075
historical,30,SUPPORTIVE_ABSORPTION_QCORNER,,,33,-0.03275767043371169,0.94942782044291,-1.0810031243124856,7.524405282965307,0.3333333333333333,1.1285058238476906,1.5369599310627795,-0.41923670830079923,0.3333333333333333,0.0007709638091473013,0.0007575339210939406,-0.11456993921537353,0.7632493809124428,-0.16497787258197738,-0.27622969217538873
historical,30,FLOW_WITH_PRICE_WITH,,,910,0.20770212186052658,1.347422187310532,189.0089308930792,18.68216389047882,0.389010989010989,1.696392239924283,1.18418781277942,0.21871453527936388,0.32857142857142857,0.00018374660325222634,0.00018720333591309662,0.1866592455875005,1.749463181283386,0.0754819197122609,0.1217646746922334
historical,30,FLOW_AGAINST_PRICE_AGAINST,,,915,0.10800384017497718,1.1850714000521287,98.82351376010412,14.198230306391082,0.4010928961748634,1.147518970179181,1.1467219362624046,0.0677331752119056,0.31256830601092894,-0.0013217961349058821,-0.0024610873829174957,-0.14437888130972562,-1.0315370775586126,-0.02421636197328851,-0.04058611256616995
forward_2026,5,ADVERSE_ABSORPTION_QCORNER,,,29,0.2141431675686309,1.3385259203088515,6.210151859490296,4.086350215396434,0.3793103448275862,1.3575518539916138,0.9092516217156196,0.17846544449433369,0.4482758620689655,0.00013711499231286738,0.0003126754940868938,0.4824638432942218,0.2937478046000127,0.1488897837789891,0.23303513249900099
forward_2026,5,SUPPORTIVE_ABSORPTION_QCORNER,,,25,0.5329733681308662,2.0884607567440776,13.324334203271654,8.114505793885415,0.52,2.215857455802624,1.1281546273216552,0.791012475939551,0.4,0.0002558468241253342,0.0005503190001164304,-0.0618787782317335,0.6308759673658697,0.46771998434122436,0.9829699689342271
forward_2026,5,FLOW_WITH_PRICE_WITH,,,54,0.17783446642436326,1.2936956263780095,9.603061186915616,7.275234592342757,0.4074074074074074,1.4623122086932785,1.0916363268536857,0.3500924765030767,0.2962962962962963,4.9445021991379724e-05,0.00035656722987205045,0.4934268894646362,0.9054237059288661,0.11258108263472148,0.18820483856815895
forward_2026,5,FLOW_AGAINST_PRICE_AGAINST,,,59,-0.1511302454391777,0.777589161208023,-8.916684480911483,14.937137672277908,0.3050847457627119,1.1357010361708548,1.1942976781550272,-0.17275705209678213,0.3050847457627119,0.00015297473743492072,0.0003618090322333696,-0.05393465331165139,0.2559264027160216,-0.21638362922881949,-0.32790162660182753
forward_2026,15,ADVERSE_ABSORPTION_QCORNER,,,8,0.2963371241651518,1.5841409036333691,2.3706969933212143,2.0249031482125783,0.5,1.1671987699277193,1.032078856462006,-0.053678488236521826,0.375,0.0009301734857971727,0.00012518629081016697,0.2529891206189878,0.2172485278458446,0.23108374037551,0.4786501158235186
forward_2026,15,SUPPORTIVE_ABSORPTION_QCORNER,,,6,-0.1859061581206519,0.7257406967266257,-1.1154369487239113,3.1996068334997956,0.3333333333333333,1.437467673007659,1.1860101071988514,0.06348611111270674,0.3333333333333333,0.00041205522681074064,7.584122005686404e-05,-0.16871224378939362,0.7190465529856825,-0.25115954191029366,-0.3797500910832249
forward_2026,15,FLOW_WITH_PRICE_WITH,,,86,0.11601437673107727,1.1884420982345387,9.977236398872645,11.865053980042765,0.36046511627906974,1.5325738799731157,1.0600996750689535,0.33236405164371086,0.32558139534883723,7.485555479287859e-05,0.0005765736750503904,0.304518288867246,1.2175943420245217,0.05076099294143549,0.08295131042468817
forward_2026,15,FLOW_AGAINST_PRICE_AGAINST,,,92,-0.050013941125402306,0.9207704970417758,-4.601282583537012,12.013245123096189,0.33695652173913043,1.2672476047529484,1.1768995290471245,0.09109669481930859,0.30434782608695654,-0.0004276105646450841,-0.0007157783359021662,-0.19895660007771845,-0.4447639453759093,-0.11526732491504409,-0.18472029076807472
forward_2026,30,ADVERSE_ABSORPTION_QCORNER,,,7,0.3168154063959458,1.5457620458564905,2.2177078447716205,3.0437948211742403,0.42857142857142855,1.6227351886571297,0.8574545401707858,0.38374449517872067,0.5714285714285714,0.00034758145354291906,0.0003163232665360941,0.14088198728262397,-0.2458766464029278,0.251562022606304,0.4402712580466399
forward_2026,30,SUPPORTIVE_ABSORPTION_QCORNER,,,6,0.06523457328022246,1.1194408020607898,0.39140743968133473,3.2769994250551546,0.3333333333333333,1.2141874530918555,1.293868944329049,-0.36565468233277976,0.3333333333333333,0.00024854962306475326,0.00022066653125838812,-0.15557227390233566,0.6364700740360519,-1.8810509419320276e-05,0.013950014250939224
forward_2026,30,FLOW_WITH_PRICE_WITH,,,92,0.12113225912902464,1.2044915657960822,11.144167839870267,11.447408524362164,0.3695652173913043,1.485050806750637,1.2326423159949613,0.11853725791314076,0.31521739130434784,-5.486752488987624e-05,0.0002250939811602411,0.2153166599355623,1.8055376692838776,0.055878875339382864,0.09900077798623164
forward_2026,30,FLOW_AGAINST_PRICE_AGAINST,,,92,0.1194010304143789,1.1918792618175504,10.984894798122859,10.658835981547792,0.3804347826086957,1.3401411982098879,1.173828173161691,0.23659174811701525,0.2826086956521739,-0.00040652893694240915,-0.0009751123846131314,-0.20303150566555409,-0.9873837263698384,0.05414764662473712,0.08638847400769989
