R,signal_ts,entry_ts,entry_k,side,signal_z,confirm_z,confirm_age_min,pre_fav_atr,pre_adv_atr,response_ratio,ret_15m,mfe_15m,mae_15m,impulse15,ret_30m,mfe_30m,mae_30m,impulse30,ret_60m,mfe_60m,mae_60m,impulse60,ret_120m,mfe_120m,mae_120m,impulse120,taker_delta_ratio_5m,signed_flow_5m,price_response_atr_5m,abs_price_response_atr_5m,flow_to_price_impact_5m,total_volume_5m,taker_buy_volume_5m,taker_sell_volume_5m,taker_delta_5m,taker_delta_ratio_15m,signed_flow_15m,price_response_atr_15m,abs_price_response_atr_15m,flow_to_price_impact_15m,total_volume_15m,taker_buy_volume_15m,taker_sell_volume_15m,taker_delta_15m,taker_delta_ratio_30m,signed_flow_30m,price_response_atr_30m,abs_price_response_atr_30m,flow_to_price_impact_30m,total_volume_30m,taker_buy_volume_30m,taker_sell_volume_30m,taker_delta_30m,oi_ch15,oi_ch30,period,entry_time
-1.0075244609322458,1609480800,1609482600,6,-1,1.5308934532624656,1.1340504996361362,30.0,0.7235458597491806,0.5364192574956477,1.348843928121293,-0.8868913949347352,0.07041676100033457,0.9468570064921893,0,-0.4714153720009466,0.07170173839086391,0.9468570064921893,0,0.800797909770111,2.5568480116504824,0.9468570064921893,0,0.3466868999614621,2.5568480116504824,0.9468570064921893,0,-0.5280077870781765,0.5280077870781765,0.5474860335195542,0.5474860335195542,1.036888110421719,533.191,125.831,407.36,-281.52900000000005,-0.3534184415056782,0.3534184415056782,0.9819797218329713,0.9819797218329713,2.77851076230959,1078.079,348.533,729.5459999999999,-381.01300000000003,-0.15953018694824397,0.15953018694824397,0.7995129323795817,0.7995129323795817,5.011640342392514,1897.6909999999998,797.476,1100.2149999999997,-302.73900000000003,0.0033986737452431637,0.002327971290379871,historical,2021-01-01 06:30:00+00:00
-1.006301499771922,1609494300,1609496100,51,1,-2.6529675654197464,-2.5250231348482304,30.0,0.7095695124704532,0.39987467343676847,1.7744797503615253,-0.20902934537245912,0.595356336665599,0.34911318929378204,0,-0.046694614640448794,0.595356336665599,0.47352466946147526,0,0.12176717188004502,0.595356336665599,0.47352466946147526,0,-0.18561754272814432,0.9546597871654313,0.5952918413414968,0,0.26003656293787947,0.26003656293787947,0.2801031925185437,0.2801031925185437,1.0771643502344996,1096.192,690.6210000000001,405.5709999999999,285.04999999999995,0.11181077900120087,0.11181077900120087,0.4955175749758245,0.4955175749758245,4.431711751679602,2008.572,1116.576,891.9959999999999,224.58,-0.002108543013850666,-0.002108543013850666,0.3640116091583268,0.3640116091583268,172.55472240590925,3279.9900000000002,1636.537,1643.4530000000002,-6.9160000000000466,0.007423535757387967,0.00958489652668515,historical,2021-01-01 10:15:00+00:00
-1.007711963229668,1609523700,1609524000,144,-1,1.3324157978786806,1.4897484308254758,5.0,0.5811998818745494,0.1388996160923291,4.1843159401095775,-0.9820154271336126,0.6532813595677107,1.4509342903106062,0,0.8232066988409094,0.9644020954502232,1.4509342903106062,0,0.3916078868126885,3.406302850307315,1.4509342903106062,0,1.306851462277778,3.406302850307315,1.4509342903106062,0,-0.23335746991033446,0.23335746991033446,0.2894650002062348,0.2894650002062348,1.2404306572521608,832.761,319.21500000000003,513.5459999999999,-194.33100000000002,-0.27054343905852807,0.27054343905852807,0.6627376974796948,0.6627376974796948,2.449644501235976,6535.213,2383.5769999999993,4151.636,-1768.0590000000002,-0.259068293280492,0.259068293280492,1.4225652765746801,1.4225652765746801,5.491060938026652,9052.998999999998,3353.8269999999993,5699.171999999999,-2345.3450000000003,-0.00878831642652289,-0.004379156191012368,historical,2021-01-01 18:00:00+00:00
1.995671028856499,1609550400,1609551600,236,1,-2.7280595046344773,-2.340443211329543,20.0,0.7611701073939101,0.37003775895498603,2.057006580859489,0.6570092418628908,1.041889811709494,0.023353409070943826,1,1.009113097223942,1.0922020684448113,0.023353409070943826,1,0.916191111657401,1.6154823152066526,0.023353409070943826,1,-0.14626608839176355,1.6154823152066526,0.293843245362948,1,0.2979485807154839,0.2979485807154839,0.30736364008825007,0.30736364008825007,1.031596149087237,1072.477,696.01,376.4670000000001,319.54300000000006,0.2182128785728578,0.2182128785728578,0.6348030177989067,0.6348030177989067,2.9090863603661994,2054.063,1251.143,802.9200000000001,448.223,0.09728355226452351,0.09728355226452351,0.8888225550619342,0.8888225550619342,9.136317476644837,3590.0930000000003,1969.6750000000002,1620.4180000000001,349.257,-0.011044990914511166,-0.008727340983663012,historical,2021-01-02 01:40:00+00:00
-1.0082676769302519,1609569900,1609570200,298,1,-1.7693657440117838,-1.7831570819650506,5.0,0.8719067632418385,0.04615338758233271,18.89150049484341,0.24912814092821375,0.680532951801852,0.29720110882590245,0,-0.011267101851011773,0.9286595725655085,0.29720110882590245,0,0.5510030105219289,0.9286595725655085,0.58805925660973,0,1.1186145637724176,1.5032817669677465,0.58805925660973,0,0.18887680238088508,0.18887680238088508,0.8590539211302928,0.8590539211302928,4.5481994723654795,849.432,504.93499999999995,344.49700000000007,160.438,0.02226917682629192,0.02226917682629192,0.46821067692031515,0.46821067692031515,21.024111329351946,2069.138,1057.608,1011.53,46.078,0.08921983234614998,0.08921983234614998,0.7740916271721989,0.7740916271721989,8.676130975431347,3825.0240000000003,2083.146,1741.8780000000002,341.26800000000003,0.0009364579715522847,0.0039693543964500755,historical,2021-01-02 06:50:00+00:00
2.7106413746186346,1609590300,1609591200,368,1,-2.1108522868294135,-1.8728890053614482,15.0,2.5205001872821016,0.5653326418301788,4.458437380625903,0.7836826959541413,1.9535331603251012,0.4304112787489795,1,1.0076589606121216,1.9535331603251012,0.4304112787489795,1,4.269759002996671,4.291828706974115,0.4304112787489795,1,3.3422588728686886,5.675401351843732,0.4304112787489795,1,0.24617546843992982,0.24617546843992982,1.5041752489162157,1.5041752489162157,6.110150407341852,7181.3369999999995,4474.603,2706.7339999999995,1767.8690000000001,0.10053792997906358,0.10053792997906358,1.4605563528475625,1.4605563528475625,14.52727170611137,16270.705000000004,8953.264,7317.441000000004,1635.823,0.10404092500199799,0.10404092500199799,3.7328509923187156,3.7328509923187156,35.87833454876033,36949.931,20397.118,16552.813,3844.3050000000003,0.007452059419216228,0.012411086421788786,historical,2021-01-02 12:40:00+00:00
-1.0037424981740641,1609637700,1609639200,528,-1,1.2289256354125728,1.041581688997658,25.0,0.46065202475893635,0.4631308697352091,0.9946476338916089,-0.1401709217430729,0.04139098281350236,0.5096335504666507,0,-0.7249270308074072,0.04139098281350236,0.8635132476478733,0,-0.5251032888016947,0.04139098281350236,1.196150352920264,0,-0.05006912870876355,0.5655509948874372,1.196150352920264,0,-0.22274809862140474,0.22274809862140474,0.6197328101291742,0.6197328101291742,2.7822012028991527,978.895,380.42400000000004,598.471,-218.047,0.06616679332376368,-0.06616679332376368,0.11221219953267966,0.11221219953267966,1.6958733833485642,3552.8999999999996,1893.992,1658.9079999999997,235.08399999999995,-0.02782035722986117,0.02782035722986117,0.17680778984872736,0.17680778984872736,6.35511015468923,7191.7840000000015,3495.853,3695.9310000000014,-200.07799999999992,0.0007625913974722565,-0.004230184615685806,historical,2021-01-03 02:00:00+00:00
-1.0041056506356585,1609652400,1609653000,574,-1,2.7841093006467523,1.5597679003017904,10.0,0.834996047328383,0.3169653849642904,2.6343445824158676,-0.5746368940437849,0.8584002196739366,0.6180808176536194,0,-0.19354148897134518,0.8584002196739366,0.8094790276998206,0,-0.11352574243231432,0.8584002196739366,0.8094790276998206,0,-2.4076166592550856,0.8584002196739366,3.0241665633907484,0,0.08285710859123423,-0.08285710859123423,0.19279304236255768,0.19279304236255768,2.3267854605958718,1334.1039999999998,722.322,611.7819999999998,110.53999999999994,-0.07746743392376952,0.07746743392376952,0.4131085077481234,0.4131085077481234,5.332604350239356,5958.194,2748.3140000000003,3209.88,-461.56600000000003,0.012190263340901205,-0.012190263340901205,0.01115865853095084,0.01115865853095084,0.9152996058672594,14558.012000000002,7367.7390000000005,7190.273000000002,177.46599999999987,-0.001992300070901676,0.005404741221407994,historical,2021-01-03 05:50:00+00:00
0.3642305094893833,1609660500,1609661400,602,-1,2.4203986165862514,1.6271153488362449,15.0,0.9275037819338693,0.4116728016070115,2.253012042719949,-0.20490818217553508,1.1427640815409734,0.3163699668669544,1,-0.5959903408771821,1.1427640815409734,0.6250575616330535,1,0.06678272589431837,1.1427640815409734,0.9775706182961639,1,0.1676644016398195,1.1427640815409734,0.9775706182961639,1,-0.22957527223454988,0.22957527223454988,0.2578761161340946,0.2578761161340946,1.1232698990365686,2101.8639999999996,809.664,1292.1999999999996,-482.53599999999983,-0.06501709228641071,0.06501709228641071,0.2813949570393592,0.2813949570393592,4.327948531614683,11896.887,5561.692999999998,6335.194000000002,-773.501,-0.09108461907709206,0.09108461907709206,0.6182063233559812,0.6182063233559812,6.787090318096762,21078.202,9579.151000000003,11499.050999999998,-1919.9,-0.0029310162030316,0.004954095890410182,historical,2021-01-03 08:10:00+00:00
2.0144864824588598,1609725300,1609726800,820,-1,1.1078176301865728,1.2068924164191932,25.0,0.4682426761019575,0.25283801608224976,1.8519472724295067,0.07983670206470073,0.22902457812435748,0.20971056139487468,0,-0.9254700927670506,0.22902457812435748,1.0830246596181132,0,-0.9144956022484569,0.22902457812435748,1.4896512649963194,0,-0.9118606379407722,0.22902457812435748,1.505596873744854,0,-0.3986721493803647,0.3986721493803647,0.3807659247502472,0.3807659247502472,0.9550829428619667,706.706,212.48100000000002,494.225,-281.744,-0.2274367691034541,0.2274367691034541,0.6714812651709409,0.6714812651709409,2.952373600118746,2272.9790000000003,878.01,1394.9690000000003,-516.9590000000001,-0.18646232622973077,0.18646232622973077,0.6398073643177694,0.6398073643177694,3.431277223540995,4868.281000000001,1980.2650000000003,2888.0160000000005,-907.7510000000001,0.0021368720843149003,-0.005754954585689531,historical,2021-01-04 02:20:00+00:00
