start,end,duration_hours,recovered,peak_states
2026-08-28 04:45:00+00:00,2026-08-30 15:00:00+00:00,58.25,True,5
2026-08-31 10:00:00+00:00,2026-09-01 08:30:00+00:00,22.5,True,3
2026-09-03 08:30:00+00:00,2026-09-04 10:00:00+00:00,25.5,True,2
