strategy,n,trades_per_week,ev,pf,positive_rate,gross_ev,total_R,tp_rate,kill_rate,hold_rate,max_dd_R,worst_day_R,max_consec_losses,stress10_ev,buy_ev,sell_ev,median_duration_min,paired_lift,paired_ci_low,paired_ci_high
HOLD_KILL_5M,2078,26.675054792374787,-0.18326542450542616,0.6602228704951432,0.32483156881616937,-0.14534712121999896,-380.82555212227555,0.21703561116458134,0.36236766121270453,0.3325312800769971,383.12872108722723,-8.135814837967107,20,-0.2591020310762806,-0.19287532822709108,-0.17401850109430572,5.0,-0.012914898560788767,-0.04133324468716182,0.015685022663574185
HOLD_KILL_3M,2086,26.777749902258808,-0.18227393073610984,0.6121794784195375,0.31351869606903165,-0.1443347020283476,-380.2234195155251,0.16155321188878236,0.5234899328859061,0.2641418983700863,381.64140581107984,-6.006490944787917,16,-0.25815238815163427,-0.1998507784041133,-0.16532600982082207,3.0,-0.01129789877004784,-0.045321374271343355,0.021672538846751667
HOLD_KILL_10M,2069,26.55952279375526,-0.18698762855527185,0.6915857686325979,0.333011116481392,-0.1490838204544484,-386.8774034808574,0.2721121314644756,0.20057999033349444,0.403093281778637,389.5538582280106,-8.284002513514555,17,-0.2627952447569187,-0.20085512285739313,-0.17360740613271225,6.0,-0.00890993541501467,-0.034407357668631997,0.011206092965774609
DEGRADE_ONLY,2062,26.469664572606742,-0.17445991451402787,0.7330899146343017,0.33802133850630456,-0.1365443566115096,-359.7363437279255,0.3215324927255092,0.06013579049466537,0.40397672162948595,363.8943071811562,-9.277744137676995,17,-0.2502910303190645,-0.1852521918949602,-0.16401776826949993,6.0,0.0012261892737651966,-0.007356834553545436,0.010265511270169949
