entry_ts,R,side,crowd,h1,h4,crowd_excursion_atr,confirm_bars,abs_z,trend_relation,response_bucket
1772376563,0.053937487481562664,-1,1,0,0,1.4713790479411262,3,4.549097940115028,0,2
1772466742,-1.0016101787878313,1,-1,0,-1,0.3146067415730286,1,3.877532800162209,0,1
1772533415,-1.0022251199374392,-1,1,-1,1,0.05016844409157331,1,2.5519917373480894,0,0
1772781648,2.219347859404499,-1,1,-1,1,0.7470326797385216,2,2.515547896685539,0,1
1772964172,2.217890902749247,-1,1,-1,-1,0.9088667926699033,3,4.179662842125073,1,2
1773049949,2.2194323888888925,1,-1,1,-1,0.4251578947368174,1,2.622142152138911,0,1
1773158745,-0.2838977375617715,1,-1,1,1,0.39022169387779865,1,2.6857364667246135,1,1
1773288103,-1.00352750937612,-1,1,0,1,0.017806476861337517,1,3.1511757744092206,0,0
1773316275,1.3224616129643092,1,-1,1,1,0.2471390309228121,1,2.5692911345465563,1,0
1773412535,-1.0025685134426676,1,-1,1,1,0.5155246012131922,1,2.6568987989935273,1,1
1773534370,-1.0063316103925888,-1,1,-1,1,0.6601808401052548,2,2.9655102301827085,0,1
1773559833,2.217239791389728,1,-1,1,1,0.06022314827265427,2,2.7278939129115796,1,0
1773756458,-1.0033072812093422,-1,1,1,1,0.6552280985062687,1,3.4030192326046187,-1,1
1773880174,2.218502725351408,-1,1,-1,0,0.45087054245362446,2,2.5580968882579866,0,1
1773930896,-1.0029507032160145,-1,1,-1,-1,3.1909989323551295,4,2.938989211678332,1,2
1774103657,2.2136218505818785,-1,1,1,-1,0.5596945137157564,1,2.7800131668961607,0,1
1774138524,0.9368780555555447,-1,1,-1,-1,0.1796259842519674,1,5.846732137449025,1,0
1774363929,-1.0023526473941227,-1,1,0,1,0.4049249378982435,1,2.7008959202631053,0,1
1774496162,2.218214969355915,-1,1,1,1,0.5603260078591162,3,3.8805348264188813,-1,1
1774657075,-1.0056002344258763,-1,1,-1,-1,0.5204037334490984,1,2.742350938075163,1,1
1774789629,-1.005115803612989,1,-1,-1,-1,0.7782760829924832,4,3.037105314077481,-1,2
1774831076,0.2996303225806422,1,-1,-1,-1,0.6520630157539492,4,3.2498951349280625,-1,1
1774947926,-1.00342490960836,-1,1,1,-1,0.42865608744320677,1,2.9199848615801836,0,1
1775027997,-1.0030545892784883,1,-1,1,0,0.0,1,3.2587819890848375,0,0
1775095028,0.5550521007748141,-1,1,1,1,0.023195750694420633,1,3.181081716850177,-1,0
1775291507,-1.0127736419979974,1,-1,0,-1,0.07380164276086915,1,2.70074978202724,0,0
1775376121,-1.006828621643911,-1,1,-1,-1,0.8749424985214541,4,3.607238339908504,1,2
1775436900,-0.18155763057595484,1,-1,1,1,0.2418676547475617,1,2.562964603461636,1,0
1775564568,-1.003179473701688,-1,1,0,1,0.44814394165822036,3,2.8707453354266996,0,1
1775603138,-0.1224372480196787,1,-1,1,1,0.043384928256687605,1,2.8467040591745496,1,0
1775755261,0.3934609523547987,1,-1,1,1,1.29548450889914,4,3.938566800175499,1,2
1775959905,0.5788146944075542,-1,1,1,1,0.0,1,5.015004660041408,-1,0
