period,cost_model,mode,N,WR,EV_R,PF,SumR,MaxDD_R,R_DD,TP_rate,SL_rate,TIME_rate
historical,GROSS,MARKET_RAW,5401,0.3919644510275875,0.06560299395308562,1.1140429829854377,354.32177034061544,31.480075608010736,11.255429458068111,0.2832808739122385,0.5610072208850213,0.15571190520274023
historical,GROSS,CONFIRM_CANONICAL,5283,0.38538709066818094,0.05634889270997758,1.0963519870670333,297.69120018681156,41.2978651411139,7.2083919875666025,0.2879045996592845,0.5705091803899299,0.14158621995078555
historical,IC,MARKET_RAW,5401,0.38715052768005925,0.04430349900893221,1.075028257932559,239.28319814724287,36.36957539492198,6.5792134098066,0.28142936493241993,0.5654508424365858,0.15311979263099426
historical,IC,CONFIRM_CANONICAL,5287,0.37734064686968033,0.023459692682994186,1.0388765119276402,124.03139521499025,75.45988527740805,1.643673254458605,0.28106676754303006,0.5791564214110081,0.1397768110459618
historical,GETLEVERAGED,MARKET_RAW,5401,0.3654878726161822,-0.01374895771963008,0.9773932564060749,-74.25812064372207,191.55476378192515,-0.3876600047820318,0.262173671542307,0.588224402888354,0.14960192556933902
historical,GETLEVERAGED,CONFIRM_CANONICAL,5289,0.36169408205709963,-0.019282689560538226,0.9686526225806227,-101.98614508568667,165.26957674964547,-0.6170896488721446,0.2665910380034033,0.5968992248062015,0.13650973719039516
forward_2026,GROSS,MARKET_RAW,552,0.3442028985507246,-0.06896823525025311,0.8911266097771574,-38.07046585813972,74.43801153204875,-0.5114385120530626,0.2608695652173913,0.6195652173913043,0.11956521739130435
forward_2026,GROSS,CONFIRM_CANONICAL,546,0.3498168498168498,-0.02092701674877058,0.9667652849338224,-11.426151144828737,57.05093368723443,-0.20027982727626106,0.2857142857142857,0.6245421245421245,0.08974358974358974
forward_2026,IC,MARKET_RAW,552,0.3496376811594203,-0.06889895581854374,0.8928114873917519,-38.032223611836145,72.25439636231589,-0.5263655296644587,0.266304347826087,0.6141304347826086,0.11956521739130435
forward_2026,IC,CONFIRM_CANONICAL,546,0.3498168498168498,-0.03151737766590308,0.9511556934735796,-17.208488205583084,58.96977044249931,-0.2918188094756595,0.2893772893772894,0.6263736263736264,0.08424908424908426
forward_2026,GETLEVERAGED,MARKET_RAW,552,0.33152173913043476,-0.10114502588556554,0.8436309340307838,-55.832054288832175,86.62647748003859,-0.6445148863602078,0.25,0.6268115942028986,0.12318840579710146
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,546,0.34065934065934067,-0.05188024330344684,0.9197841873335062,-28.32661284368197,64.15869770996457,-0.4415085382769939,0.28205128205128205,0.6355311355311355,0.08241758241758242
