sample,n,rho,p,mean
ALL_PRE_AUG,3194,-0.005044217225289092,0.7756697258471597,0.3454633616538879
LONG,1562,-0.02556969641667131,0.3125310468217346,0.3782140399663695
SHORT,1632,0.01601082075032547,0.5180518736147643,0.3141174305729467
2022_SHORT,253,0.1223925566616426,0.05184134990193916,0.9482916578013728
2025_H2,309,-0.04233977735387068,0.458340889201238,0.01128323816201421
2026_JAN_JUL,316,0.03736772750868506,0.5080596438412945,0.2016427678595414
AUG_REUSED,13,0.32417582417582413,0.27988186889314004,-5.530324619136746
