oi_up,div_positive,spot_trade_confirm,n,mean_atr,hit
0,0,0,414,0.515026656041245,0.5531400966183575
0,0,1,254,0.1631157533234032,0.484251968503937
0,1,0,202,0.11674829615952105,0.5297029702970297
0,1,1,633,0.13090490690995357,0.4913112164296998
1,0,0,491,0.30383587315144794,0.505091649694501
1,0,1,314,0.33728287490194964,0.47770700636942676
1,1,0,157,0.693135389049422,0.49044585987261147
1,1,1,720,0.5172293851077552,0.5208333333333334
