feature,quintile,n,mean_atr,hit
retail_ratio_level,1,639,0.3100124489466801,0.5039123630672926
retail_ratio_level,2,639,0.49286006451362824,0.5101721439749609
retail_ratio_level,3,638,0.4169729329790949,0.5203761755485894
retail_ratio_level,4,639,0.4408057570801661,0.5023474178403756
retail_ratio_level,5,639,0.06677751331219482,0.5054773082942097
crowd_change_strength,1,639,0.28348406991806435,0.49139280125195617
crowd_change_strength,2,638,0.21312531641077967,0.4952978056426332
crowd_change_strength,3,638,0.5060322317132347,0.49216300940438873
crowd_change_strength,4,638,0.5553246528339355,0.54858934169279
crowd_change_strength,5,638,0.1797362207548502,0.5172413793103449
oi_logchg_3h,1,637,0.23444612938562695,0.5321821036106751
oi_logchg_3h,2,637,0.25969904434764873,0.49607535321821034
oi_logchg_3h,3,637,0.29689637737165625,0.48822605965463106
oi_logchg_3h,4,637,0.14909617295679337,0.5039246467817896
oi_logchg_3h,5,637,0.7826504213674109,0.5227629513343799
futures_taker_imb_3h,1,639,0.3201498470672231,0.5289514866979655
futures_taker_imb_3h,2,639,0.3226954631990624,0.48200312989045385
futures_taker_imb_3h,3,638,0.2209925810638846,0.5141065830721003
futures_taker_imb_3h,4,639,0.6250138465444272,0.5164319248826291
futures_taker_imb_3h,5,639,0.2382702804408677,0.5007824726134585
spot_taker_imb_3h,1,639,0.4486985054568486,0.5007824726134585
spot_taker_imb_3h,2,639,0.5554873053285341,0.5477308294209703
spot_taker_imb_3h,3,638,0.13646944863912033,0.5078369905956113
spot_taker_imb_3h,4,639,0.3295020867674054,0.5039123630672926
spot_taker_imb_3h,5,639,0.2568323980509044,0.48200312989045385
spot_trade_confirmation,1,639,0.554949077172574,0.5258215962441315
spot_trade_confirmation,2,639,0.22898484312307418,0.5211267605633803
spot_trade_confirmation,3,638,0.4232150843566802,0.5094043887147336
spot_trade_confirmation,4,639,0.1769114722886746,0.49765258215962443
spot_trade_confirmation,5,639,0.3433780085157652,0.48826291079812206
futures_trade_confirmation,1,639,0.4226317632919894,0.5367762128325508
futures_trade_confirmation,2,639,0.30512669316986657,0.5242566510172144
futures_trade_confirmation,3,638,0.6582806119739264,0.5219435736677116
futures_trade_confirmation,4,639,0.3197234561072645,0.47730829420970267
futures_trade_confirmation,5,639,0.022043825589178667,0.48200312989045385
leveraged_vs_spot_divergence,1,639,0.10116591465384692,0.486697965571205
leveraged_vs_spot_divergence,2,639,0.6866981889863562,0.543035993740219
leveraged_vs_spot_divergence,3,638,0.2368525351569127,0.49216300940438873
leveraged_vs_spot_divergence,4,639,0.6057766372960924,0.5336463223787168
leveraged_vs_spot_divergence,5,639,0.09665356218171353,0.486697965571205
top_count_vs_retail_logdiv,1,548,0.11509534537411419,0.5091240875912408
top_count_vs_retail_logdiv,2,547,0.8074127141924229,0.546617915904936
top_count_vs_retail_logdiv,3,548,0.21663830999851266,0.5145985401459854
top_count_vs_retail_logdiv,4,547,0.5056639021890937,0.5100548446069469
top_count_vs_retail_logdiv,5,548,0.06839623042730729,0.46167883211678834
top_position_vs_retail_logdiv,1,548,0.12055745510144299,0.5218978102189781
top_position_vs_retail_logdiv,2,547,0.2750423326072069,0.5191956124314442
top_position_vs_retail_logdiv,3,548,0.743139916089753,0.5200729927007299
top_position_vs_retail_logdiv,4,547,0.5096263044907045,0.4990859232175503
top_position_vs_retail_logdiv,5,548,0.06387624575496469,0.48175182481751827
