slice,n,accept_rate,residual_mean,hit,long_n,short_n
2021,43,0.627906976744186,-0.9167189431804177,0.4418604651162791,29,14
2022,31,0.7096774193548387,1.6190049618196654,0.4838709677419355,14,17
2023,41,0.7804878048780488,0.567152075291842,0.4634146341463415,20,21
2024,53,0.7169811320754716,0.2591181861849616,0.4528301886792453,35,18
2025_H1,27,0.7407407407407407,1.0130039315595052,0.4444444444444444,16,11
2025_H2,36,0.8333333333333334,0.24493448703389736,0.4722222222222222,20,16
2026_JAN_JUL,33,0.6363636363636364,0.510055789197098,0.45454545454545453,22,11
POOLED_RECENT,69,0.7391304347826086,0.37173163154673255,0.463768115942029,42,27
AUG_REUSED,3,0.3333333333333333,-6.032620453601569,0.3333333333333333,3,0
LONG,156,0.7115384615384616,-0.2563538380768562,0.41025641025641024,156,0
SHORT,108,0.7314814814814815,1.3032270896596376,0.5277777777777778,0,108
2022_SHORT,17,0.5294117647058824,2.081212399189318,0.5294117647058824,0,17
