feature,n,rho,p,q_bh
fut_elasticity_15,954,-0.057968060423524835,0.0735165096579954,0.5881320772639632
fut_elasticity_30,954,-0.010126946783105552,0.754745806932987,0.8111868868141024
fut_elasticity_60,954,-0.011215039361087017,0.7293769678889253,0.8111868868141024
spot_elasticity_15,954,-0.03263454743876328,0.31397015861616817,0.8111868868141024
spot_elasticity_30,954,-0.007744553654585425,0.8111868868141024,0.8111868868141024
spot_elasticity_60,954,0.015747109140786912,0.6271290556117532,0.8111868868141024
fut_minus_spot_elasticity_60,954,-0.01010802595774156,0.7551893817870429,0.8111868868141024
fut_elasticity_accel_15_60,954,0.01300150250564458,0.6883712061702528,0.8111868868141024
