component_a,component_b,n11,n10,n01,n00,phi,jaccard_positive,agreement,critically_redundant
OB_CONFIRM,IMBALANCE_CONFIRM,65,53,158,121,-0.014241233964669598,0.23550724637681159,0.46851385390428213,False
OB_CONFIRM,LIQUIDITY_CONFIRM,23,95,103,176,-0.17110859553163704,0.10407239819004525,0.5012594458438288,False
OB_CONFIRM,PRICE_ACTION_CONFIRM,102,16,257,22,-0.08814440368190918,0.272,0.3123425692695214,False
IMBALANCE_CONFIRM,LIQUIDITY_CONFIRM,49,174,77,97,-0.23750241167557518,0.16333333333333333,0.3677581863979849,False
IMBALANCE_CONFIRM,PRICE_ACTION_CONFIRM,214,9,145,29,0.21301913864088798,0.5815217391304348,0.6120906801007556,False
LIQUIDITY_CONFIRM,PRICE_ACTION_CONFIRM,113,13,246,25,-0.017282234400532438,0.30376344086021506,0.34760705289672544,False
