component,other_pattern,n_present,n_absent,accuracy_present,accuracy_absent,effect,weight
OB_CONFIRM,001,16,30,0.4375,0.5333333333333333,-0.09583333333333333,16
OB_CONFIRM,011,7,27,0.7142857142857143,0.7037037037037037,0.010582010582010581,7
OB_CONFIRM,101,31,57,0.7419354838709677,0.5614035087719298,0.18053197509903796,31
OB_CONFIRM,111,8,26,0.875,0.5384615384615384,0.33653846153846156,8
IMBALANCE_CONFIRM,001,57,30,0.5614035087719298,0.5333333333333333,0.028070175438596467,30
IMBALANCE_CONFIRM,011,26,27,0.5384615384615384,0.7037037037037037,-0.16524216524216528,26
IMBALANCE_CONFIRM,101,31,16,0.7419354838709677,0.4375,0.30443548387096775,16
IMBALANCE_CONFIRM,111,8,7,0.875,0.7142857142857143,0.1607142857142857,7
LIQUIDITY_CONFIRM,001,27,30,0.7037037037037037,0.5333333333333333,0.1703703703703704,27
LIQUIDITY_CONFIRM,011,26,57,0.5384615384615384,0.5614035087719298,-0.022941970310391357,26
LIQUIDITY_CONFIRM,101,7,16,0.7142857142857143,0.4375,0.2767857142857143,7
LIQUIDITY_CONFIRM,111,8,31,0.875,0.7419354838709677,0.13306451612903225,8
PRICE_ACTION_CONFIRM,100,16,8,0.4375,0.5,-0.0625,8
