component,eligible_strata,weighted_conditional_accuracy_premium,total_weight
OB_CONFIRM,4,0.11015386550191307,62
IMBALANCE_CONFIRM,4,0.032174388718950384,79
LIQUIDITY_CONFIRM,4,0.10302242501414828,68
PRICE_ACTION_CONFIRM,1,-0.0625,8
