tier,N,mean_p,EV_net,weighted_total_R,mean_weight
LOW,1226,0.591150313620174,0.4336909803402579,372.1930565072833,0.6999999999999998
MID,1116,0.6330681214014638,0.47725168051907144,532.6128754592837,1.0
HIGH,1193,0.7437547315755918,0.6576326388096553,1019.924470144918,1.3
