sample,n,persist_n,persist_rate,persist_resid,persist_t,persist_pf,persist_win,second_n,second_resid,second_pf,unresolved_n,unresolved_resid,gap,median_persist_h,persist_mae,persist_mfe,plus05_first,second_first
LONG,320,148,0.4625,0.03258825337307025,0.09347983712507413,1.0230989877980199,0.4594594594594595,116,-0.10925458125682443,0.9297522943703375,56,2.1109961031292315,0.14184283462989467,0.5,1.9069694493388392,2.423219132095139,278,39
SHORT,374,195,0.5213903743315508,0.2844423050313992,0.8538902045974218,1.2086295960357198,0.5487179487179488,127,0.4329556825345619,1.4928512148038775,52,3.160011794767224,-0.14851337750316268,0.5,1.9337407526535615,2.559183835668902,322,46
