flow_id,signal_time,side,origin,entry,atr14,reaccept_time,state,class_time,class_close,residual_atr,class_delay_h,post_class_mae_atr,post_class_mfe_atr,audit_first_passage,plus05_time,second_fail_time
8,2021-01-05 01:00:00+00:00,-1,32524.09,32352.47142857143,343.23714285714334,2021-01-05 02:30:00+00:00,UNRESOLVED,2021-01-05 02:45:00+00:00,32358.11,1.4133959861153897,0.25,0.68553186884536,7.16155011528888,PLUS05_FIRST,2021-01-05 03:15:00+00:00,
11,2021-01-06 13:15:00+00:00,-1,34627.33,34426.46892857143,401.7221428571429,2021-01-06 20:00:00+00:00,SECOND_FAIL,2021-01-06 20:30:00+00:00,35420.8,-3.930901067013263,0.5,5.026359726250012,0.6788274055806272,SECOND_FAIL_FIRST,,2021-01-06 20:30:00+00:00
13,2021-01-07 13:15:00+00:00,-1,38389.09,38210.55607142857,357.06785714285746,2021-01-07 18:30:00+00:00,SECOND_FAIL,2021-01-07 19:30:00+00:00,39233.42,1.8338251032716733,1.0,2.5105872233169064,2.260606727412741,PLUS05_FIRST,2021-01-07 18:45:00+00:00,2021-01-07 19:30:00+00:00
14,2021-01-08 01:45:00+00:00,-1,38739.18,38440.298214285714,597.7635714285706,2021-01-08 09:00:00+00:00,SECOND_FAIL,2021-01-08 09:30:00+00:00,38900.0,-4.127501436903507,0.5,5.0193757923880655,0.3491179623095176,SECOND_FAIL_FIRST,,2021-01-08 09:30:00+00:00
24,2021-01-13 03:00:00+00:00,1,34085.22,34410.66785714286,650.8957142857151,2021-01-13 07:15:00+00:00,PERSIST2,2021-01-13 07:45:00+00:00,35019.26,-0.8991609364677705,0.5,1.5121623608785268,0.470321117931988,PLUS05_FIRST,2021-01-13 07:30:00+00:00,
28,2021-01-15 05:30:00+00:00,-1,38509.99,38357.10357142857,305.7728571428571,2021-01-15 08:45:00+00:00,SECOND_FAIL,2021-01-15 09:45:00+00:00,38733.28,9.83082680421041,1.0,0.3817212590111279,13.916473946580325,PLUS05_FIRST,2021-01-15 09:00:00+00:00,2021-01-15 09:45:00+00:00
34,2021-01-18 05:30:00+00:00,1,35322.13,35482.015,319.7699999999999,2021-01-18 07:00:00+00:00,PERSIST2,2021-01-18 07:30:00+00:00,36120.0,-1.3849016480595386,0.5,2.1381930762735823,4.465522094005075,PLUS05_FIRST,2021-01-18 07:15:00+00:00,
43,2021-01-22 19:15:00+00:00,-1,33593.5,33420.300357142856,346.3992857142865,2021-01-22 21:45:00+00:00,UNRESOLVED,2021-01-22 22:00:00+00:00,33390.74,0.9414569066663211,0.25,0.6915718648380711,3.843570281199009,PLUS05_FIRST,2021-01-22 22:45:00+00:00,
52,2021-01-27 12:15:00+00:00,1,30593.52,30758.01785714286,328.9957142857144,2021-01-27 16:15:00+00:00,SECOND_FAIL,2021-01-27 17:30:00+00:00,30338.49,-0.4155373278853042,1.25,2.525504023065869,4.061329500601395,PLUS05_FIRST,2021-01-27 16:30:00+00:00,2021-01-27 17:30:00+00:00
55,2021-01-29 01:15:00+00:00,-1,33953.58,33787.53428571429,332.091428571428,2021-01-29 03:30:00+00:00,PERSIST2,2021-01-29 04:00:00+00:00,33349.37,-12.270084830339345,0.5,15.079010083281739,4.183697260651126,PLUS05_FIRST,2021-01-29 03:45:00+00:00,2021-01-29 09:00:00+00:00
58,2021-01-30 13:15:00+00:00,1,33936.67,34095.95357142857,318.56714285714304,2021-01-30 17:00:00+00:00,PERSIST2,2021-01-30 17:30:00+00:00,34149.23,-0.10283546415423263,0.5,0.7595259129046775,2.134620645120775,PLUS05_FIRST,2021-01-30 17:15:00+00:00,
65,2021-02-03 01:45:00+00:00,1,35943.89,36060.14607142857,232.5121428571422,2021-02-03 11:15:00+00:00,UNRESOLVED,2021-02-03 11:30:00+00:00,36185.13,1.6872237087464115,0.25,1.3521874433593117,2.5450713787605723,PLUS05_FIRST,2021-02-03 11:30:00+00:00,
78,2021-02-09 19:45:00+00:00,-1,47162.5,46943.72928571429,437.5414285714277,2021-02-09 22:00:00+00:00,UNRESOLVED,2021-02-09 22:15:00+00:00,46949.79,0.6236666568716711,0.25,0.3742731300546288,2.879247352903733,PLUS05_FIRST,2021-02-09 22:30:00+00:00,
79,2021-02-10 08:00:00+00:00,-1,46667.01,46508.97607142857,316.06785714285746,2021-02-10 12:00:00+00:00,PERSIST2,2021-02-10 12:30:00+00:00,45174.22,0.214479259652654,0.5,3.6248545181301357,4.4427801444084105,PLUS05_FIRST,2021-02-10 12:15:00+00:00,
82,2021-02-11 21:00:00+00:00,-1,47300.0,47071.64964285714,456.7007142857146,2021-02-12 06:00:00+00:00,SECOND_FAIL,2021-02-12 06:30:00+00:00,47524.98,0.5704611178624456,0.5,0.6021886793633143,1.1968231774169154,SECOND_FAIL_FIRST,,2021-02-12 06:30:00+00:00
105,2021-02-24 02:00:00+00:00,-1,50298.69,49930.28785714286,736.8042857142864,2021-02-24 06:00:00+00:00,SECOND_FAIL,2021-02-24 08:15:00+00:00,50687.77,1.64004203481056,2.25,1.0149370931997894,2.1400119822476538,PLUS05_FIRST,2021-02-24 06:15:00+00:00,2021-02-24 08:15:00+00:00
107,2021-02-25 02:15:00+00:00,1,50528.79,50760.15642857143,462.7328571428557,2021-02-25 12:45:00+00:00,PERSIST2,2021-02-25 13:15:00+00:00,51480.0,-1.221547143831835,0.5,1.3312216551975418,0.7995974227647572,PLUS05_FIRST,2021-02-25 13:00:00+00:00,
116,2021-03-01 18:30:00+00:00,1,48459.99,48669.80107142857,419.6221428571423,2021-03-01 21:30:00+00:00,PERSIST2,2021-03-01 22:00:00+00:00,48690.05,0.41434896360840584,0.5,0.7865409526597988,3.650236352092264,PLUS05_FIRST,2021-03-01 21:45:00+00:00,
120,2021-03-03 22:15:00+00:00,-1,51052.01,50833.39142857143,437.2371428571428,2021-03-04 02:45:00+00:00,UNRESOLVED,2021-03-04 03:00:00+00:00,50955.95,4.416230486234984,0.25,0.2121503205191084,5.502620349859175,PLUS05_FIRST,2021-03-04 03:15:00+00:00,
123,2021-03-05 11:45:00+00:00,1,47492.7,47637.43535714285,289.470714285713,2021-03-05 12:30:00+00:00,PERSIST2,2021-03-05 13:00:00+00:00,47846.29,3.1930000320782614,0.5,3.236044110062955,5.6092375493203335,PLUS05_FIRST,2021-03-05 13:00:00+00:00,2021-03-05 16:30:00+00:00
124,2021-03-05 23:45:00+00:00,1,48770.57,48926.19571428571,311.25142857142885,2021-03-06 06:45:00+00:00,SECOND_FAIL,2021-03-06 08:45:00+00:00,48678.41,-1.5850850942738075,2.0,2.394880574271613,0.5430657805357133,PLUS05_FIRST,2021-03-06 07:15:00+00:00,2021-03-06 08:45:00+00:00
127,2021-03-07 16:15:00+00:00,1,50794.91,50944.5825,299.34499999999906,2021-03-07 23:15:00+00:00,PERSIST2,2021-03-07 23:45:00+00:00,50995.27,-1.794183968330843,0.5,2.907247490353938,2.923349312666009,PLUS05_FIRST,2021-03-07 23:30:00+00:00,2021-03-08 02:45:00+00:00
131,2021-03-09 16:30:00+00:00,-1,54295.6,54126.57928571429,338.0414285714272,2021-03-09 21:15:00+00:00,SECOND_FAIL,2021-03-09 22:00:00+00:00,54480.66,2.4075747266818635,0.75,4.169133960757141,3.7019722857300135,PLUS05_FIRST,2021-03-09 21:30:00+00:00,2021-03-09 22:00:00+00:00
133,2021-03-10 20:30:00+00:00,1,56125.11,56355.15678571429,460.0935714285718,2021-03-11 02:45:00+00:00,SECOND_FAIL,2021-03-11 03:30:00+00:00,55834.98,-2.076055957561427,0.75,3.213563700551595,0.9250509601307655,SECOND_FAIL_FIRST,,2021-03-11 03:30:00+00:00
