R,signal_ts,entry_ts,exit_ts,side,signal_price,signal_atr,orig_z,response_ratio,branch,first_touch_010_ts,first_close_010_ts,first_close_015_ts,first_close_020_ts,first_close_025_ts,first_close_030_ts,pre_entry_mfe_atr,pre_entry_mae_atr,entry_move_atr,first_touch_010_min,first_close_010_min,first_close_015_min,first_close_020_min,first_close_025_min,first_close_030_min,confirm_min,signal_time_utc
-1.0031913888803288,1772355300,1772355316,1772395809,1,66486.4,231.77857142857414,-1.0963588763731107,4.144230723053654,STRONG_RESPONSE_GE_2.50,1772355310,1772355310,1772355310,1772355310,1772355311,1772355316,0.37190668433546453,0.08974082406232353,0.37190668433546453,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.18333333333333332,0.26666666666666666,0.26666666666666666,2026-03-01 08:55:00+00:00
-0.22707844572258473,1772473500,1772473897,1772560297,1,68813.4,747.614285714284,-1.7725806035405864,4.134408546758367,STRONG_RESPONSE_GE_2.50,1772473545,1772473545,1772473631,1772473634,1772473879,1772473897,0.30858158332220303,0.07463741807271117,0.30055605449717865,0.75,0.75,2.183333333333333,2.2333333333333334,6.316666666666666,6.616666666666666,6.616666666666666,2026-03-02 17:45:00+00:00
1.489645608767459,1772560500,1772562095,1772648495,1,68246.2,713.6785714285683,-1.5307304724840411,0.706089741974621,MID_RESPONSE_0.50_1.00,1772560822,1772560829,1772560862,1772560895,1772562078,1772562095,0.308682380023025,0.43717159585647997,0.308682380023025,5.366666666666666,5.483333333333333,6.033333333333333,6.583333333333333,26.3,26.583333333333332,26.583333333333332,2026-03-03 17:55:00+00:00
2.219814706900016,1772742000,1772743582,1772818717,-1,71177.2,328.00714285714326,1.310039989473634,0.5775721274390048,MID_RESPONSE_0.50_1.00,1772742039,1772742039,1772742056,1772742556,1772742556,1772743582,0.3234685655799908,0.5600487794255256,0.3225539513512421,0.65,0.65,0.9333333333333333,9.266666666666667,9.266666666666667,26.366666666666667,26.366666666666667,2026-03-05 20:20:00+00:00
1.0662649657652123,1772841000,1772841151,1772927551,-1,68179.9,186.73571428571344,1.4641755672463772,3.0261779808835207,STRONG_RESPONSE_GE_2.50,1772841094,1772841094,1772841105,1772841120,1772841147,1772841151,0.3095283632329269,0.10228359407875251,0.3073862984354979,1.5666666666666667,1.5666666666666667,1.75,2.0,2.45,2.5166666666666666,2.5166666666666666,2026-03-06 23:50:00+00:00
1.989659963862268,1773049500,1773049574,1773135974,1,68314.5,288.5785714285729,-1.721315199550228,948.9972613419632,STRONG_RESPONSE_GE_2.50,1773049511,1773049511,1773049540,1773049542,1773049553,1773049574,0.3288532462067552,0.00034652607610739425,0.32850672013069826,0.18333333333333332,0.18333333333333332,0.6666666666666666,0.7,0.8833333333333333,1.2333333333333334,1.2333333333333334,2026-03-09 09:45:00+00:00
2.218665969925471,1773230700,1773231242,1773249985,1,69057.9,215.97142857142794,-1.26322625895534,0.5327999990794899,MID_RESPONSE_0.50_1.00,1773231085,1773231085,1773231092,1773231207,1773231210,1773231242,0.30837412356134547,0.5787802619394117,0.307911099351767,6.416666666666667,6.416666666666667,6.533333333333333,8.45,8.5,9.033333333333333,9.033333333333333,2026-03-11 12:05:00+00:00
-1.0032982517684526,1773290100,1773290139,1773308709,-1,69381.7,233.47857142856915,1.9654397295228239,322513537.4919849,STRONG_RESPONSE_GE_2.50,1773290111,1773290111,1773290111,1773290127,1773290128,1773290139,0.3225135374919849,0.0,0.3225135374919849,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.45,0.4666666666666667,0.65,0.65,2026-03-12 04:35:00+00:00
-0.5217340547002206,1773452700,1773455532,1773541932,-1,70780.0,192.53571428571428,1.6243126904061753,0.7102702687918345,MID_RESPONSE_0.50_1.00,1773453606,1773453606,1773453609,1773455471,1773455509,1773455532,0.34123539232051914,0.4804303468744204,0.31422741606381005,15.1,15.1,15.15,46.18333333333333,46.81666666666667,47.2,47.2,2026-03-14 01:45:00+00:00
2.218993965593681,1773835500,1773835513,1773903706,-1,72893.8,250.60000000000062,1.5380205739397343,334397446.1293005,STRONG_RESPONSE_GE_2.50,1773835501,1773835502,1773835504,1773835510,1773835510,1773835513,0.3343974461293005,0.0,0.3339984038307936,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.21666666666666667,0.21666666666666667,2026-03-18 12:05:00+00:00
