signal_ts,baseline_R,side,signal_atr,entry_move_atr,pre_entry_mfe_atr,pre_entry_mae_atr,ORACLE_EARLY_0.10_filled,ORACLE_EARLY_0.10_R,ORACLE_EARLY_0.15_filled,ORACLE_EARLY_0.15_R,ORACLE_EARLY_0.20_filled,ORACLE_EARLY_0.20_R,ORACLE_EARLY_0.25_filled,ORACLE_EARLY_0.25_R,ORACLE_EARLY_0.30_filled,ORACLE_EARLY_0.30_R,RETRACE_0.10_filled,RETRACE_0.10_R,RETRACE_0.20_filled,RETRACE_0.20_R,RETRACE_0.30_filled,RETRACE_0.30_R
1772355300,-1.0031913888803288,1,231.77857142857414,0.37190668433546453,0.37190668433546453,0.08974082406232353,True,-1.003189567218302,True,-1.003189567218302,True,-1.003189567218302,True,-1.0031902095938587,True,-1.0031913888803288,True,-1.0031902777692177,True,-1.0031891666581065,True,-1.0031880555469954
1772473500,-0.22707844572258473,1,747.614285714284,0.30055605449717865,0.30858158332220303,0.07463741807271117,True,-0.24021442620653602,True,-0.2646185984199489,True,-0.27983778325552033,True,-0.2326661205909987,True,-0.22707844572258473,True,-0.16882940521914455,True,-0.16114119631335536,True,-0.171911703705124
1772560500,1.489645608767459,1,713.6785714285683,0.308682380023025,0.308682380023025,0.43717159585647997,True,1.5275111502555034,True,1.5054029778645222,True,1.5111627292087204,True,1.5016963652437965,True,1.489645608767459,True,1.5279047947978084,False,,False,
1772742000,2.219814706900016,-1,328.00714285714326,0.3225539513512421,0.3234685655799908,0.5600487794255256,True,2.2198124406892044,True,2.219812999620122,True,2.2198140598951355,True,2.2198140598951355,True,2.219814706900016,True,2.2198135957889047,True,2.2198124846777936,True,2.2198113735666825
1772841000,1.0662649657652123,-1,186.73571428571344,0.3073862984354979,0.3095283632329269,0.10228359407875251,True,1.0975606693102482,True,1.0903020566372252,True,1.0874465474080606,True,1.0751897835409676,True,1.0662649657652123,True,0.9460387678452326,True,0.9833733361384072,True,0.9882199216701343
1773049500,1.989659963862268,1,288.5785714285729,0.32850672013069826,0.3288532462067552,0.00034652607610739425,True,2.2195906877992533,True,2.219590187261588,True,2.2195893941019027,True,1.992818006154955,True,1.989659963862268,True,2.2195893770781217,True,2.2195904881892328,True,2.219591599300344
1773230700,2.218665969925471,1,215.97142857142794,0.307911099351767,0.30837412356134547,0.5787802619394117,True,2.218668238744098,True,2.2186675802207776,True,2.2186667056194933,True,2.2186663815025462,True,2.218665969925471,False,,False,,False,
1773290100,-1.0032982517684526,-1,233.47857142856915,0.3225135374919849,0.3225135374919849,0.0,True,-1.003299988782488,True,-1.003299988782488,True,-1.0032995224061168,True,-1.0032989085025261,True,-1.0032982517684526,True,-1.0032993628795637,True,-1.0033004739906748,True,-1.003301585101786
1773452700,-0.5217340547002206,-1,192.53571428571428,0.31422741606381005,0.34123539232051914,0.4804303468744204,True,-0.26666106061542905,True,-0.27877929718254707,True,-0.4978436068344394,True,-0.5028057626909114,True,-0.5217340547002206,True,-0.46915782497577313,True,-0.4582477466559536,True,-0.43614205424679475
1773835500,2.218993965593681,-1,250.60000000000062,0.3339984038307936,0.3343974461293005,0.0,True,2.2189914338919867,True,2.2189922364103873,True,2.218993087700624,True,2.218993087700624,True,2.218993965593681,True,2.2189928544825697,True,2.2189917433714585,True,2.2189906322603474
