period,family,variant,N,EV,PF,SumR,MaxDD_R,R_DD,trades_per_month,no_fill
historical,BASELINE,MARKET_0.30,1006,0.0019086772739333416,1.0038379111781415,1.9201293375769417,43.98470845259128,0.04365447459192652,16.766666666666666,
historical,CAUSAL_EARLY,0.10,1011,0.06245597242827235,1.1330072715342812,63.14298812498334,25.831767669300156,2.4443928473398984,16.85,
historical,CAUSAL_EARLY,0.15,1010,0.031600582938017915,1.0644030346319788,31.916588767398096,34.8031271241054,0.9170609483908121,16.833333333333332,
historical,CAUSAL_EARLY,0.20,1007,0.04300595345576984,1.0886344667529673,43.30699512996023,34.60821018378847,1.251350326988205,16.783333333333335,
historical,CAUSAL_EARLY,0.25,1014,0.022988242341299467,1.0465607846854874,23.31007773407766,36.967398833539676,0.6305576932540073,16.9,
historical,CAUSAL_EARLY,0.30,1006,0.0019086772739333416,1.0038379111781415,1.9201293375769417,43.98470845259128,0.04365447459192652,16.766666666666666,
historical,CAUSAL_RETRACE,0.10,996,-0.019198430538356064,0.9626719213626708,-19.12163681620264,61.62701806771602,-0.31028009168302945,16.6,88.0
historical,CAUSAL_RETRACE,0.20,968,0.02357290248626104,1.0474798814634183,22.818569606700688,41.6465108658606,0.5479107164630694,16.133333333333333,191.0
historical,CAUSAL_RETRACE,0.30,934,0.0063942030580892385,1.012822843319798,5.972185656255348,48.21464801913923,0.12386662355980772,15.566666666666666,320.0
2026,BASELINE,MARKET_0.30,97,0.15654544843596743,1.3655535503153073,15.184908498288841,7.264802130649438,2.090202627023426,16.166666666666668,
2026,CAUSAL_EARLY,0.10,105,0.10710887434853156,1.2407731498845846,11.246431806595814,8.611030181296677,1.3060495167028074,17.5,
2026,CAUSAL_EARLY,0.15,100,0.07525591442046208,1.1662706911001444,7.525591442046207,7.420902842807934,1.014107259110626,16.666666666666668,
2026,CAUSAL_EARLY,0.20,102,-0.005061201807780362,0.98970726100957,-0.5162425843935969,9.164671038022231,-0.056329636083152196,17.0,
2026,CAUSAL_EARLY,0.25,102,0.06180022936090503,1.1326607857129047,6.3036233948123135,8.043289770155573,0.7837120848488826,17.0,
2026,CAUSAL_EARLY,0.30,97,0.15654544843596743,1.3655535503153073,15.184908498288841,7.264802130649438,2.090202627023426,16.166666666666668,
2026,CAUSAL_RETRACE,0.10,95,0.09100237712828461,1.1996808544969089,8.645225827187039,5.2541152062292875,1.6454199209292641,15.833333333333334,11.0
2026,CAUSAL_RETRACE,0.20,101,0.048449467456961964,1.100164543269816,4.893396213153158,8.264609886863198,0.5920904047668762,16.833333333333332,20.0
2026,CAUSAL_RETRACE,0.30,99,0.034195120444727715,1.069990352881757,3.385316924028044,8.92732178322922,0.3792085696280902,16.5,30.0
