signal_ts,baseline_R,side,signal_atr,entry_move_atr,pre_entry_mfe_atr,pre_entry_mae_atr,ORACLE_EARLY_0.10_filled,ORACLE_EARLY_0.10_R,ORACLE_EARLY_0.15_filled,ORACLE_EARLY_0.15_R,ORACLE_EARLY_0.20_filled,ORACLE_EARLY_0.20_R,ORACLE_EARLY_0.25_filled,ORACLE_EARLY_0.25_R,ORACLE_EARLY_0.30_filled,ORACLE_EARLY_0.30_R,RETRACE_0.10_filled,RETRACE_0.10_R,RETRACE_0.20_filled,RETRACE_0.20_R,RETRACE_0.30_filled,RETRACE_0.30_R
1609499100,-1.002425608972488,1,134.5064285714291,0.6089671762900305,0.7227907322538806,0.0,True,-1.0024213588658368,True,-1.0024213588658368,True,-1.0024213588658368,True,-1.002425608972488,True,-1.002425608972488,True,-1.0024244978613768,True,-1.0024233867502657,True,-1.0024222756391545
1609547400,2.219174612101505,1,106.17857142857143,0.6999529095190016,0.927023208879922,0.031362260343104235,True,2.219174612101505,True,2.219174612101505,True,2.219174612101505,True,2.219174612101505,True,2.219174612101505,True,2.219175723212616,True,2.219176834323727,False,
1609765200,-0.2115948490028303,-1,860.6778571428575,0.3200732977080351,0.4363885940400797,0.0,True,-0.17406457619552554,True,-0.17406457619552554,True,-0.17406457619552554,True,-0.1867027909065024,True,-0.2115948490028303,True,-0.188963208760057,True,-0.16655361572057262,True,-0.14666400024399343
1609858200,2.2210640196697513,1,308.8135714285714,0.6942052417200425,0.8004829543483264,0.0,True,2.2210640196697513,True,2.2210640196697513,True,2.2210640196697513,True,2.2210640196697513,True,2.2210640196697513,True,2.2210651307808598,True,2.221066241891971,True,2.2210673530030847
1610281800,-1.00087118204824,1,508.4314285714281,0.36242842130698305,0.41303504897415616,0.6500188254069906,True,-1.0008693404364137,True,-1.0008693404364137,True,-1.00087118204824,True,-1.00087118204824,True,-1.00087118204824,False,,False,,False,
1610300400,-1.0010176271144782,1,413.4521428571435,1.2100554045812921,1.2787211510055614,0.0,True,-1.0010176271144782,True,-1.0010176271144782,True,-1.0010176271144782,True,-1.0010176271144782,True,-1.0010176271144782,True,-1.001016516003367,True,-1.001015404892256,True,-1.0010142937811448
1610310600,-1.000489080374931,1,829.0214285714283,0.5220251070539327,0.5905034334800939,0.0,True,-1.000489080374931,True,-1.000489080374931,True,-1.000489080374931,True,-1.000489080374931,True,-1.000489080374931,False,,False,,False,
1610737500,-0.391313004168932,-1,715.9157142857132,0.3609363432646726,0.39226684705502346,0.0,True,-0.3663697681003071,True,-0.3663697681003071,True,-0.3663697681003071,True,-0.3663697681003071,True,-0.391313004168932,True,-0.3911273858410662,True,-0.35613009663503503,True,-0.33390898552392567
1610825400,-1.0011892673611311,1,341.4521428571435,0.5750146956381773,0.5750146956381773,0.14839561285517408,True,-1.0011854597671876,True,-1.0011854597671876,True,-1.0011854597671876,True,-1.0011892673611311,True,-1.0011892673611311,True,-1.00118815625002,True,-1.0011870451389089,True,-1.0011859340277978
1610924700,-1.0014987547926053,-1,266.7178571428558,0.6995782059694076,0.978149730185726,1.1125989207428988,True,-1.0015045861731884,True,-1.0015045861731884,True,-1.001504175835292,True,-1.0014987547926053,True,-1.0014987547926053,True,-1.0014998659037164,True,-1.0015009770148275,False,
1611005700,-1.0017220158687412,-1,233.30285714285648,0.3772349857940727,0.4242982756931754,0.05683599490543475,True,-1.0017236198877697,True,-1.0017236198877697,True,-1.0017236198877697,True,-1.0017220158687412,True,-1.0017220158687412,True,-1.0017231269798523,True,-1.0017242380909634,True,-1.0017253492020746
1611084900,-1.0011816080616656,1,343.7392857142856,0.41918397456545214,0.4201730963043014,0.0,True,-1.0011816080616656,True,-1.0011816080616656,True,-1.0011816080616656,True,-1.0011816080616656,True,-1.0011816080616656,True,-1.0011804969505544,True,-1.0011793858394433,True,-1.0011782747283322
1611356100,-1.0012963752441508,1,282.88714285714326,0.3142949485155734,0.3549118527832953,0.44752829245382486,True,-1.0012963752441508,True,-1.0012963752441508,True,-1.0012963752441508,True,-1.0012963752441508,True,-1.0012963752441508,True,-1.0012952641330397,True,-1.0012941530219286,True,-1.0012930419108175
