period,extra_bps_on_reduced_half,actions,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,delta_SumR_vs_control,delta_MaxDD_vs_control,delta_R_DD_vs_control,sumR_ratio_vs_control
historical,0.0,383,5297,0.3873890881631112,0.12981963962287024,1.2271517116499921,687.6546310823436,30.849809012140838,22.290401564940627,14,-12.715779697019684,-1.1271116869810953,0.38802962083423154,0.9818442077202123
historical,0.5,383,5297,0.3873890881631112,0.1296108394656292,1.226725413573853,686.5486166494379,30.885105422386403,22.229116827032357,14,-13.821794129925365,-1.091815276735531,0.3267448829259614,0.9802650227405457
historical,1.0,383,5297,0.3873890881631112,0.1294020393083882,1.2262993445769717,685.4426022165324,30.920401832632024,22.16797200523916,14,-14.927808562830933,-1.0565188664899097,0.2656000611327656,0.9786858377608794
historical,2.0,383,5297,0.3870115159524259,0.12898443899390621,1.2254475350259981,683.2305733507212,30.990994653123266,22.046100197751006,14,-17.139837428642068,-0.9859260459986672,0.1437282536446105,0.9755274678015465
forward_2026,0.0,33,544,0.3694852941176471,0.06742467933653493,1.1112153912978622,36.679025559075,27.3971721293728,1.3387887401616543,16,1.181184777509877,-0.23578071930326416,0.05416885259629489,1.0332748345111542
forward_2026,0.5,33,544,0.3694852941176471,0.06718593002212503,1.1107872273899158,36.54914593203602,27.4166630076154,1.3330997255896506,16,1.0513051504708955,-0.2162898410606644,0.04847983802429123,1.0296160309281928
forward_2026,1.0,33,544,0.3694852941176471,0.06694718070771516,1.1103593288454987,36.419266304997045,27.43615388585802,1.327418794066809,16,0.9214255234319211,-0.19679896281804687,0.042798906501449574,1.0259572273452315
forward_2026,2.0,33,544,0.3694852941176471,0.06646968207889536,1.1095043268610802,36.15950705091908,27.47513564234323,1.3160811113591722,16,0.6616662693539581,-0.1578172063328367,0.031461223793812776,1.0186396201793089
