period,subperiod,N,actions,control_SumR,modified_SumR,delta_SumR,control_MaxDD,modified_MaxDD,control_R_DD,modified_R_DD,delta_R_DD,control_PF,modified_PF
historical,2021,1071,96,112.22111982921871,113.9825761731435,1.7614563439247917,31.891715849898546,28.834856607085058,3.5188172488867733,3.952944095624067,0.4341268467372936,1.1804912641118583,1.1900085414135242
historical,2022,1009,78,216.8722127345361,211.96836566531775,-4.903847069218358,24.828725214397195,23.476307478705593,8.734730070184211,9.029033456713142,0.29430338652893084,1.3835542093569597,1.3854118429232278
historical,2023,1065,79,163.30801010243098,160.43463869776613,-2.8733714046648515,30.50700904361066,27.976207982413392,5.35313081229882,5.734681369205567,0.38155055690674633,1.259280558271631,1.2605130923724537
historical,2024,1075,67,96.07490408446488,100.31551297936738,4.240608894902508,31.976920699122232,27.171988453074334,3.0045076881684274,3.691872354230201,0.6873646660617738,1.1505812646557374,1.1605936086446924
historical,2025,1077,63,111.89416402871264,100.95353756674882,-10.940626461963816,22.657773501325117,22.974485698746214,4.93844481330739,4.394158759003608,-0.5442860543037815,1.1725088691355123,1.1584985429804708
forward_2026,2026-03,93,4,29.378691416246035,30.07538272534838,0.696691309102345,7.523688828700503,7.6153120454249965,3.904825423424688,3.9493303158097874,0.04450489238509947,1.5702590372343848,1.5961315413271169
forward_2026,2026-04,87,3,15.76698807700046,15.613316861809347,-0.15367121519111393,9.940697775032461,9.623196433338247,1.5861047618409236,1.6224668144275998,0.03636205258667613,1.3093584460165675,1.3071235653687396
forward_2026,2026-05,93,7,-5.500343693031695,-5.7904317742385825,-0.29008808120688734,12.546522619903602,12.111847734611175,-0.4383958694902473,-0.47807996774032036,-0.039684098250073074,0.9049085459111996,0.8971974070395434
forward_2026,2026-06,89,9,3.2720861915952923,3.27586047002919,0.00377427843389766,20.554913776706556,21.150556885927454,0.15918754158450027,0.15488294174461134,-0.0043045998398889285,1.0573658013609533,1.0598579654163467
forward_2026,2026-07,93,5,11.135041271421908,11.405715096577751,0.2706738251558427,13.17213572887135,13.17213572887135,0.8453482032542046,0.865897173499217,0.020548970245012455,1.2002315955000422,1.208934515708916
forward_2026,2026-08,89,5,-18.554622481666865,-17.900817820451074,0.6538046612157906,27.632952848676055,27.397172129372784,-0.671467236356387,-0.6533819525577761,0.018085283798610963,0.7079138071814668,0.715275544118418
