parent,family,raw_triggers_eval,valid_fills_eval,valid_rate
P0_BASELINE_E75,BOS_RETEST,337,152,0.45103857566765576
P0_BASELINE_E75,FVG_RETEST,382,212,0.5549738219895288
P0_BASELINE_E75,OB_RETEST,121,45,0.371900826446281
P0_BASELINE_E75,SWEEP_RECLAIM,117,115,0.9829059829059829
P1_PULLBACK_D14,BOS_RETEST,2970,1397,0.4703703703703704
P1_PULLBACK_D14,FVG_RETEST,3230,1968,0.6092879256965944
P1_PULLBACK_D14,OB_RETEST,1035,456,0.4405797101449275
P1_PULLBACK_D14,SWEEP_RECLAIM,1377,1340,0.9731299927378358
P2_G1_D14,BOS_RETEST,895,387,0.4324022346368715
P2_G1_D14,FVG_RETEST,979,561,0.5730337078651685
P2_G1_D14,OB_RETEST,313,121,0.3865814696485623
P2_G1_D14,SWEEP_RECLAIM,428,416,0.9719626168224299
P3_EXPANSION_D14,BOS_RETEST,1902,906,0.47634069400630913
P3_EXPANSION_D14,FVG_RETEST,2030,1251,0.6162561576354679
P3_EXPANSION_D14,OB_RETEST,688,317,0.46075581395348836
P3_EXPANSION_D14,SWEEP_RECLAIM,771,757,0.9818417639429312
P4_PULLBACK_OR_EXPANSION_D14,BOS_RETEST,4056,1932,0.47633136094674555
P4_PULLBACK_OR_EXPANSION_D14,FVG_RETEST,4401,2708,0.6153147012042718
P4_PULLBACK_OR_EXPANSION_D14,OB_RETEST,1431,648,0.4528301886792453
P4_PULLBACK_OR_EXPANSION_D14,SWEEP_RECLAIM,1835,1789,0.9749318801089918
P5_NONRANGE_D14,BOS_RETEST,4056,1932,0.47633136094674555
P5_NONRANGE_D14,FVG_RETEST,4401,2708,0.6153147012042718
P5_NONRANGE_D14,OB_RETEST,1431,648,0.4528301886792453
P5_NONRANGE_D14,SWEEP_RECLAIM,1835,1789,0.9749318801089918
P6_D14_ALL,BOS_RETEST,4146,1971,0.47539797395079597
P6_D14_ALL,FVG_RETEST,4498,2760,0.6136060471320587
P6_D14_ALL,OB_RETEST,1461,659,0.4510609171800137
P6_D14_ALL,SWEEP_RECLAIM,1865,1816,0.9737265415549597
