month,trades,net40_r,expectancy_net40,parent
2023-01,0,0.0,,P0_BASELINE_E75
2023-02,0,0.0,,P0_BASELINE_E75
2023-03,4,2.615030482259243,0.6537576205648108,P0_BASELINE_E75
2023-04,3,3.0798746774551047,1.026624892485035,P0_BASELINE_E75
2023-05,0,0.0,,P0_BASELINE_E75
2023-06,0,0.0,,P0_BASELINE_E75
2023-07,4,-2.856677382418017,-0.7141693456045043,P0_BASELINE_E75
2023-08,0,0.0,,P0_BASELINE_E75
2023-09,0,0.0,,P0_BASELINE_E75
2023-10,0,0.0,,P0_BASELINE_E75
2023-11,5,-2.8976734049752344,-0.5795346809950469,P0_BASELINE_E75
2023-12,6,5.522420384584649,0.9204033974307748,P0_BASELINE_E75
2024-01,0,0.0,,P0_BASELINE_E75
2024-02,0,0.0,,P0_BASELINE_E75
2024-03,2,0.1770893495750332,0.0885446747875166,P0_BASELINE_E75
2024-04,0,0.0,,P0_BASELINE_E75
2024-05,0,0.0,,P0_BASELINE_E75
2024-06,0,0.0,,P0_BASELINE_E75
2024-07,0,0.0,,P0_BASELINE_E75
2024-08,11,-1.3523378259352832,-0.12293980235775302,P0_BASELINE_E75
2024-09,6,1.3183780748066165,0.21972967913443608,P0_BASELINE_E75
2024-10,3,2.303693327934983,0.7678977759783278,P0_BASELINE_E75
2024-11,0,0.0,,P0_BASELINE_E75
2024-12,0,0.0,,P0_BASELINE_E75
2025-01,0,0.0,,P0_BASELINE_E75
2025-02,3,1.7349893716530511,0.5783297905510171,P0_BASELINE_E75
2025-03,10,-3.447247395192845,-0.3447247395192845,P0_BASELINE_E75
2025-04,3,-3.1878435298546144,-1.062614509951538,P0_BASELINE_E75
2025-05,0,0.0,,P0_BASELINE_E75
2025-06,4,0.7198603179615619,0.17996507949039048,P0_BASELINE_E75
2025-07,0,0.0,,P0_BASELINE_E75
2025-08,0,0.0,,P0_BASELINE_E75
2025-09,7,4.939643859219674,0.7056634084599535,P0_BASELINE_E75
2025-10,0,0.0,,P0_BASELINE_E75
2025-11,1,0.9217958797931157,0.9217958797931157,P0_BASELINE_E75
