block,n,expectancy_net40,cum_net40_r,parent
2023,22,0.24831703440480657,5.462974756905744,P0_BASELINE_E75
2024,22,0.111219223926425,2.44682292638135,P0_BASELINE_E75
2025,38,0.05983300619710025,2.2736542354898095,P0_BASELINE_E75
2026H1,16,-0.17526316951631504,-2.8042107122610407,P0_BASELINE_E75
2023,182,-0.37936802942199815,-69.04498135480367,P1_PULLBACK_D14
2024,196,-0.1988137838084583,-38.967501626457825,P1_PULLBACK_D14
2025,279,0.03871583489045812,10.801717934437816,P1_PULLBACK_D14
2026H1,54,0.18209959254472194,9.833377997414985,P1_PULLBACK_D14
2023,61,-0.4535405333188602,-27.66597253245047,P2_G1_D14
2024,57,-0.061732191446320805,-3.518734912440286,P2_G1_D14
2025,89,-0.06893642085482123,-6.1353414560790895,P2_G1_D14
2026H1,31,0.07039018960572388,2.1820958777774404,P2_G1_D14
2023,80,-0.17669997139198843,-14.135997711359074,P3_EXPANSION_D14
2024,139,0.05314244454654913,7.386799791970329,P3_EXPANSION_D14
2025,195,0.09414105332458093,18.35750539829328,P3_EXPANSION_D14
2026H1,30,0.07412896605740721,2.2238689817222164,P3_EXPANSION_D14
2023,213,-0.3432656503921216,-73.1155835335219,P4_PULLBACK_OR_EXPANSION_D14
2024,263,-0.09390694705018449,-24.69752707419852,P4_PULLBACK_OR_EXPANSION_D14
2025,348,0.04516487694338457,15.71737717629783,P4_PULLBACK_OR_EXPANSION_D14
2026H1,73,0.1156283880834946,8.440872330095106,P4_PULLBACK_OR_EXPANSION_D14
2023,213,-0.3432656503921216,-73.1155835335219,P5_NONRANGE_D14
2024,263,-0.09390694705018449,-24.69752707419852,P5_NONRANGE_D14
2025,348,0.04516487694338457,15.71737717629783,P5_NONRANGE_D14
2026H1,73,0.1156283880834946,8.440872330095106,P5_NONRANGE_D14
2023,214,-0.3661395234001474,-78.35385800763154,P6_D14_ALL
2024,266,-0.08814623211832255,-23.446897743473798,P6_D14_ALL
2025,355,0.052115023788212825,18.50083344481555,P6_D14_ALL
2026H1,73,0.10634419723462966,7.763126398127966,P6_D14_ALL
