impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,raw_24h,cont_24h,rev_24h,parent_family,p_cont,p_rev,router_conf,router_side,source_row,filled,fill_time,signal_net_R,gross_R,cost_R,outcome,stop_frac,episode_7d,prior_virtual_fills,vf1_mature,real_R,real_fill
-1.0,1.7423062683528678,-1.9648542180614552,-2.061807290598228,-0.4001548216832669,1.5273209169957005,1.843968571047503,-0.01858091341012757,0.6087614290087207,0.7933533402912352,4325,2021-02-15 02:30:00+00:00,DEV_2021_2024,46365.2,46910.45,46020.41,46863.84,48399.99,0.03277922440398062,-0.03277922440398062,0.03277922440398062,RANGE60_EXTREME,0.1980706174698044,0.34975603407284117,0.34975603407284117,REV,3,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,1.7941243690618223,-1.6993775135045177,-1.4928673710430642,-0.33849664584368555,1.5330269334275741,3.864384803622787,-0.07215420370428015,-0.32143946530316186,0.9469301294951056,4886,2021-02-20 22:45:00+00:00,DEV_2021_2024,54856.84,56300.0,54691.02,55423.99,57328.47,0.03436182881062355,-0.03436182881062355,0.03436182881062355,RANGE60_EXTREME,0.1583322304072096,0.3206476334193139,0.3206476334193139,REV,5,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,-1.7350454621961553,-2.3078604837605337,-1.8668826523231896,-1.522078919471011,2.0134226406022555,4.122808379139653,-0.06545077170749855,0.49999999999999994,-0.8660254037844387,5027,2021-02-22 10:00:00+00:00,DEV_2021_2024,54747.23,55101.69,53505.7,54245.34,48488.9,-0.10619522694842887,0.10619522694842887,-0.10619522694842887,RANGE60_EXTREME,0.2030313340116705,0.32855438862005626,0.32855438862005626,REV,6,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,2.675352163524802,-1.774732004880551,-2.4381676363213165,-2.281924334516792,2.2679437473889394,3.973317036280316,-0.02755712032659327,-0.6087614290087207,-0.7933533402912352,5045,2021-02-22 14:30:00+00:00,DEV_2021_2024,51452.11,52498.57,50947.96,52199.34,46667.72,-0.10645944397119778,0.10645944397119778,-0.10645944397119778,RANGE60_EXTREME,0.2070944927770199,0.3553539065459073,0.3553539065459073,REV,7,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,-0.013550444189161867,-2.0484785781962986,-2.484114229820075,-2.2352854791496855,1.6597909966538569,2.732256680269474,-0.012336914599519857,0.9469301294951056,0.3214394653031617,5102,2021-02-23 04:45:00+00:00,DEV_2021_2024,50758.14,50783.42,49600.0,50754.5,50617.29,-0.002703405609354781,0.002703405609354781,-0.002703405609354781,RANGE60_EXTREME,0.23958241974167932,0.39566677386493504,0.39566677386493504,REV,8,True,2021-02-23 05:00:00+00:00,-1.0211939928343277,-1.0,0.021193992834327657,SL,0.0235915904996512,1,0,False,0.0,False
1.0,5.019786134188416,1.4557879291136164,-0.988368247530819,-3.0734689952960776,2.221933597583071,5.882347961658524,-0.002567197135759594,0.659345815100069,-0.7518398074789773,5120,2021-02-23 09:15:00+00:00,DEV_2021_2024,46986.47,48545.24,46500.12,48401.53,50717.02,0.04769827491466283,0.04769827491466283,-0.04769827491466283,RANGE60_EXTREME,0.26443554578632666,0.4211675263228387,0.4211675263228387,REV,9,False,,0.0,0.0,0.0,NO_FILL,,1,1,True,0.0,False
-1.0,3.2409129361072058,-1.782744993976408,-0.09794108525138082,-2.3336206469407723,1.572878826495721,4.992521899863881,0.01855973947523312,-0.7071067811865471,-0.7071067811865479,5143,2021-02-23 15:00:00+00:00,DEV_2021_2024,46977.89,48500.0,46635.0,47920.6,48914.08,0.020866217573087376,-0.020866217573087376,0.020866217573087376,RANGE60_EXTREME,0.17979914331177152,0.3651533866705299,0.3651533866705299,REV,10,False,,0.0,0.0,0.0,NO_FILL,,1,1,True,0.0,False
-1.0,2.0128738944747333,-2.047299801762711,-2.2804696479885145,-2.333927270483631,1.296440583056101,1.735380278714335,0.03308495582818164,0.8968727415326884,-0.44228869021900113,5402,2021-02-26 07:45:00+00:00,DEV_2021_2024,44399.99,44993.99,44106.78,44973.68,47158.53,0.04827039995340887,-0.04827039995340887,0.04827039995340887,RANGE60_EXTREME,0.22606892360338632,0.43561956410117203,0.43561956410117203,REV,11,False,,0.0,0.0,0.0,NO_FILL,,1,1,True,0.0,False
-1.0,1.0438438522628577,-2.2919733604369874,-2.7607904676304034,-1.8339577624175654,1.86573180932258,1.3211795760843688,0.04979517897131446,0.49999999999999994,-0.8660254037844387,7037,2021-03-15 10:00:00+00:00,DEV_2021_2024,55871.29,56404.23,55555.55,56189.7,55816.99,-0.006633242990576105,0.006633242990576105,-0.006633242990576105,RANGE60_EXTREME,0.2523369415716998,0.3771508517799441,0.3771508517799441,REV,12,False,,0.0,0.0,0.0,NO_FILL,,2,0,False,0.0,False
-1.0,0.4332435039672317,-2.1443934434766665,-1.5556331735870688,-2.4285044127060176,1.810939300360745,0.10715187914330114,-0.011593220333475533,-0.19509032201612792,-0.9807852804032305,8008,2021-03-25 12:45:00+00:00,DEV_2021_2024,50962.34,51321.5,50903.48,51076.92,53001.57,0.03768119971188555,-0.03768119971188555,0.03768119971188555,RANGE60_EXTREME,0.23064535535997577,0.32867261364183764,0.32867261364183764,REV,14,True,2021-03-25 13:00:00+00:00,-1.0608438711066461,-1.0,0.06084387110664609,SL,0.008217754572578208,3,0,False,0.0,False
-1.0,-0.938519313214579,-0.4884616449237802,-6.13910740660217,-4.695864211071075,2.872115905198056,2.5652196712270574,-0.0007981962293677812,0.9469301294951056,0.3214394653031617,10280,2021-04-18 04:45:00+00:00,DEV_2021_2024,55026.65,55363.71,54551.52,54829.24,56951.86,0.03823402069655102,-0.03823402069655102,0.03823402069655102,RANGE60_EXTREME,0.42516708730069674,0.4503620135746133,0.4503620135746133,REV,18,False,,0.0,0.0,0.0,NO_FILL,,4,0,False,0.0,False
-1.0,0.7471295717456066,-2.242417418166932,-0.7099188988759821,-4.279692558831861,2.6410964866382685,2.319273987755438,-1.1199907359379576e-05,0.7071067811865476,-0.7071067811865475,10297,2021-04-18 09:00:00+00:00,DEV_2021_2024,54954.85,55294.21,54522.0,55096.11,56662.77,0.02851829632984293,-0.02851829632984293,0.02851829632984293,RANGE60_EXTREME,0.30824491811383176,0.3562372145917125,0.3562372145917125,REV,19,True,2021-04-18 09:15:00+00:00,-1.0354243049170564,-1.0,0.03542430491705628,SL,0.01411460298715014,4,0,False,0.0,False
-1.0,1.923282488556733,-1.1872733993462359,-0.3162215885696365,-1.3823172453465944,1.3207168116760872,2.050699121546539,0.014358877952808621,0.9659258262890683,-0.25881904510252063,10471,2021-04-20 07:00:00+00:00,DEV_2021_2024,53856.36,54250.06,53520.53,54230.52,55407.72,0.021707333803917095,-0.021707333803917095,0.021707333803917095,RANGE60_EXTREME,0.220590949998167,0.37483193323984276,0.37483193323984276,REV,20,True,2021-04-20 07:15:00+00:00,1.463081878058476,1.5,0.03691812194152405,TP,0.013543484167259864,4,1,True,1.463081878058476,True
1.0,0.26317630798041164,0.9152024531428704,-2.140950792326375,-2.961756439485171,1.01652006103071,1.0314113119784263,0.03703377034856647,0.9978589232386035,0.06540312923014327,10754,2021-04-23 05:45:00+00:00,DEV_2021_2024,49454.65,49937.27,49450.01,49501.73,50456.09,0.019279120289509066,0.019279120289509066,-0.019279120289509066,RANGE60_EXTREME,0.29559111773423075,0.4299387724122369,0.4299387724122369,REV,26,False,,0.0,0.0,0.0,NO_FILL,,4,2,True,0.0,False
1.0,5.657549192996497,1.6232826764146482,-0.1933867821841984,-2.867501361745007,2.403109583484314,5.01298300381742,0.03943562263151543,0.49999999999999994,-0.8660254037844387,10771,2021-04-23 10:00:00+00:00,DEV_2021_2024,48226.86,49445.87,48130.03,49256.81,49153.95,-0.0020550127022198605,-0.0020550127022198605,0.0020550127022198605,RANGE60_EXTREME,0.2927691974756681,0.389182119328001,0.389182119328001,REV,27,False,,0.0,0.0,0.0,NO_FILL,,4,2,True,0.0,False
-1.0,2.619854150059059,-1.406466773361779,-3.364711126974958,-1.4366214346291617,1.848325433536127,2.7936520751191165,0.027574454089769124,-0.555570233019603,0.8314696123025448,10992,2021-04-25 21:45:00+00:00,DEV_2021_2024,47136.14,47754.61,46937.7,47598.87,53363.54,0.121109387680842,-0.121109387680842,0.121109387680842,RANGE60_EXTREME,0.23182433533291202,0.3660436373840392,0.3660436373840392,REV,28,False,,0.0,0.0,0.0,NO_FILL,,4,2,True,0.0,False
-1.0,0.38167077053678367,-2.393116917540836,-1.630658769839414,-1.024070632208301,1.3739888149241184,0.5238653359396914,-0.017528882395495937,0.3214394653031616,0.9469301294951057,11774,2021-05-04 01:15:00+00:00,DEV_2021_2024,55427.28,55739.12,55300.0,55508.87,54781.43,-0.013104932599060315,0.013104932599060315,-0.013104932599060315,RANGE60_EXTREME,0.20514276769341647,0.3299930253492027,0.3299930253492027,REV,30,False,,0.0,0.0,0.0,NO_FILL,,5,0,False,0.0,False
-1.0,-1.5276068632080142,-1.8348498962041826,-1.9051432713956065,-3.391562130050675,2.6575253113810087,2.5147050705195113,-0.013946791832711506,0.5555702330196025,-0.831469612302545,12672,2021-05-13 09:45:00+00:00,DEV_2021_2024,49552.89,49669.27,48747.89,49212.91,50413.21,0.02438973342772588,-0.02438973342772588,0.02438973342772588,RANGE60_EXTREME,0.31430021895564575,0.3322995902782547,0.3322995902782547,REV,34,False,,0.0,0.0,0.0,NO_FILL,,6,0,False,0.0,False
-1.0,2.1432093566831223,-1.5183400373811622,-2.805320597869566,-1.8954101946568687,2.811049400776051,2.771633323286674,-0.0024038208676383467,0.7933533402912352,0.6087614290087207,13031,2021-05-17 03:30:00+00:00,DEV_2021_2024,43250.01,43934.8,43000.0,43694.99,44682.14,0.022638877000378477,-0.022638877000378477,0.022638877000378477,RANGE60_EXTREME,0.3000702413171722,0.34722601057582536,0.34722601057582536,REV,38,True,2021-05-17 03:45:00+00:00,-1.0231213040222507,-1.0,0.023121304022250676,SL,0.021625077872719785,6,0,False,0.0,False
-1.0,2.5040192931917846,-1.4342314060909054,-2.9934967754167348,-2.8246454189588728,2.531393707157392,2.455295299223575,0.0026033178833531814,0.9659258262890683,0.25881904510252074,13229,2021-05-19 05:00:00+00:00,DEV_2021_2024,39307.66,39941.0,39163.43,39794.56,39507.06,-0.007283727664420425,0.007283727664420425,-0.007283727664420425,RANGE60_EXTREME,0.3026556985448224,0.39714578490879754,0.39714578490879754,REV,41,True,2021-05-19 05:30:00+00:00,-1.0253390530756072,-1.0,0.025339053075607347,SL,0.019732386940746624,6,1,True,-1.0253390530756072,True
-1.0,1.2769967790981331,-2.2522790191384083,0.17514215032601424,-2.949274688951208,1.5348083150685663,1.8763046185432095,0.004960676354782632,0.32143946530316175,-0.9469301294951056,13252,2021-05-19 10:45:00+00:00,DEV_2021_2024,39185.23,39549.78,38886.01,39432.27,40399.99,0.02453742377465029,-0.02453742377465029,0.02453742377465029,RANGE60_EXTREME,0.21598453452965327,0.36209016536324584,0.36209016536324584,REV,42,True,2021-05-19 11:00:00+00:00,-1.0294532631785107,-1.0,0.02945326317851077,SL,0.01697604767830283,6,2,True,-1.0294532631785107,True
