impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,raw_24h,cont_24h,rev_24h,parent_family,p_cont,p_rev,router_conf,router_side,source_row,filled,fill_time,signal_net_R,gross_R,cost_R,outcome,stop_frac,episode_7d,prior_virtual_fills,vf1_mature,real_R,real_fill
-1.0,1.7423062683528678,-1.9648542180614552,-2.061807290598228,-0.4001548216832669,1.5273209169957005,1.843968571047503,-0.01858091341012757,0.6087614290087207,0.7933533402912352,4325,2021-02-15 02:30:00+00:00,DEV_2021_2024,46365.2,46910.45,46020.41,46863.84,48399.99,0.03277922440398062,-0.03277922440398062,0.03277922440398062,VOLUME60_SHOCK,0.1980706174698044,0.34975603407284117,0.34975603407284117,REV,5,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,1.7941243690618223,-1.6993775135045177,-1.4928673710430642,-0.33849664584368555,1.5330269334275741,3.864384803622787,-0.07215420370428015,-0.32143946530316186,0.9469301294951056,4886,2021-02-20 22:45:00+00:00,DEV_2021_2024,54856.84,56300.0,54691.02,55423.99,57328.47,0.03436182881062355,-0.03436182881062355,0.03436182881062355,VOLUME60_SHOCK,0.1583322304072096,0.3206476334193139,0.3206476334193139,REV,6,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,-1.7350454621961553,-2.3078604837605337,-1.8668826523231896,-1.522078919471011,2.0134226406022555,4.122808379139653,-0.06545077170749855,0.49999999999999994,-0.8660254037844387,5027,2021-02-22 10:00:00+00:00,DEV_2021_2024,54747.23,55101.69,53505.7,54245.34,48488.9,-0.10619522694842887,0.10619522694842887,-0.10619522694842887,VOLUME60_SHOCK,0.2030313340116705,0.32855438862005626,0.32855438862005626,REV,7,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,2.675352163524802,-1.774732004880551,-2.4381676363213165,-2.281924334516792,2.2679437473889394,3.973317036280316,-0.02755712032659327,-0.6087614290087207,-0.7933533402912352,5045,2021-02-22 14:30:00+00:00,DEV_2021_2024,51452.11,52498.57,50947.96,52199.34,46667.72,-0.10645944397119778,0.10645944397119778,-0.10645944397119778,VOLUME60_SHOCK,0.2070944927770199,0.3553539065459073,0.3553539065459073,REV,8,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
1.0,5.019786134188416,1.4557879291136164,-0.988368247530819,-3.0734689952960776,2.221933597583071,5.882347961658524,-0.002567197135759594,0.659345815100069,-0.7518398074789773,5120,2021-02-23 09:15:00+00:00,DEV_2021_2024,46986.47,48545.24,46500.12,48401.53,50717.02,0.04769827491466283,0.04769827491466283,-0.04769827491466283,VOLUME60_SHOCK,0.26443554578632666,0.4211675263228387,0.4211675263228387,REV,9,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,2.0128738944747333,-2.047299801762711,-2.2804696479885145,-2.333927270483631,1.296440583056101,1.735380278714335,0.03308495582818164,0.8968727415326884,-0.44228869021900113,5402,2021-02-26 07:45:00+00:00,DEV_2021_2024,44399.99,44993.99,44106.78,44973.68,47158.53,0.04827039995340887,-0.04827039995340887,0.04827039995340887,VOLUME60_SHOCK,0.22606892360338632,0.43561956410117203,0.43561956410117203,REV,10,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,1.2064315501326606,-1.6103077176292355,-0.8512034508083206,-0.5270424014169139,1.0853675022306428,0.2764897511186301,-0.0197142387579109,-0.38268343236508967,-0.9238795325112868,6763,2021-03-12 13:30:00+00:00,DEV_2021_2024,55251.0,55687.96,55150.0,55622.94,59744.89,0.07410521630104405,-0.07410521630104405,0.07410521630104405,VOLUME60_SHOCK,0.16957726427558364,0.316134436170574,0.316134436170574,REV,11,False,,0.0,0.0,0.0,NO_FILL,,2,0,False,0.0,False
-1.0,0.4332435039672317,-2.1443934434766665,-1.5556331735870688,-2.4285044127060176,1.810939300360745,0.10715187914330114,-0.011593220333475533,-0.19509032201612792,-0.9807852804032305,8008,2021-03-25 12:45:00+00:00,DEV_2021_2024,50962.34,51321.5,50903.48,51076.92,53001.57,0.03768119971188555,-0.03768119971188555,0.03768119971188555,VOLUME60_SHOCK,0.23064535535997577,0.32867261364183764,0.32867261364183764,REV,14,True,2021-03-25 13:00:00+00:00,-1.0608438711066461,-1.0,0.06084387110664609,SL,0.008217754572578208,3,0,False,0.0,False
1.0,4.24311838744818,2.047135905730942,-4.829948451633866,-4.075238445537808,2.497256890266625,3.9541662928777193,0.00140134533475314,0.9659258262890683,0.25881904510252074,10281,2021-04-18 05:00:00+00:00,DEV_2021_2024,54854.55,55850.0,54732.39,55639.08,56767.77,0.020285737958690486,0.020285737958690486,-0.020285737958690486,VOLUME60_SHOCK,0.3660538959906803,0.4891512266064153,0.4891512266064153,REV,25,False,,0.0,0.0,0.0,NO_FILL,,4,0,False,0.0,False
-1.0,0.7471295717456066,-2.242417418166932,-0.7099188988759821,-4.279692558831861,2.6410964866382685,2.319273987755438,-1.1199907359379576e-05,0.7071067811865476,-0.7071067811865475,10297,2021-04-18 09:00:00+00:00,DEV_2021_2024,54954.85,55294.21,54522.0,55096.11,56662.77,0.02851829632984293,-0.02851829632984293,0.02851829632984293,VOLUME60_SHOCK,0.30824491811383176,0.3562372145917125,0.3562372145917125,REV,26,True,2021-04-18 09:15:00+00:00,-1.0354243049170564,-1.0,0.03542430491705628,SL,0.01411460298715014,4,0,False,0.0,False
-1.0,-0.20160478835548293,-1.6707432707837868,-2.9933481718766175,-1.8377459086485246,1.128259676833844,1.9906673293066128,0.042790369298357014,-0.6087614290087209,0.7933533402912349,10721,2021-04-22 21:30:00+00:00,DEV_2021_2024,51769.3,51996.96,51300.0,51720.49,50601.15,-0.02152461563807906,0.02152461563807906,-0.02152461563807906,VOLUME60_SHOCK,0.22661299044857863,0.372632797506689,0.372632797506689,REV,29,True,2021-04-22 21:45:00+00:00,-1.0368543460169881,-1.0,0.03685434601698811,SL,0.013566920975060138,4,1,True,-1.0368543460169881,True
-1.0,-1.046184487628657,-2.5422526099575267,-0.4004208955612419,-0.388703157123066,0.1422685531063099,0.5438816309122972,0.016348110665489152,-0.7518398074789772,0.6593458151000691,11276,2021-04-28 20:45:00+00:00,DEV_2021_2024,54589.13,54589.14,54159.0,54369.08,52981.71,-0.02551762876988173,0.02551762876988173,-0.02551762876988173,VOLUME60_SHOCK,0.14670131499229808,0.31797462026262646,0.31797462026262646,REV,32,True,2021-04-28 21:00:00+00:00,1.4370507160459385,1.5,0.06294928395406155,TP,0.007942902104571747,4,2,True,1.4370507160459385,True
-1.0,0.38167077053678367,-2.393116917540836,-1.630658769839414,-1.024070632208301,1.3739888149241184,0.5238653359396914,-0.017528882395495937,0.3214394653031616,0.9469301294951057,11774,2021-05-04 01:15:00+00:00,DEV_2021_2024,55427.28,55739.12,55300.0,55508.87,54781.43,-0.013104932599060315,0.013104932599060315,-0.013104932599060315,VOLUME60_SHOCK,0.20514276769341647,0.3299930253492027,0.3299930253492027,REV,34,False,,0.0,0.0,0.0,NO_FILL,,4,3,True,0.0,False
1.0,2.865861008869533,2.0168154278647483,-4.5119988086049645,-3.011230557197469,1.1060113606641644,1.3423986804411865,-0.01524309857737079,0.44228869021900125,0.8968727415326884,12640,2021-05-13 01:45:00+00:00,DEV_2021_2024,49889.82,50530.28,49875.75,50522.52,50015.76,-0.010030378532187134,-0.010030378532187134,0.010030378532187134,VOLUME60_SHOCK,0.28003141521338204,0.47920599609525627,0.47920599609525627,REV,39,False,,0.0,0.0,0.0,NO_FILL,,5,0,False,0.0,False
1.0,1.659074844082017,1.5417760792072992,-2.2048439575987695,-2.443071982714445,1.347116752869093,1.8425229183896839,0.011433826313490363,-1.0,-1.8369701987210297e-16,12705,2021-05-13 18:00:00+00:00,DEV_2021_2024,48465.11,48964.41,48200.0,48824.77,50655.17,0.03763176988188399,0.03763176988188399,-0.03763176988188399,VOLUME60_SHOCK,0.2537242851485991,0.3563701774307505,0.3563701774307505,REV,40,False,,0.0,0.0,0.0,NO_FILL,,5,0,False,0.0,False
