period,variant,N,trades_per_month,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,max_concurrent_risk_units
historical,CORE,1617,26.95,0.0844871758261805,1.1726024783537283,136.61576331093386,18.814135954048083,7.261336031832988,13,
historical,FAST_MID_V191_EXIT,5396,89.93333333333334,-0.04158028335494505,0.8771149635022386,-224.3672089832835,250.66615513934315,-0.8950837772995708,9,
historical,FAST_MID_V200_EXIT,2492,41.53333333333333,0.01271317403611865,1.0257663680585705,31.681229698007677,44.26892227896703,0.715653963707628,14,
historical,V191_LIKE_FULL_REFERENCE,5405,90.08333333333333,-0.057720354740770516,0.8306727854706192,-311.97851737386463,329.0541145564841,-0.9481070242636692,8,
historical,CORE_PLUS_FAST191_RISK0.50,7013,116.88333333333334,0.0034838384171242153,1.0143345855348456,24.432158819292123,50.60976052747771,0.48275586694442263,12,1.5
historical,CORE_PLUS_FAST191_RISK0.40,7013,116.88333333333334,0.006683142694655707,1.0307975627682375,46.86887971762047,42.5245816311644,1.1021596902266129,12,1.4
historical,CORE_PLUS_FASTV200_RISK0.50,4109,68.48333333333333,0.03710303678752439,1.1084108074216055,152.4563781599377,30.515102613067498,4.996095870726361,18,1.5
historical,CORE_PLUS_FASTV200_RISK0.40,4109,68.48333333333333,0.03633201635194377,1.1163289756330792,149.28825519013694,27.998271665219733,5.332052527213212,18,1.4
2026,CORE,172,28.666666666666668,0.13211627080977384,1.2757932715976612,22.7239985792811,8.014074755501825,2.8355111815847005,8,
2026,FAST_MID_V191_EXIT,552,92.0,-0.041926234869463806,0.8619482513522069,-23.143281647944022,41.274433297973424,-0.5607171267710744,3,
2026,FAST_MID_V200_EXIT,266,44.333333333333336,-0.10282578898446217,0.8101207799207542,-27.351659869866936,29.227748279590735,-0.935811394303206,6,
2026,V191_LIKE_FULL_REFERENCE,552,92.0,-0.05453879725950457,0.817228150798265,-30.105416087246525,42.28639518965059,-0.7119409434695605,7,
2026,CORE_PLUS_FAST191_RISK0.50,724,120.66666666666667,0.015403809054294325,1.0670955402406135,11.152357755309092,14.900754003457482,0.7484425118837185,5,1.5
2026,CORE_PLUS_FAST191_RISK0.40,724,120.66666666666667,0.018600394917270013,1.0901071736507932,13.46668592010349,13.179990583915174,1.0217523172238225,5,1.4
2026,CORE_PLUS_FASTV200_RISK0.50,438,73.0,0.020657919279332505,1.058594963521899,9.048168644347637,13.41518035327748,0.6744723817400686,12,1.5
2026,CORE_PLUS_FASTV200_RISK0.40,438,73.0,0.026902590482498462,1.0841581923550436,11.783334631334327,12.135572324783164,0.9709747769596742,12,1.4
