R,signal_ts,entry_ts,exit_ts,side,lane
1.1427550024906366,1611964800,1611971280,1611977700,-1,FAST191
0.09762556290545965,1611979800,1611980160,1611986220,1,FAST191
-0.6110461298102463,1611993600,1611993840,1612001700,1,FAST191
0.0946069915905483,1612068000,1612068060,1612069260,1,FAST191
-1.0055344975859628,1612071900,1612071960,1612079520,1,FAST191
0.0947115598482095,1612083000,1612083540,1612084500,1,FAST191
-1.0049878996853554,1612138500,1612138560,1612142520,-1,FAST191
0.09571773632134993,1612143600,1612143660,1612144380,1,FAST191
0.09614394674246692,1612146300,1612153200,1612161720,1,FAST191
0.09287635276161123,1612248300,1612248720,1612249860,1,FAST191
2.7497786601112466,1612255800,1612256100,1612256880,1,FAST191
-1.0040870749073016,1612258200,1612258380,1612265340,1,FAST191
0.09431132114011614,1612311600,1612311960,1612314420,1,FAST191
1.5928184606476188,1612317000,1612320360,1612325220,1,FAST191
-1.0061357220660387,1612325700,1612325760,1612327800,1,FAST191
0.09442712908283762,1612398000,1612398600,1612401000,1,FAST191
0.09559478281109658,1612405200,1612405920,1612408140,1,FAST191
0.09579545514700868,1612410600,1612411620,1612417140,1,FAST191
0.09547321596524631,1612495500,1612495680,1612498680,1,FAST191
0.09502491214331979,1612515000,1612516920,1612519980,-1,FAST191
-1.0061896796289582,1612527900,1612529820,1612532880,-1,FAST191
0.09303499038873872,1612570200,1612570380,1612572180,1,FAST191
0.09424226939592778,1612572900,1612573980,1612576020,1,FAST191
-0.32475560762660494,1612576500,1612576560,1612576800,1,FAST191
-1.0042499123721225,1612656000,1612656060,1612657200,-1,FAST191
1.5987404405917693,1612660200,1612660440,1612664700,-1,FAST191
0.3266342031986027,1612666200,1612668780,1612676400,-1,FAST191
0.0947596080684157,1612752900,1612752960,1612754760,1,FAST191
0.09543703127800995,1612759200,1612760400,1612763280,1,FAST191
0.1285162154630847,1612765500,1612769400,1612770000,1,FAST191
0.09782575446374009,1612829100,1612829400,1612830060,-1,FAST191
1.6575353542037834,1612853400,1612853460,1612863360,-1,FAST191
1.4843025485190156,1612872900,1612873320,1612875780,-1,FAST191
0.09482501695925345,1612943100,1612943160,1612944060,-1,FAST191
1.7157760144904295,1612952100,1612952520,1612958880,-1,FAST191
2.3600553404383917,1612959000,1612959120,1612960800,-1,FAST191
0.09486614713314155,1613003100,1613004300,1613007120,-1,FAST191
0.09605007402405838,1613016300,1613016360,1613027280,-1,FAST191
0.09498044591882332,1613037900,1613040180,1613040420,1,FAST191
-1.0042815261923073,1613104800,1613110140,1613111760,-1,FAST191
0.09606291616080864,1613112000,1613112660,1613115660,-1,FAST191
-1.0056084639164757,1613133900,1613135640,1613138460,1,FAST191
-1.0082682159247738,1613189100,1613189940,1613194080,1,FAST191
0.09357866001223789,1613200800,1613201640,1613202000,-1,FAST191
-1.0051079469211115,1613213700,1613218860,1613221320,1,FAST191
0.09387190810669492,1613265000,1613267100,1613275380,-1,FAST191
