period,n,rho,p,ev,atr_mean
2021,62,0.2835234569766564,0.02554413730474112,0.2379115449934876,0.5092987143909726
2022,49,0.33163265306122447,0.019922560823584193,-0.04007915800385439,0.42221749811035525
2023,52,0.20216853069239304,0.1506303781621744,-0.006006895175518967,0.6059561965811967
2024,64,0.17435897435897435,0.16821533313742798,0.08421963210031048,0.6566786024305555
2025_H1,32,0.25733137829912023,0.15507126691293838,-0.11448512025517453,0.45889033564814813
2025_H2,33,0.4361631016042781,0.011166150969683515,0.11684239681877,0.5961033950617284
2026_JAN_JUL,35,0.2697478991596639,0.11709087791471658,0.29031226066630084,0.493693783068783
