nbins,bin,lo,hi,mid,n,ev,pf,cum_r
5,1,0.0,0.2,0.1,45,-0.10978539482851996,0.8093479668663748,-4.940342767283398
5,2,0.2,0.4,0.30000000000000004,66,-0.07618766339945507,0.8713562331012925,-5.028385784364034
5,3,0.4,0.6000000000000001,0.5,67,0.2440039411413301,1.5572721976357222,16.348264056469116
5,4,0.6000000000000001,0.8,0.7000000000000001,79,0.0015608431469798238,1.0032649474985316,0.12330660861140608
5,5,0.8,1.0,0.9,70,0.3102099601348787,1.7654605734673043,21.71469720944151
10,1,0.0,0.1,0.05,21,0.13976696229487373,1.3098282534771253,2.9351062081923485
10,2,0.1,0.2,0.15000000000000002,24,-0.3281437073114894,0.5209448174455745,-7.875448975475746
10,3,0.2,0.30000000000000004,0.25,24,-0.04650473437678818,0.9199186904784434,-1.1161136250429164
10,4,0.30000000000000004,0.4,0.35000000000000003,42,-0.09314933712669332,0.8444450587010832,-3.9122721593211196
10,5,0.4,0.5,0.45,29,0.6870957997710895,3.4137082816699107,19.925778193361595
10,6,0.5,0.6000000000000001,0.55,38,-0.09414510886559163,0.8302965307282096,-3.577514136892482
10,7,0.6000000000000001,0.7000000000000001,0.6500000000000001,39,-0.08730117734316106,0.8492818736842156,-3.4047459163832814
10,8,0.7000000000000001,0.8,0.75,40,0.08820131312486716,1.2324659635828683,3.5280525249946866
10,9,0.8,0.9,0.8500000000000001,32,0.2735298754573444,1.6558120489002583,8.752956014635021
10,10,0.9,1.0,0.95,38,0.3410984524949077,1.862884965211118,12.961741194806493
