signal_ts,entry_ts,exit_ts,side,entry_price,atr,horizon_min,rejection_minute,rejection_close,anchor_high,anchor_low,early_R,original_R,delta_R,saved_R,given_up_R,original_exit_ts,original_exit_reason,mfe_15m,mae_15m,ret_15m,mfe_30m,mae_30m,ret_30m,mfe_60m,mae_60m,ret_60m,mfe_120m,mae_120m,ret_120m,period
1609523700,1609524000,1609524240,-1,29099.0,125.77428571428547,5,4,29273.16,29156.57,29066.0,-0.930847133565042,-1.007711963229668,0.07686482966462604,0.07686482966462604,0.0,1609524300,INITIAL_STOP,0.7659753299561599,1.5981009063855918,-1.0995888326026177,0.7659753299561599,1.5981009063855918,0.4293405420140396,3.7518002771404713,1.5981009063855918,0.0984302946321157,3.7518002771404713,1.5981009063855918,0.40175143681423925,historical
1609746300,1609746600,1609746780,1,32290.18,366.59428571428595,5,3,32004.53,32300.0,32012.82,-0.5224022308299843,-1.0029360504930813,0.48053381966309705,0.48053381966309705,0.0,1609750200,INITIAL_STOP,0.5314321788197139,1.0086354708981562,0.39815132337811876,0.9616080057361979,1.0086354708981562,0.23137294634784955,0.9616080057361979,2.029982542008292,-0.8789826043582611,0.9616080057361979,5.156054182124261,-2.5684797518471165,historical
1610021400,1610022000,1610022060,-1,37807.52,321.1757142857142,5,1,37965.32,37944.98,37558.8,-0.33147042547545424,-1.0039238666269323,0.6724534411514781,0.6724534411514781,0.0,1610024700,INITIAL_STOP,0.02341397454885737,0.962837432113279,-0.6036570991402271,0.02341397454885737,0.962837432113279,-0.443184193788014,0.02341397454885737,1.9817189522424412,-1.8157661805064442,0.02341397454885737,2.8447979076873824,-1.8328284917468523,historical
1610178000,1610179500,1610179680,-1,39429.79,470.9071428571437,5,3,39763.9,39702.75,39330.24,-0.47579300873188024,-1.0027910520221848,0.5269980432903045,0.5269980432903045,0.0,1610181900,INITIAL_STOP,0.01745567066604215,0.9005809455913268,-0.7114778467092396,0.01745567066604215,1.0002184234077112,-0.8755441624827353,0.01745567066604215,2.821193137864596,-2.7306232651265803,0.01745567066604215,3.044528038588135,-1.5597342515206143,historical
1610764800,1610765400,1610765580,1,36724.65,366.7692857142865,5,3,36355.8,36738.1,36536.0,-0.6737863954958019,-1.003337670431201,0.32955127493539904,0.32955127493539904,0.0,1610766000,INITIAL_STOP,0.037271387033883725,1.8928793305250242,-1.0337016068879528,0.037271387033883725,1.8928793305250242,-0.7644860431918047,0.037271387033883725,1.8928793305250242,-0.9074369445953734,0.0485864021173286,1.8928793305250242,-0.4759667911123557,historical
1610956200,1610957100,1610957220,1,36146.78,314.02999999999935,5,2,36127.89,36220.0,36133.83,-0.04393919689201554,2.6374075958772654,-2.681346792769281,0.0,2.681346792769281,1610972700,PROFIT_STOP,1.1184281756520138,0.12785402668535342,0.752666942648795,1.1184281756520138,0.12785402668535342,0.11938349839186715,1.3714931694424202,0.12785402668535342,1.0531159443365277,1.796707320956604,0.12785402668535342,1.4273158615418975,historical
1611020400,1611021000,1611021300,1,37318.34,266.04857142857145,5,5,37017.82,37420.0,37101.28,-0.7577210817215536,-1.0046756299422546,0.24695454822070095,0.24695454822070095,0.0,1611021600,INITIAL_STOP,0.19203260414318893,1.6851810088383299,-1.0303381767024105,0.19203260414318893,1.7678726763104349,-1.6281613454041624,0.19203260414318893,2.437073788889237,-1.8668395674259197,0.19203260414318893,2.799037769687571,-2.221286123908608,historical
1611492900,1611494400,1611494580,-1,32317.13,186.10000000000036,5,3,32419.26,32415.0,32260.0,-0.37164913666486543,2.112785754970447,-2.4844348916353125,0.0,2.4844348916353125,1611505800,PROFIT_STOP,0.06754433100483441,0.6254164427726985,-0.4741536808167533,0.6293927995701278,0.6254164427726985,0.13858140784524892,1.0518001074691092,0.6254164427726985,0.09204728640516381,1.949919398173027,0.6254164427726985,0.832348199892537,historical
1611705900,1611706200,1611706260,-1,32261.95,257.5471428571436,5,1,32363.07,32361.56,32252.52,-0.2659269712988249,1.8268678753219396,-2.0927948466207646,0.0,2.0927948466207646,1611727800,TIME_EXIT,0.1262681450830097,0.40800297310338995,-0.10883444362474069,1.2112345589989064,0.7963978855466127,1.0790257539535089,1.3704287148538674,0.8772374544466185,0.4196124981279409,1.3704287148538674,0.8772374544466185,0.34995534798067773,historical
1611896400,1611898200,1611898500,-1,32948.54,304.11785714285674,5,5,33082.57,33049.86,32800.0,-0.29742290982114333,1.4963886215791933,-1.7938115314003367,0.0,1.7938115314003367,1611906000,PROFIT_STOP,0.30100172630442,0.6761194555682221,-0.536272356816543,0.30100172630442,0.6761194555682221,-0.26785668150270436,0.8994539241130711,0.6761194555682221,0.14402311134077286,2.6750813242046734,0.6761194555682221,2.354942280365934,historical
