regime,raw_winner_share,smoothed_winner_share,state_share
EXPANSION,0.32674708818635606,0.3092068774265114,0.31669439822518025
PULLBACK,0.5268996117581808,0.5405574043261231,0.5297420965058236
REVERSAL,0.016638935108153077,0.003397115917914587,0.0020105379922351636
RANGE,0.12971436494731003,0.14669994453688298,0.15141430948419302
