destination,lag,n,mean_score,median_rank,top2_share
EXPANSION,1,438,54.87442922374429,1.0,0.9223744292237442
EXPANSION,2,438,47.24505327245053,2.0,0.7534246575342466
EXPANSION,3,438,42.1613394216134,2.0,0.6438356164383562
PULLBACK,1,494,59.76720647773279,1.0,0.9878542510121457
PULLBACK,2,494,51.70715249662618,2.0,0.902834008097166
PULLBACK,3,494,45.536437246963565,2.0,0.8421052631578947
RANGE,1,177,59.736346516007536,1.0,0.9943502824858758
RANGE,2,177,55.10357815442561,2.0,0.9096045197740112
RANGE,3,177,51.31826741996234,2.0,0.8361581920903954
REVERSAL,1,9,29.629629629629633,2.0,0.7777777777777778
REVERSAL,2,9,21.851851851851855,3.0,0.4444444444444444
REVERSAL,3,9,16.666666666666668,3.0,0.2222222222222222
