regime,theoretical_max,raw_n,raw_nonzero_share,raw_mean,raw_median,raw_p75,raw_p90,raw_p95,raw_p99,raw_max,sm_n,sm_nonzero_share,sm_mean,sm_median,sm_p75,sm_p90,sm_p95,sm_p99,sm_max,p95_attainment,max_attainment,decomposition_pass
EXPANSION,100.0,14424,0.992928452579035,48.51532168607876,50.0,65.0,75.0,85.0,100.0,100.0,14422,1.0,48.51684925807794,48.333333333333336,61.666666666666664,73.33333333333333,81.66666666666667,93.33333333333333,100.0,0.85,1.0,True
PULLBACK,95.0,14424,0.997712146422629,58.738214087631725,55.0,80.0,90.0,90.0,95.0,95.0,14422,0.9991679378726945,58.74323949521564,58.333333333333336,78.33333333333333,85.0,90.0,93.33333333333333,95.0,0.9473684210526315,1.0,True
REVERSAL,100.0,14424,0.8331946755407654,19.48869938990571,20.0,25.0,40.0,50.0,65.0,100.0,14422,0.9871030370267647,19.490708639578422,18.333333333333332,26.666666666666668,33.333333333333336,38.333333333333336,48.333333333333336,65.0,0.5,1.0,True
RANGE,100.0,14424,0.7757210205213533,28.953133666112034,25.0,50.0,70.0,75.0,85.0,100.0,14422,0.8229787824157537,28.954837516756804,25.0,46.666666666666664,66.66666666666667,71.66666666666667,83.33333333333333,100.0,0.75,1.0,True
