regime,component,weight,activation_rate,mean_contribution,total_points,share_total_points
EXPANSION,ema_stack,25.0,0.62971436494731,15.74285912368275,227075.0,0.3244925227034018
EXPANSION,bos,20.0,0.35593455352190795,7.1186910704381585,102680.0,0.14673078159720485
EXPANSION,atr_gt_1p05,10.0,0.336522462562396,3.36522462562396,48540.0,0.06936416184971098
EXPANSION,atr_gt_1p20,10.0,0.15162229617304493,1.5162229617304492,21870.0,0.031252456111519965
EXPANSION,adx_ge20,15.0,0.7294786466999446,10.942179700499167,157830.0,0.22554070178697744
EXPANSION,relvol_ge1p05,10.0,0.346228508042152,3.4622850804215197,49940.0,0.0713647763241567
EXPANSION,d1_trend,5.0,0.6069051580698835,3.034525790349418,43770.0,0.06254778253320663
EXPANSION,liquid_session,5.0,0.6666666666666666,3.3333333333333335,48080.0,0.06870681709382168
PULLBACK,ema_stack,30.0,0.62971436494731,18.891430948419302,272490.0,0.32162079221944195
PULLBACK,near_ema_le065,25.0,0.46803937881308927,11.700984470327233,168775.0,0.199205656012464
PULLBACK,near_ema_065_1,15.0,0.1591098169717138,2.386647254575707,34425.0,0.040631934280723286
PULLBACK,rsi_mid,10.0,0.7536744315030505,7.5367443150305045,108710.0,0.12831075020065152
PULLBACK,adx_ge18,10.0,0.8036605657237936,8.036605657237937,115920.0,0.13682073556489308
PULLBACK,not_bos_atr_le140,10.0,0.6096783139212424,6.096783139212424,87940.0,0.10379585477550635
PULLBACK,d1_trend,5.0,0.6069051580698835,3.034525790349418,43770.0,0.051661866767385864
PULLBACK,inside_day,5.0,0.21089850249584027,1.0544925124792013,15210.0,0.01795241017893395
REVERSAL,swing_sweep,30.0,0.15065169162506933,4.51955074875208,65190.0,0.23190622721047296
REVERSAL,rsi_turn,20.0,0.12853577371048253,2.5707154742096505,37080.0,0.13190800590526672
REVERSAL,rsi_rhythm_turn,15.0,0.053383250138657794,0.8007487520798668,11550.0,0.041087849735863824
REVERSAL,ema20_cross,15.0,0.12014697726012202,1.8022046589018303,25995.0,0.0924743423276
REVERSAL,adx_decay,10.0,0.5337631724902939,5.3376317249029395,76990.0,0.27388342434321694
REVERSAL,rejection_wick,10.0,0.44578480310593455,4.457848031059346,64300.0,0.22874015047757956
RANGE,adx_lt20,25.0,0.2687188019966722,6.717970049916805,96900.0,0.23202911737943585
RANGE,range24_compression,25.0,0.3450499168053245,8.626247920133112,124425.0,0.29793831713040564
RANGE,ema_spread_lt1,20.0,0.10059622850804215,2.011924570160843,29020.0,0.0694890091470715
RANGE,atr_lt095,15.0,0.4559761508596783,6.8396422628951745,98655.0,0.2362315023226857
RANGE,not_stack,10.0,0.37028563505268997,3.7028563505268997,53410.0,0.127891384512236
RANGE,inside_day,5.0,0.21089850249584027,1.0544925124792013,15210.0,0.03642066950816532
