market,exp_high_n,exp_high_mean,ret_cont_n,ret_cont_mean,comp_n,comp_accuracy
BTCUSDT,178,0.11237297600646633,2187,0.08065936786887273,671,0.5216095380029806
EURUSD,158,0.07248880089903753,1074,-0.12174766465687922,579,0.5215889464594128
XAUUSD,213,0.07734334118918383,1100,0.3150654020907383,478,0.5376569037656904
