market,exp_eligible,exp_high,exp_high_cov,ret_eligible,ret_nonabstain,ret_nonabstain_cov,comp_eligible,comp_resolved_head,comp_resolved_cov
BTCUSDT,778,276,0.35475578406169667,5096,4012,0.7872841444270016,2414,1331,0.5513670256835128
EURUSD,387,178,0.4599483204134367,2049,1548,0.7554904831625183,1291,747,0.5786212238574748
XAUUSD,519,273,0.5260115606936416,2393,1886,0.7881320518178019,1382,739,0.5347322720694645
