market,n_a,n_b,mean_a,mean_b,effect
BTCUSDT,276,502,0.10645055050294001,0.08726397077057135,0.01918657973236866
EURUSD,168,190,0.06720005697447143,-0.039841658304461444,0.10704171527893287
XAUUSD,251,227,0.08424941875066269,0.029673501292424537,0.05457591745823816
