signal_time,dir,entry_delta,sl_delta,tp_delta,exit_match,r_net_delta
2025-01-10 01:30:00,SELL,0.000000,0.000000,0.000000,True,-0.000122
2025-01-10 07:30:00,SELL,0.000000,0.005000,0.000000,True,-0.000371
2025-01-16 08:30:00,SELL,0.000000,0.003214,0.003571,True,-0.000166
2025-01-21 00:15:00,SELL,0.000000,-0.001607,0.003214,True,0.000128
2025-01-21 11:30:00,BUY,0.000000,0.000000,0.000000,True,-0.000322
2025-01-23 04:00:00,BUY,0.000000,0.001786,-0.003571,True,0.000253
2025-01-31 10:45:00,BUY,0.000000,-0.003571,-0.002857,True,0.000084
2025-02-12 12:45:00,BUY,0.000000,-0.000893,0.001786,True,-0.000242
2025-02-20 14:30:00,BUY,0.000000,-0.003036,-0.003929,True,-0.000121
2025-02-24 23:45:00,SELL,0.000000,-0.001786,0.003571,True,-0.000363
2025-02-26 05:00:00,BUY,0.000000,-0.001607,0.003214,True,0.000226
2025-02-26 19:45:00,SELL,0.000000,-0.003393,-0.003214,True,-0.000451
2025-02-27 06:00:00,BUY,0.000000,-0.003036,-0.003929,True,0.000143
2025-03-11 19:45:00,SELL,0.000000,-0.001071,0.002143,True,0.000215
2025-03-19 06:00:00,SELL,0.000000,-0.001429,0.002857,True,-0.000431
2025-03-20 10:45:00,BUY,0.000000,0.001964,-0.003929,True,0.000088
2025-03-24 07:30:00,SELL,0.000000,-0.001964,0.003929,True,0.000070
2025-04-02 12:00:00,BUY,0.000000,-0.000179,0.000357,True,-0.000169
2025-04-02 18:00:00,SELL,0.000000,-0.001964,0.003929,True,0.000110
2025-04-03 16:00:00,SELL,0.000000,0.003750,0.002500,True,-0.000034
2025-04-04 12:15:00,SELL,0.000000,-0.004286,-0.001429,True,0.000496
2025-04-10 06:30:00,SELL,0.000000,0.004286,0.001429,True,-0.000148
2025-04-14 03:15:00,SELL,0.000000,-0.002500,-0.005000,True,-0.000384
2025-04-17 08:30:00,BUY,0.000000,0.004107,0.001786,True,0.000021
2025-04-24 21:00:00,SELL,0.000000,-0.002321,0.004643,True,0.000290
2025-04-28 11:15:00,BUY,0.000000,0.004286,0.001429,True,0.000177
2025-04-30 01:15:00,SELL,0.000000,-0.001786,0.003571,True,-0.000029
2025-05-07 22:15:00,BUY,0.000000,-0.000536,0.001071,True,-0.000444
2025-05-09 08:45:00,SELL,0.000000,0.003036,0.003929,True,0.000017
2025-05-13 01:15:00,SELL,0.000000,-0.003929,-0.002143,True,0.000355
2025-05-14 17:45:00,BUY,0.000000,-0.001429,0.002857,True,0.000013
2025-05-21 19:00:00,SELL,0.000000,-0.001786,0.003571,True,0.000459
2025-05-22 01:15:00,SELL,0.000000,-0.002679,-0.004643,True,-0.000052
2025-05-23 18:30:00,SELL,0.000000,0.000893,-0.001786,True,-0.000236
2025-05-26 11:00:00,BUY,0.000000,0.003036,0.003929,True,0.000430
2025-05-29 02:45:00,BUY,0.000000,-0.000357,0.000714,True,-0.000025
2025-06-03 20:45:00,SELL,0.000000,-0.003393,-0.003214,True,0.000465
2025-06-13 14:45:00,SELL,0.000000,0.001250,-0.002500,True,0.000301
2025-06-23 06:45:00,BUY,0.000000,0.000893,-0.001786,True,-0.000215
2025-07-02 01:45:00,BUY,0.000000,-0.004107,-0.001786,True,-0.000465
2025-07-02 08:45:00,BUY,0.000000,0.001071,-0.002143,True,0.000067
2025-07-07 05:45:00,BUY,0.000000,0.001786,-0.003571,True,0.000343
2025-07-14 22:15:00,BUY,0.000000,-0.003214,-0.003571,True,0.000321
2025-07-17 04:30:00,BUY,0.000000,-0.003571,-0.002857,True,-0.000230
2025-07-24 22:45:00,BUY,0.000000,0.001250,-0.002500,True,-0.000259
2025-08-13 02:00:00,BUY,0.000000,0.003571,0.002857,True,-0.000268
2025-08-29 12:15:00,BUY,0.000000,-0.002321,0.004643,True,0.000002
2025-09-01 07:45:00,SELL,0.000000,0.005000,-0.000000,True,-0.000377
2025-09-03 07:00:00,BUY,0.000000,-0.001607,0.003214,True,-0.000067
2025-09-04 04:15:00,BUY,0.000000,0.000000,0.000000,True,0.000463
2025-09-05 10:00:00,BUY,0.000000,-0.003393,-0.003214,True,-0.000374
2025-09-09 22:30:00,BUY,0.000000,0.001786,-0.003571,True,-0.000128
2025-09-10 02:30:00,BUY,0.000000,0.001071,-0.002143,True,0.000032
2025-09-10 16:30:00,BUY,0.000000,-0.000893,0.001786,True,-0.000199
2025-09-11 13:45:00,SELL,0.000000,-0.004107,-0.001786,True,-0.000426
2025-09-16 16:45:00,BUY,0.000000,0.000893,-0.001786,True,-0.000315
2025-09-17 11:15:00,BUY,0.000000,0.001964,-0.003929,True,-0.000298
2025-09-18 06:15:00,BUY,0.000000,-0.001964,0.003929,True,0.000304
2025-09-23 04:15:00,BUY,0.000000,0.001250,-0.002500,True,0.000392
2025-09-30 21:00:00,SELL,0.000000,-0.003393,-0.003214,True,-0.000228
2025-10-02 00:45:00,BUY,0.000000,0.001071,-0.002143,True,-0.000487
2025-10-03 17:15:00,SELL,0.000000,0.001607,-0.003214,True,-0.000062
2025-10-16 07:00:00,BUY,0.000000,-0.003750,-0.002500,True,-0.000386
2025-10-22 16:00:00,BUY,0.000000,0.003750,0.002500,True,-0.000430
2025-10-24 05:45:00,BUY,0.000000,-0.000357,0.000714,True,-0.000261
2025-10-27 00:30:00,BUY,0.000000,-0.000714,0.001429,True,0.000457
2025-11-05 05:45:00,SELL,0.000000,0.003214,0.003571,True,0.000203
2025-11-12 06:15:00,BUY,0.000000,-0.002857,-0.004286,True,-0.000106
2025-11-21 14:15:00,SELL,0.000000,0.003036,0.003929,True,0.000237
2025-12-03 09:30:00,BUY,0.000000,-0.001071,0.002143,True,0.000366
2025-12-03 19:00:00,BUY,0.000000,-0.004107,-0.001786,True,-0.000033
2026-01-13 04:00:00,BUY,0.000000,-0.001964,0.003929,True,0.000498
2026-01-26 09:30:00,SELL,0.000000,-0.004464,-0.001071,True,0.000379
2026-02-06 14:15:00,SELL,0.000000,0.004643,0.000714,True,-0.000166
2026-02-19 18:00:00,SELL,0.000000,0.000000,-0.000000,True,-0.000177
2026-02-24 15:00:00,BUY,0.000000,0.000000,0.000000,True,0.000287
