dir,N,EV_raw,EV_net,sumR_raw,sumR_net,TP,SL,TIMESTOP
BUY,8,0.500000,0.450000,4.000000,3.600000,4,4,0
SELL,6,0.000000,-0.050000,0.000000,-0.300000,2,4,0
