signal_time,dir,entry_time,entry,sl,tp,exit_time,exit_reason,R_raw,R_net
2026-05-01 04:30:00,BUY,2026-05-01 04:45:00,4619.970000,4612.203051,4635.503898,2026-05-01 05:15:00,TP,2.000000,1.950000
2026-05-08 02:15:00,BUY,2026-05-08 02:30:00,4696.240000,4678.868421,4730.983157,2026-05-08 05:00:00,TP,2.000000,1.950000
2026-05-12 14:15:00,BUY,2026-05-12 14:30:00,4699.900000,4682.982481,4733.735038,2026-05-12 16:15:00,SL,-1.000000,-1.050000
2026-05-14 08:15:00,SELL,2026-05-14 08:30:00,4693.340000,4714.803269,4650.413461,2026-05-14 10:30:00,SL,-1.000000,-1.050000
2026-05-27 10:15:00,BUY,2026-05-27 10:30:00,4486.100000,4477.800123,4502.699753,2026-05-27 10:45:00,SL,-1.000000,-1.050000
2026-06-04 16:45:00,SELL,2026-06-04 17:00:00,4495.630000,4517.974988,4450.940025,2026-06-05 03:15:00,TP,2.000000,1.950000
2026-06-12 09:00:00,BUY,2026-06-12 09:15:00,4182.760000,4167.876191,4212.527619,2026-06-12 11:15:00,TP,2.000000,1.950000
2026-06-25 11:45:00,SELL,2026-06-25 12:00:00,3989.060000,4004.980512,3957.218977,2026-06-25 15:30:00,SL,-1.000000,-1.050000
2026-06-30 10:00:00,SELL,2026-06-30 10:15:00,4025.620000,4036.706198,4003.447604,2026-06-30 11:00:00,SL,-1.000000,-1.050000
2026-07-03 17:45:00,BUY,2026-07-03 18:00:00,4169.660000,4153.641188,4201.697624,2026-07-06 04:45:00,TP,2.000000,1.950000
2026-07-07 04:30:00,BUY,2026-07-07 04:45:00,4141.980000,4123.794778,4178.350443,2026-07-07 08:00:00,SL,-1.000000,-1.050000
2026-07-13 09:15:00,BUY,2026-07-13 09:30:00,4061.000000,4041.210976,4100.578047,2026-07-13 17:00:00,SL,-1.000000,-1.050000
2026-07-20 04:15:00,SELL,2026-07-20 04:30:00,4002.920000,4022.651036,3963.457929,2026-07-20 05:45:00,SL,-1.000000,-1.050000
2026-07-22 19:00:00,SELL,2026-07-22 19:15:00,4154.370000,4167.976906,4127.156187,2026-07-23 01:00:00,TP,2.000000,1.950000
