split,rr,cost_bps,n,tp_rate,sl_rate,time_rate,gross_ev_R,net_ev_R,profit_factor,cum_net_R,max_consecutive_losses,max_dd_R,mean_mfe_R,mean_mae_R,median_duration_h,max_overlap,risk_load_025_pct,risk_load_050_pct,equity_return_025_pct,equity_maxdd_025_pct,equity_return_050_pct,equity_maxdd_050_pct
BRIDGE_2025,1.5,0.0,18,0.5555555555555556,0.4444444444444444,0.0,0.3888888888888889,0.3888888888888889,1.875,7.0,3,3.0,1.530527252805385,0.7803605119848448,0.5,1,0.25,0.5,1.7557167512083582,0.7504508252534903,3.5226055312051585,1.501731954973884
BRIDGE_2025,1.5,2.0,18,0.5555555555555556,0.4444444444444444,0.0,0.3888888888888889,0.3436076256816349,1.7386652513969598,6.184937262269428,3,3.424793277572862,1.530527252805385,0.7803605119848448,0.5,1,0.25,0.5,1.5487513563114064,0.8558834807308235,3.1022454212704886,1.7110664796065378
BRIDGE_2025,1.5,5.0,18,0.5555555555555556,0.4444444444444444,0.0,0.3888888888888889,0.2756857308707537,1.555518398122641,4.962343155673567,3,4.061983193932155,1.530527252805385,0.7803605119848448,0.5,1,0.25,0.5,1.2390361293141305,1.0138576985752823,2.4746764830627432,2.024373851472261
BRIDGE_2025,1.5,10.0,18,0.5555555555555556,0.4444444444444444,0.0,0.3888888888888889,0.16248257285261858,1.2964520491924818,2.9246863113471346,3,5.12396638786431,1.530527252805385,0.7803605119848448,0.5,1,0.25,0.5,0.7247927003709798,1.2766825768273704,1.436605476504682,2.5447054544423975
BRIDGE_2025,2.0,0.0,18,0.5,0.4444444444444444,0.05555555555555555,0.5361135789030904,0.5361135789030904,2.1557000906286325,9.650044420255627,3,3.0,1.6361494548309456,0.8411891214438456,0.5,1,0.25,0.5,2.4277575763841375,0.7481265624999899,4.885734898133243,1.4925125000000086
BRIDGE_2025,2.0,2.0,18,0.5,0.4444444444444444,0.05555555555555555,0.5361135789030904,0.49083231569583635,2.010853599833705,8.834981682525054,3,3.1954309504247047,1.6361494548309456,0.8411891214438456,0.5,1,0.25,0.5,2.2195397764673386,0.7967326321025953,4.460303258492382,1.5892226032315957
BRIDGE_2025,2.0,5.0,18,0.5,0.4444444444444444,0.05555555555555555,0.5361135789030904,0.42291042088495523,1.8163097542555793,7.612387575929194,3,3.4885773760617624,1.6361494548309456,0.8411891214438456,0.5,1,0.25,0.5,1.9079499834441016,0.8696129225954301,3.82515969505397,1.7341728116494086
BRIDGE_2025,2.0,10.0,18,0.5,0.4444444444444444,0.05555555555555555,0.5361135789030904,0.30970726286682004,1.5411951529247019,5.57473073160276,3,4.12396638786431,1.6361494548309456,0.8411891214438456,0.5,1,0.25,0.5,1.390593026711806,1.030458709145532,2.774550972793466,2.059731243277496
DEV_2021_2024,1.5,0.0,77,0.4155844155844156,0.5454545454545454,0.03896103896103896,0.09131828345358879,0.09131828345358879,1.1674168529982463,7.031507825926337,5,10.5,1.2966875976534382,1.0652281907101775,0.5,2,0.5,1.0,1.737033921768938,2.597469427045258,3.430387484174968,5.14038108016125
DEV_2021_2024,1.5,2.0,77,0.4155844155844156,0.5454545454545454,0.03896103896103896,0.09131828345358879,0.06629580144125588,1.1185016311248315,5.104776710976703,5,10.992661462246598,1.2966875976534382,1.0652281907101775,0.5,2,0.5,1.0,1.2482432530398935,2.717593990856044,2.4390669908575413,5.3746688379092085
DEV_2021_2024,1.5,5.0,77,0.4155844155844156,0.5454545454545454,0.03896103896103896,0.09131828345358879,0.02876207842275646,1.0495441630636064,2.2146800385522476,5,12.522190999729858,1.2966875976534382,1.0652281907101775,0.5,2,0.5,1.0,0.5193736333789278,3.100595974961453,0.969537816652033,6.140978260423713
DEV_2021_2024,1.5,10.0,77,0.4155844155844156,0.5454545454545454,0.03896103896103896,0.09131828345358879,-0.03379412660807581,0.9451103108331614,-2.6021477488218374,5,15.617827026625923,1.2966875976534382,1.0652281907101775,0.5,2,0.5,1.0,-0.6839872243306844,3.852074935850881,-1.4338525312585948,7.599725701764531
DEV_2021_2024,2.0,0.0,77,0.35064935064935066,0.6103896103896104,0.03896103896103896,0.10430529644060177,0.10430529644060177,1.1708831452324753,8.031507825926337,7,12.0,1.4573996259382518,1.1389400609609648,0.75,2,0.5,1.0,1.9786822857918107,2.9627247591155474,3.8960157918296323,5.851796043388139
DEV_2021_2024,2.0,2.0,77,0.35064935064935066,0.6103896103896104,0.03896103896103896,0.10430529644060177,0.07928281442826887,1.126745386710764,6.104776710976703,7,12.492661462246598,1.4573996259382518,1.1389400609609648,0.75,2,0.5,1.0,1.4888230569432892,3.0824061454007206,2.9005999805933325,6.084355238175511
