period,profile_class,N,mean_ret4,q25_ret4,median_ret4,q75_ret4,q90_ret4,positive_ret4_share,q75_mfe4,q90_mfe4,median_mae4,q75_mae4
2021_2023,POC_ALIGNED,39,-0.0015817057544831713,-0.0076203774553954,-0.0016256035581985,0.0035655667181538997,0.010034468144802224,0.4358974358974359,0.01291724223940305,0.028058407177814684,0.0089598702453827,0.0155201052960721
2021_2023,POC_MIDDLE,58,0.00017955631137131357,-0.009234770691146825,-0.00011292463370850001,0.007169693152516,0.02321613749861786,0.5,0.0156307793358925,0.038746732057232544,0.0061034088472177,0.0158356571536741
2021_2023,POC_OPPOSITE,42,-0.0014604987433527805,-0.008899329029155025,0.00017926609993875264,0.0032950036528515752,0.009878727324013167,0.5238095238095238,0.013287129563334776,0.01701130932529941,0.0090811633479157,0.01835997533526765
2024_2025,POC_ALIGNED,27,0.003366923710764244,-0.0038782848805737503,-0.0011717413452661,0.01119683983482375,0.014562170944757884,0.4444444444444444,0.0171023672899015,0.0247205632421614,0.0062609385788048,0.01203486150617165
2024_2025,POC_MIDDLE,35,-0.003775065592673437,-0.00882118717015655,-0.0036511433693697,0.0023529192513572,0.007946313587694667,0.37142857142857144,0.01032554387569775,0.014509014002699421,0.0087909844397325,0.016059790135627548
2024_2025,POC_OPPOSITE,20,-0.0004530160012886449,-0.005955200249387374,-0.0012047214535979502,0.003106191082825325,0.016865217530287514,0.4,0.0088435636553762,0.021858904881766266,0.0075236355453812504,0.0103178773833811
2026,POC_ALIGNED,10,-0.0005457175286883501,-0.0024657870479593497,-0.00078532118122435,0.0038201463794898,0.007169280367996729,0.4,0.0069683028495755245,0.008568294331143778,0.0040221204709907,0.0061686035948867
2026,POC_MIDDLE,6,-0.005774472150335968,-0.009554802622265626,-0.0064384729446411,-0.003886097958914925,0.00297203831285055,0.16666666666666666,0.00737053829269255,0.0105922113296911,0.01287719178222955,0.016182200338398924
2026,POC_OPPOSITE,5,-0.00238686295077272,-0.007186122603499,-0.0025079990498945,0.0010932772128214,0.005660222905701881,0.4,0.0062732955940824,0.00828433682200602,0.0106886867586033,0.011314931992104
