variant,N,delta_N_vs_v191d,removed_signal_count,added_signal_count,removed_trade_sumR,added_trade_sumR,full_sequence_deltaR,period
V191D_PLUS_ADVERSE075,550,-2,176,174,4.571792038782403,11.781625427184364,7.2098333884019645,2026
V191D_PLUS_FRESH45_PLUS_ADVERSE075,550,-2,181,179,2.4420275153524758,11.297251391656985,8.855223876304514,2026
V191D_PLUS_ADVERSE075_EXITZ_OFF,550,-2,180,178,3.0313985603476943,5.667689308220499,6.2575469046384065,2026
V191D_PLUS_FRESH45_ADVERSE075_EXITZ_OFF,550,-2,185,183,0.9016340369177662,6.106018046454089,8.82564016630193,2026
FULL_V191F_CONTROL,550,-2,205,203,-3.8094352557117155,2.116309380379054,6.668927822297984,2026
