R,signal_ts,entry_ts,entry_k,side,signal_z,confirm_z,confirm_age_min,pre_fav_atr,pre_adv_atr,response_ratio,ret_15m,mfe_15m,mae_15m,impulse15,ret_30m,mfe_30m,mae_30m,impulse30,ret_60m,mfe_60m,mae_60m,impulse60,ret_120m,mfe_120m,mae_120m,impulse120,delta_notional_5m,aggression_mag_5m,rolling_median_aggression_24h,aggression_to_median,aggression_percentile,raw_price_change_5m,impact_atr_abs,impact_cf_dir,signed_aggression,aggression_sign,aggr_bucket,impact_bucket,adverse_absorp,supportive_absorp,oi_ch5,oi_ch15,oi_ch30,period,entry_time
-1.0075244609322458,1609480800,1609482600,6,-1,1.5308934532624656,1.1340504996361362,30.0,0.7235458597491806,0.5364192574956477,1.348843928121293,-0.8868913949347352,0.07041676100033457,0.9468570064921893,0,-0.4714153720009466,0.07170173839086391,0.9468570064921893,0,0.800797909770111,2.5568480116504824,0.9468570064921893,0,0.3466868999614621,2.5568480116504824,0.9468570064921893,0,-8207516.072289999,8207516.072289999,,,,-63.909999999999854,0.5474860335195542,0.5474860335195542,8207516.072289999,WITH,NA,I30_60,False,False,0.0022010801833916016,0.0033986737452431637,0.002327971290379871,historical,2021-01-01 06:30:00+00:00
-1.006301499771922,1609494300,1609496100,51,1,-2.6529675654197464,-2.5250231348482304,30.0,0.7095695124704532,0.39987467343676847,1.7744797503615253,-0.20902934537245912,0.595356336665599,0.34911318929378204,0,-0.046694614640448794,0.595356336665599,0.47352466946147526,0,0.12176717188004502,0.595356336665599,0.47352466946147526,0,-0.18561754272814432,0.9546597871654313,0.5952918413414968,0,8360867.360519998,8360867.360519998,,,,43.43000000000029,0.2801031925185437,0.2801031925185437,8360867.360519998,WITH,NA,I15_30,False,False,0.006500567062964757,0.007423535757387967,0.00958489652668515,historical,2021-01-01 10:15:00+00:00
-1.007711963229668,1609523700,1609524000,144,-1,1.3324157978786806,1.4897484308254758,5.0,0.5811998818745494,0.1388996160923291,4.1843159401095775,-0.9820154271336126,0.6532813595677107,1.4509342903106062,0,0.8232066988409094,0.9644020954502232,1.4509342903106062,0,0.3916078868126885,3.406302850307315,1.4509342903106062,0,1.306851462277778,3.406302850307315,1.4509342903106062,0,-5656856.178719997,5656856.178719997,,,,-40.099999999998545,0.2894650002062348,0.2894650002062348,5656856.178719997,WITH,NA,I15_30,False,False,-0.005185549099322784,-0.00878831642652289,-0.004379156191012368,historical,2021-01-01 18:00:00+00:00
1.995671028856499,1609550400,1609551600,236,1,-2.7280595046344773,-2.340443211329543,20.0,0.7611701073939101,0.37003775895498603,2.057006580859489,0.6570092418628908,1.041889811709494,0.023353409070943826,1,1.009113097223942,1.0922020684448113,0.023353409070943826,1,0.916191111657401,1.6154823152066526,0.023353409070943826,1,-0.14626608839176355,1.6154823152066526,0.293843245362948,1,9362973.46488,9362973.46488,2268629.3916550037,4.127149855027468,0.8923611111111112,37.5099999999984,0.30736364008825007,0.30736364008825007,9362973.46488,WITH,P60_90,I30_60,False,False,-0.007100958048093964,-0.011044990914511166,-0.008727340983663012,historical,2021-01-02 01:40:00+00:00
-1.0082676769302519,1609569900,1609570200,298,1,-1.7693657440117838,-1.7831570819650506,5.0,0.8719067632418385,0.04615338758233271,18.89150049484341,0.24912814092821375,0.680532951801852,0.29720110882590245,0,-0.011267101851011773,0.9286595725655085,0.29720110882590245,0,0.5510030105219289,0.9286595725655085,0.58805925660973,0,1.1186145637724176,1.5032817669677465,0.58805925660973,0,4766806.3543000035,4766806.3543000035,2241675.0779500026,2.1264483872744027,0.7361111111111112,102.93000000000029,0.8590539211302928,0.8590539211302928,4766806.3543000035,WITH,P60_90,I60_PLUS,False,False,0.0002728446414075325,0.0009364579715522847,0.0039693543964500755,historical,2021-01-02 06:50:00+00:00
2.7106413746186346,1609590300,1609591200,368,1,-2.1108522868294135,-1.8728890053614482,15.0,2.5205001872821016,0.5653326418301788,4.458437380625903,0.7836826959541413,1.9535331603251012,0.4304112787489795,1,1.0076589606121216,1.9535331603251012,0.4304112787489795,1,4.269759002996671,4.291828706974115,0.4304112787489795,1,3.3422588728686886,5.675401351843732,0.4304112787489795,1,53940465.82097,53940465.82097,2361562.5482800007,22.841006629384648,1.0,288.97999999999956,1.5041752489162157,1.5041752489162157,53940465.82097,WITH,P90_100,I60_PLUS,False,False,0.005478028667746271,0.007452059419216228,0.012411086421788786,historical,2021-01-02 12:40:00+00:00
-1.0037424981740641,1609637700,1609639200,528,-1,1.2289256354125728,1.041581688997658,25.0,0.46065202475893635,0.4631308697352091,0.9946476338916089,-0.1401709217430729,0.04139098281350236,0.5096335504666507,0,-0.7249270308074072,0.04139098281350236,0.8635132476478733,0,-0.5251032888016947,0.04139098281350236,1.196150352920264,0,-0.05006912870876355,0.5655509948874372,1.196150352920264,0,-7112836.522459999,7112836.522459999,4112204.4856950007,1.729689403142087,0.6631944444444444,-164.25,0.6197328101291742,0.6197328101291742,7112836.522459999,WITH,P60_90,I60_PLUS,False,False,-0.00277863453430105,0.0007625913974722565,-0.004230184615685806,historical,2021-01-03 02:00:00+00:00
-1.0041056506356585,1609652400,1609653000,574,-1,2.7841093006467523,1.5597679003017904,10.0,0.834996047328383,0.3169653849642904,2.6343445824158676,-0.5746368940437849,0.8584002196739366,0.6180808176536194,0,-0.19354148897134518,0.8584002196739366,0.8094790276998206,0,-0.11352574243231432,0.8584002196739366,0.8094790276998206,0,-2.4076166592550856,0.8584002196739366,3.0241665633907484,0,3776494.2383999974,3776494.2383999974,4758020.105795002,0.7937112820940877,0.4444444444444444,-56.669999999998254,0.19279304236255768,0.19279304236255768,-3776494.2383999974,AGAINST,P40_60,I15_30,False,False,0.002838035508488046,-0.001992300070901676,0.005404741221407994,historical,2021-01-03 05:50:00+00:00
0.3642305094893833,1609660500,1609661400,602,-1,2.4203986165862514,1.6271153488362449,15.0,0.9275037819338693,0.4116728016070115,2.253012042719949,-0.20490818217553508,1.1427640815409734,0.3163699668669544,1,-0.5959903408771821,1.1427640815409734,0.6250575616330535,1,0.06678272589431837,1.1427640815409734,0.9775706182961639,1,0.1676644016398195,1.1427640815409734,0.9775706182961639,1,-16548362.952290002,16548362.952290002,4746979.313439999,3.486082803318113,0.8472222222222222,-114.79999999999563,0.2578761161340946,0.2578761161340946,16548362.952290002,WITH,P60_90,I15_30,False,False,-0.0010306866850142704,-0.0029310162030316,0.004954095890410182,historical,2021-01-03 08:10:00+00:00
2.0144864824588598,1609725300,1609726800,820,-1,1.1078176301865728,1.2068924164191932,25.0,0.4682426761019575,0.25283801608224976,1.8519472724295067,0.07983670206470073,0.22902457812435748,0.20971056139487468,0,-0.9254700927670506,0.22902457812435748,1.0830246596181132,0,-0.9144956022484569,0.22902457812435748,1.4896512649963194,0,-0.9118606379407722,0.22902457812435748,1.505596873744854,0,-9332798.46655,9332798.46655,5073931.331555001,1.8393623911519885,0.7152777777777778,-140.17000000000553,0.3807659247502472,0.3807659247502472,9332798.46655,WITH,P60_90,I30_60,False,False,-0.0008053112640181714,0.0021368720843149003,-0.005754954585689531,historical,2021-01-04 02:20:00+00:00
