offset_min,N,corr,price_ratio_cv,ratio_median
180,42368,0.9977609863576962,2.123530228723069e-05,1.0000001017746913
180,42368,0.9977609863576962,2.123530228723069e-05,1.0000001017746913
176,42368,0.026179911649822047,0.0008719909544579475,1.0000010948778841
184,42368,0.023399525414417505,0.0008711807749428786,0.9999994134909866
178,42368,0.01945486367304803,0.0006211058072679019,1.0000006353288908
-75,42368,0.019279814528705273,0.006267402644694509,1.00013655374275
182,42368,0.017906357316474775,0.0006204305038417573,0.9999999520143834
-165,42368,0.016793178926686587,0.0070598761687065146,1.0001140027490516
-300,42368,0.01623077918483848,0.008137145236345187,1.0002454995730825
175,42368,0.015592588807696192,0.0009748800844657239,1.000002892252673
185,42368,0.01495692810607833,0.0009737048509579968,0.9999974753264589
162,42368,0.014368435676495121,0.0017961484090142732,1.0000052276049307
-45,42368,0.013799828586516832,0.005969058633371812,1.0000557428462717
160,42368,0.013147974957518275,0.0018864690368195626,1.0000028042952656
170,42368,0.012498783496755882,0.001368301050269814,1.0000063600205513
198,42368,0.012479269024325078,0.0017938811823971746,0.9999928925162984
135,42368,0.012362050746722855,0.0027888162879247252,0.999973821942828
200,42368,0.011896302494507596,0.001883051964942856,0.9999946338731951
120,42368,0.011841738187408713,0.0032271852840958007,1.0000011674751603
15,42368,0.011813628180867172,0.00526123871832332,1.0000182839148701
-90,42368,0.011813182164042759,0.006411182986358332,1.000127508017076
-210,42368,0.011791211503324388,0.007438039034957338,1.000136789911708
-135,42368,0.011564562120876953,0.0068007309422769315,1.0000479616263585
105,42368,0.011537656531756233,0.003595608976255223,1.0000132736840774
165,42368,0.010821027672674958,0.0016520759188519297,1.000010977149499
165,42368,0.010821027672674958,0.0016520759188519297,1.000010977149499
163,42368,0.010796800902454913,0.0017494909834878752,1.0000059544159345
255,42368,0.010460271983832616,0.003574883837797381,0.9999692982548871
161,42368,0.010181232648941189,0.0018419634717901754,1.0000046030859302
164,42368,0.009917470664442181,0.0017015328946766693,1.0000099696142146
190,42368,0.009675620423950693,0.0013672309507975521,0.9999935640856
30,42368,0.009655004271617454,0.005038419247143784,0.9999996016498525
0,42368,0.009388601757137077,0.0054630177137538006,1.000039365859858
197,42368,0.00915884346255002,0.0017476184736077152,0.9999920029172819
330,42368,0.008587833343406875,0.004999549998422878,0.9999695713792027
-60,42368,0.008560545968158655,0.006118939082571724,1.000119060202089
-270,42368,0.00846433858739335,0.00790831931502652,1.0001631846967127
225,42368,0.008097113847071414,0.0027780328393306295,1.0000179632222066
240,42368,0.007934321468702437,0.003209282155827764,0.9999863047432621
-180,42368,0.007841040609687084,0.007196096334302753,1.0001336048119258
196,42368,0.0076617536722194835,0.001700033404468095,0.9999875013065446
199,42368,0.00720414049443334,0.0018391356189232202,0.9999929550962738
195,42368,0.007180832028501009,0.0016508334169738467,0.9999881883259972
195,42368,0.007180832028501009,0.0016508334169738467,0.9999881883259972
-30,42368,0.006850816026477052,0.005813986420785759,1.0000661527358616
-120,42368,0.00671847267179375,0.006673474469531857,1.0000726626703351
-150,42368,0.006383230158280717,0.006932316621078295,1.0000646251410625
345,42368,0.006271610637102457,0.0052298046635237405,0.9999423520304543
174,42368,0.005863441994985017,0.0010685088820292657,1.0000026787132956
-345,42368,0.005355362064548457,0.008433581469585663,1.0003127369553306
-360,42368,0.005101945093381359,0.008531166933945006,1.000362393651574
90,42368,0.004558648601894918,0.00393150494775431,1.0000218092276665
167,42368,0.004541657725497502,0.0015475644367315678,1.0000043647382926
-105,42368,0.004519895055578233,0.0065478089434357935,1.0000829501774877
-195,42368,0.00407581723012113,0.007324365773059471,1.0001509737333354
186,42368,0.00399676033860334,0.0010670669003135698,0.9999982776964677
166,42368,0.0037859151546905945,0.0016011583519352382,1.0000074844943292
-15,42368,0.003668447504263087,0.005648811229529697,1.0000519739615092
168,42368,0.0033933556980509064,0.0014912578064364109,1.0000066725671646
-315,42368,0.0029445769933058065,0.008246591769678967,1.000272531799438
193,42368,0.0028635953739683494,0.001546609815086042,0.9999936674069118
-225,42368,0.0026129813681895573,0.007555477316752452,1.0001459205842846
270,42368,0.0019195279737819263,0.003902871649581759,0.9999489334092129
150,42368,0.001896914474108383,0.002292560901930927,0.9999879979788513
-285,42368,0.0017434174960881635,0.008026973460923502,1.000205946798528
360,42368,0.0017241902570094712,0.005434474775017298,0.9999291299178982
-255,42368,0.0016242766373402114,0.00779526098698103,1.000154767187519
188,42368,0.001374391860347721,0.0012291361712576823,0.9999977298864768
173,42368,0.00046255958635585664,0.0011534770410326744,1.0000058332572963
172,42368,0.0003652320445345313,0.0012307985682320005,1.000002891763958
192,42368,-0.0004993168401506194,0.0014905365938908326,0.9999936973424699
189,42368,-0.00053944908016361,0.0013006985361813097,0.9999935581945829
187,42368,-0.0005557030541757699,0.001151853986680677,0.9999945348156509
169,42368,-0.0006490943593569402,0.0014317559538797539,1.0000013475022205
194,42368,-0.0007868980023107878,0.0016000796304461889,0.9999924120579898
171,42368,-0.0010596224310922974,0.0013021632394871335,1.0000070098304614
45,42368,-0.001098421853933939,0.004788827820910604,0.9999809141459489
177,42368,-0.0012843413410701936,0.0007590127899542843,1.0000013952507636
-240,42368,-0.002221567111908832,0.007675198779937724,1.000138765047598
60,42368,-0.002668530227859162,0.004523837008027803,1.0000052779376014
75,42368,-0.0027095691611382804,0.004246766729738085,1.0000055994910504
210,42368,-0.002821631544973435,0.002282624245678053,1.0000100569108272
191,42368,-0.002993662139985375,0.0014309801515072454,0.9999976636640748
300,42368,-0.0030178874227705893,0.004489738582268141,0.9999584579315037
315,42368,-0.003499346915613489,0.004752952003626065,0.9999806839278003
285,42368,-0.004832522886215441,0.0042155213021120965,0.9999635442900086
183,42368,-0.005250803522533996,0.0007583751023312663,1.0
-330,42368,-0.007805934456788368,0.008342005057795643,1.0002954086452442
179,42368,-0.010207088449732303,0.00044479782374838697,1.0000002075342609
181,42368,-0.013053369266458848,0.00044448534642113207,1.0000001017438582
