episode_id,episode_start,episode_end,duration_h,signal_time,phase_h,ordinal,risk_pct
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-22 16:00:00,0,1,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-23 00:00:00,0,2,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-23 08:00:00,0,3,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-23 16:00:00,0,4,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-24 00:00:00,0,5,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-24 08:00:00,0,6,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-24 16:00:00,0,7,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-25 00:00:00,0,8,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-25 08:00:00,0,9,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-25 16:00:00,0,10,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-26 00:00:00,0,11,0.08333333333333333
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-26 08:00:00,0,12,0.08333333333333333
4,2024-03-24 16:00:00,2024-03-25 16:00:00,24.0,2024-03-24 16:00:00,0,1,0.08333333333333333
4,2024-03-24 16:00:00,2024-03-25 16:00:00,24.0,2024-03-25 00:00:00,0,2,0.08333333333333333
4,2024-03-24 16:00:00,2024-03-25 16:00:00,24.0,2024-03-25 08:00:00,0,3,0.08333333333333333
6,2024-04-22 16:00:00,2024-04-22 20:00:00,4.0,2024-04-22 16:00:00,0,1,0.08333333333333333
8,2024-06-02 16:00:00,2024-06-03 16:00:00,24.0,2024-06-02 16:00:00,0,1,0.08333333333333333
8,2024-06-02 16:00:00,2024-06-03 16:00:00,24.0,2024-06-03 00:00:00,0,2,0.08333333333333333
8,2024-06-02 16:00:00,2024-06-03 16:00:00,24.0,2024-06-03 08:00:00,0,3,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-24 16:00:00,0,1,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-25 00:00:00,0,2,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-25 08:00:00,0,3,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-25 16:00:00,0,4,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-26 00:00:00,0,5,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-26 08:00:00,0,6,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-26 16:00:00,0,7,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-27 00:00:00,0,8,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-27 08:00:00,0,9,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-27 16:00:00,0,10,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-28 00:00:00,0,11,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-28 08:00:00,0,12,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-28 16:00:00,0,13,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-29 00:00:00,0,14,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-29 08:00:00,0,15,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-29 16:00:00,0,16,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-30 00:00:00,0,17,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-30 08:00:00,0,18,0.08333333333333333
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-30 16:00:00,0,19,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-06 08:00:00,0,1,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-06 16:00:00,0,2,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-07 00:00:00,0,3,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-07 08:00:00,0,4,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-07 16:00:00,0,5,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-08 00:00:00,0,6,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-08 08:00:00,0,7,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-08 16:00:00,0,8,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-09 00:00:00,0,9,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-09 08:00:00,0,10,0.08333333333333333
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,2024-09-09 16:00:00,0,11,0.08333333333333333
14,2025-03-19 12:00:00,2025-03-19 20:00:00,8.0,2025-03-19 12:00:00,0,1,0.08333333333333333
16,2025-07-25 00:00:00,2025-08-07 12:00:00,324.0,2025-07-25 00:00:00,0,1,0.08333333333333333
16,2025-07-25 00:00:00,2025-08-07 12:00:00,324.0,2025-07-25 08:00:00,0,2,0.08333333333333333
16,2025-07-25 00:00:00,2025-08-07 12:00:00,324.0,2025-07-25 16:00:00,0,3,0.08333333333333333
16,2025-07-25 00:00:00,2025-08-07 12:00:00,324.0,2025-07-26 00:00:00,0,4,0.08333333333333333
