episode_id,episode_start,episode_end,duration_h,signal_time,phase_h,ordinal,risk_pct,entry_time,entry,atr_h1,risk_dist,sl,tp,exit_time,exit_price,exit_reason,gross_r,net_r_legacy,net_r_5bps,net_r_10bps,legacy_cost_r,cost5_r,cost10_r,mfe_r_48h,mae_r_48h,year,with_tp
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-22 20:00:00,4,1,0.08333333333333333,2024-01-22 20:01:00,39867.2,419.51353702070037,629.2703055310506,39237.92969446895,40811.10545829657,2024-01-23 09:09:00,39237.92969446895,SL,-0.9999999999999968,-1.0437014105993614,-1.031677325029942,-1.0633546500598872,0.04370141059936451,0.03167732502994518,0.06335465005989036,1.1019112039854335,-2.1011638216174413,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-23 04:00:00,4,2,0.08333333333333333,2024-01-23 04:01:00,40009.2,394.38487820799753,591.5773173119962,39417.622682688,40896.56597596799,2024-01-23 08:50:00,39417.622682688,SL,-0.9999999999999997,-1.0464858932133403,-1.0338156981591122,-1.0676313963182247,0.04648589321334066,0.03381569815911253,0.06763139631822505,0.9320844188304039,-2.475077994289937,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-23 12:00:00,4,3,0.08333333333333333,2024-01-23 12:01:00,38861.9,374.0404999566599,561.0607499349899,38300.83925006501,39703.49112490249,2024-01-23 23:26:00,39703.49112490249,TP,1.5000000000000033,1.4509856998494646,1.4653674757996356,1.4307349515992678,0.04901430015053883,0.03463252420036773,0.06926504840073545,3.0276578787534603,-0.564822971552939,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-23 20:00:00,4,4,0.08333333333333333,2024-01-23 20:01:00,39136.6,396.8253791796284,595.2380687694426,38541.36193123055,40029.45710315416,2024-01-24 00:46:00,40029.45710315416,TP,1.500000000000002,1.4537999979456109,1.4671252545381497,1.4342505090762974,0.04620000205439103,0.032874745461852366,0.06574949092370473,2.3923201063801027,-0.1769040078664427,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-24 04:00:00,4,5,0.08333333333333333,2024-01-24 04:01:00,39615.5,367.7857982028538,551.6786973042807,39063.82130269572,40443.01804595642,2024-01-24 10:45:00,40443.01804595642,TP,1.500000000000001,1.4501521444739933,1.4640954959892636,1.428190991978526,0.049847855526007845,0.035904504010737526,0.07180900802147505,1.713134845731998,-0.22150574346465504,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-24 12:00:00,4,6,0.08333333333333333,2024-01-24 12:01:00,40200.0,339.868807089104,509.803210633656,39690.196789366346,40964.704815950485,2024-01-24 18:22:00,39690.196789366346,SL,-0.9999999999999962,-1.053942382916375,-1.0394269780588767,-1.0788539561177573,0.05394238291637882,0.03942697805888052,0.07885395611776104,2.2557723765031144,-1.386221163891082,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-24 20:00:00,4,7,0.08333333333333333,2024-01-24 20:01:00,39807.1,329.4656818337354,494.1985227506031,39312.9014772494,40548.397784125904,2024-01-26 10:40:00,40548.397784125904,TP,1.5000000000000013,1.4443543460086845,1.4597255979454968,1.4194511958909923,0.05564565399131687,0.04027440205450454,0.08054880410900908,4.815878418157606,-0.6349674989990907,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-25 04:00:00,4,8,0.08333333333333333,2024-01-25 04:01:00,40009.1,289.7943496346064,434.69152445190963,39574.40847554809,40661.13728667786,2024-01-25 17:08:00,39574.40847554809,SL,-1.000000000000004,-1.0632632532568371,-1.0460201059250578,-1.0920402118501116,0.06326325325683306,0.04602010592505381,0.09204021185010762,5.130534815032341,-1.0899683415668082,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-25 12:00:00,4,9,0.08333333333333333,2024-01-25 12:01:00,40155.1,234.5880584707789,351.88208770616836,39803.21791229383,40682.92313155925,2024-01-25 13:03:00,39803.21791229383,SL,-0.9999999999999939,-1.0781511789340104,-1.0570576073675089,-1.1141152147350237,0.07815117893401635,0.057057607367514904,0.11411521473502981,5.923006804882808,-1.761385480120109,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-25 20:00:00,4,10,0.08333333333333333,2024-01-25 20:01:00,39961.9,266.52193003398827,399.7828950509824,39562.11710494902,40561.574342576474,2024-01-26 10:40:00,40561.574342576474,TP,1.4999999999999973,1.4312126648227554,1.450020498006917,1.4000409960138367,0.06878733517724178,0.04997950199308033,0.09995900398616066,5.696591895732746,-0.8302006016482417,2024,True
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,2024-01-26 04:00:00,4,11,0.08333333333333333,2024-01-26 04:01:00,40055.0,224.06041227421653,336.0906184113248,39718.90938158867,40559.13592761699,2024-01-26 10:40:00,40559.13592761699,TP,1.5000000000000073,1.4181768294218149,1.4404104164089255,1.3808208328178437,0.0818231705781924,0.059589583591081755,0.11917916718216351,6.499140054325306,-0.5180150544604792,2024,True
4,2024-03-24 16:00:00,2024-03-25 16:00:00,24.0,2024-03-24 20:00:00,4,1,0.08333333333333333,2024-03-24 20:01:00,65846.1,573.2359875694119,859.8539813541179,64986.246018645885,67135.88097203118,2024-03-24 22:10:00,67135.88097203118,TP,1.5000000000000013,1.468017825588606,1.461710882645271,1.4234217652905405,0.03198217441139525,0.03828911735473042,0.07657823470946085,6.748703996068557,-0.08001358543651224,2024,True
4,2024-03-24 16:00:00,2024-03-25 16:00:00,24.0,2024-03-25 04:00:00,4,2,0.08333333333333333,2024-03-25 04:01:00,67328.2,612.3882075412567,918.5823113118852,66409.61768868811,68706.07346696782,2024-03-25 14:11:00,68706.07346696782,TP,1.4999999999999951,1.4700625630807869,1.4633521138111982,1.4267042276224013,0.029937436919208166,0.03664788618879693,0.07329577237759385,4.703770088745991,-0.6359800235709572,2024,True
4,2024-03-24 16:00:00,2024-03-25 16:00:00,24.0,2024-03-25 12:00:00,4,3,0.08333333333333333,2024-03-25 12:01:00,66833.0,536.0733898320282,804.1100847480423,66028.88991525196,68039.16512712206,2024-03-25 13:59:00,68039.16512712206,TP,1.4999999999999978,1.4658007025137378,1.4584428791109212,1.4168857582218446,0.03419929748625995,0.04155712088907657,0.08311424177815314,5.98922969795738,-0.009327081132616351,2024,True
8,2024-06-02 16:00:00,2024-06-03 16:00:00,24.0,2024-06-02 20:00:00,4,1,0.08333333333333333,2024-06-02 20:01:00,67777.5,302.7302583703706,454.09538755555593,67323.40461244444,68458.64308133333,2024-06-03 01:51:00,68458.64308133333,TP,1.4999999999999873,1.4394400367111386,1.4253708561488974,1.3507417122978076,0.060559963288848724,0.0746291438510899,0.1492582877021798,7.41892582995644,-0.3767930806808134,2024,True
8,2024-06-02 16:00:00,2024-06-03 16:00:00,24.0,2024-06-03 04:00:00,4,2,0.08333333333333333,2024-06-03 04:01:00,68469.0,322.1348587202014,483.2022880803021,67985.7977119197,69193.80343212045,2024-06-03 06:30:00,69193.80343212045,TP,1.499999999999987,1.4430880178377048,1.429150790787818,1.3583015815756492,0.056911982162282,0.07084920921216885,0.1416984184243377,6.0446733636215795,-0.2808347628880546,2024,True
8,2024-06-02 16:00:00,2024-06-03 16:00:00,24.0,2024-06-03 12:00:00,4,3,0.08333333333333333,2024-06-03 12:01:00,69135.1,350.6771131914139,526.0156697871209,68609.08433021288,69924.12350468068,2024-06-03 13:32:00,69924.12350468068,TP,1.4999999999999925,1.4477201886188424,1.4342841820396843,1.3685683640793762,0.052279811381150065,0.06571581796030815,0.1314316359206163,4.362797786858217,-1.1033891827498166,2024,True
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-24 20:00:00,4,1,0.08333333333333333,2024-06-24 20:01:00,59554.8,644.0933425493048,966.1400138239571,58588.65998617605,61004.010020735936,2024-06-24 20:30:00,58588.65998617605,SL,-0.9999999999999979,-1.028463783309371,-1.0308209985860535,-1.0616419971721092,0.02846378330937326,0.030820998586055685,0.06164199717211137,3.0122963114643224,-1.383650382835282,2024,True
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-25 04:00:00,4,2,0.08333333333333333,2024-06-25 04:01:00,61282.1,616.1045530699776,924.1568296049663,60357.94317039503,62668.33524440745,2024-06-27 04:00:00,61027.0,TIME,-0.27603539986718684,-0.30579225402770305,-0.3091910819099172,-0.3423467639526475,0.029756854160516197,0.03315568204273035,0.0663113640854607,1.280085762614206,-0.7375371562111925,2024,True
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-25 12:00:00,4,3,0.08333333333333333,2024-06-25 12:01:00,61160.0,525.7091151539586,788.5636727309379,60371.43632726906,62342.845509096405,2024-06-25 19:03:00,62342.845509096405,TP,1.499999999999998,1.4651264686023842,1.4612206330858515,1.422441266171705,0.03487353139761378,0.038779366914146525,0.07755873382829305,1.6550343937100251,-0.703811270024569,2024,True
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,2024-06-25 20:00:00,4,4,0.08333333333333333,2024-06-25 20:01:00,62057.1,593.3539125062537,890.0308687593805,61167.06913124062,63392.14630313907,2024-06-26 10:48:00,61167.06913124062,SL,-0.9999999999999981,-1.0308978047450543,-1.0348623301608058,-1.0697246603216135,0.03089780474505611,0.03486233016080766,0.06972466032161533,0.4584110667630143,-1.6315164461925795,2024,True
