sample,accept_trades,original_signals,ev_trade,policy_ev_original_signal,cum_atr,t,pf,dd_atr,trigger_rate,long_n,short_n,window
2021,322,631,0.25922231522786965,0.1322814350291189,83.46958550337402,1.3748961331032388,1.3377600120472748,42.990998352891744,0.7981366459627329,162,160,2021
2022,268,529,0.38832848097321415,0.19673352155164725,104.0720329008214,1.8230057749146185,1.5179095853192173,32.55296879067333,0.7798507462686567,136,132,2022
2023,265,572,0.2658776478479302,0.12317758160786976,70.4575766797015,1.1363815492915021,1.3060415482470182,37.74720409650409,0.7962264150943397,133,132,2023
2024,253,583,0.021300218260592592,0.00924349094327603,5.388955219929926,0.11785839246053194,1.0253205830855283,37.20221588428246,0.8142292490118577,122,131,2024
2025_H1,128,256,0.02739957679386046,0.01369978839693023,3.5071458296141387,0.08535267026468445,1.028422791562214,37.648206425961796,0.8203125,68,60,2025_H1
2025_H2,132,309,0.02636451361135638,0.01126251066892894,3.4801157966990424,0.09106778250773248,1.0288805177912068,43.17205642639454,0.8181818181818182,57,75,2025_H2
2026_JAN_JUL,128,316,-0.14579075390879642,-0.05905448259596817,-18.661216500325942,-0.6811185395806719,0.8350932953814177,38.12520556180207,0.8203125,58,70,2026_JAN_JUL
AUG2026_REUSED_AUDIT,5,13,-0.9522572501440258,-0.366252788516933,-4.761286250720129,-2.513298895217446,0.07486986796239632,4.761286250720129,0.8,5,0,AUG2026_REUSED_AUDIT
ALL_PRE_AUG,1496,3196,0.16825815202527675,0.07875913499055508,251.71419542981403,1.9446133557849694,1.2016650958680797,74.85042231024437,0.8028074866310161,736,760,ALL_PRE_AUG
POOLED_RECENT,260,625,-0.05838884886010343,-0.024289761125803028,-15.181100703626893,-0.3233334817847187,0.9350298584272145,51.35178512156992,0.8192307692307692,115,145,POOLED_RECENT
