sample,accept_trades,original_signals,ev_trade,policy_ev_original_signal,cum_atr,t,pf,dd_atr,trigger_rate,long_n,short_n
ORIGIN_CLOSE1,1496,3196,0.16825815202527675,0.07875913499055508,251.71419542981403,1.9446133557849694,1.2016650958680797,74.85042231024437,0.8028074866310161,736,760
AUDIT_ORIGIN_CLOSE2,1496,3196,0.22904884854639582,0.10721435463873846,342.65707742540815,2.4089077392205334,1.228258789067168,72.96734537387647,0.7346256684491979,736,760
AUDIT_ENTRY_CLOSE2,1496,3196,0.18382634234987894,0.08604637301483695,275.0042081554189,2.2122510239145283,1.2599106055181992,71.43814344729765,0.8382352941176471,736,760
TIME_ONLY,1496,3196,0.3794282928490352,0.17760473282295264,567.6247261021566,2.637381398236814,1.2216149505697418,139.58965003389096,,736,760
HARD_SL15,1496,3196,0.19632141584816365,0.09189513082254469,293.69683810885283,2.028899527615415,1.1720025405410335,67.4956302217534,0.68048128342246,736,760
