flow_id,signal_time,passage_time,side,signal_close,entry,atr14,frozen_residual12_atr,time_only_net_atr,post_mae_atr,post_mfe_atr,time_to_mae_h,time_to_mfe_h,fp_fav05_time,fp_fav10_time,fp_fav15_time,mae_ge_05,mae_ge_10,mae_ge_15,mae_ge_20,wick_origin_any,origin_close1_trigger,origin_close1_time,origin_close1_net_atr,origin_close2_trigger,origin_close2_time,origin_close2_net_atr,entry_close2_trigger,entry_close2_time,entry_close2_net_atr,hard_sl15_trigger,hard_sl15_time,hard_sl15_net_atr
0,2021-01-01 00:00:00+00:00,2021-01-01 00:15:00+00:00,1,28786.75,28875.9425,178.38500000000073,2.321257392717985,2.2403202553465693,0.6931216189702119,3.758597976287213,0.0,1.25,2021-01-01 00:30:00+00:00,2021-01-01 00:45:00+00:00,2021-01-01 01:00:00+00:00,True,False,False,False,True,False,2021-01-01 12:00:00+00:00,2.2403202553465693,False,2021-01-01 12:00:00+00:00,2.2403202553465693,False,2021-01-01 12:00:00+00:00,2.2403202553465693,False,2021-01-01 12:00:00+00:00,2.2403202553465693
1,2021-01-01 12:00:00+00:00,2021-01-01 12:15:00+00:00,1,29290.02,29357.463571428572,134.88714285714326,-0.2406720962497808,-0.34949441596679265,5.414478770612468,2.3085701274080885,6.5,0.25,2021-01-01 12:15:00+00:00,2021-01-01 12:30:00+00:00,2021-01-01 12:30:00+00:00,True,True,True,True,True,True,2021-01-01 12:45:00+00:00,-0.8475404014996726,True,2021-01-01 15:45:00+00:00,-1.1958315655415657,True,2021-01-01 15:30:00+00:00,-1.647023567320834,True,2021-01-01 15:30:00+00:00,-1.6088223197170175
3,2021-01-02 13:00:00+00:00,2021-01-02 13:15:00+00:00,1,30814.73,30936.95142857143,244.44285714285743,6.140365846531456,6.077085307696789,1.6729939804803906,10.403448074338133,7.75,5.5,2021-01-02 13:30:00+00:00,2021-01-02 13:30:00+00:00,2021-01-02 13:30:00+00:00,True,True,True,False,True,False,2021-01-03 01:00:00+00:00,6.077085307696789,False,2021-01-03 01:00:00+00:00,6.077085307696789,False,2021-01-03 01:00:00+00:00,6.077085307696789,True,2021-01-02 21:00:00+00:00,-1.563280538834671
5,2021-01-03 13:00:00+00:00,2021-01-03 13:15:00+00:00,-1,34391.57,34210.451428571425,362.2371428571423,3.8055772461607575,3.7583561755124846,0.6005694769803632,4.997972914349713,0.0,5.25,2021-01-03 13:30:00+00:00,2021-01-03 13:30:00+00:00,2021-01-03 14:00:00+00:00,True,False,False,False,True,False,2021-01-04 01:00:00+00:00,3.7583561755124846,False,2021-01-04 01:00:00+00:00,3.7583561755124846,False,2021-01-04 01:00:00+00:00,3.7583561755124846,False,2021-01-04 01:00:00+00:00,3.7583561755124846
8,2021-01-05 01:00:00+00:00,2021-01-05 01:15:00+00:00,-1,32524.09,32352.47142857143,343.23714285714334,1.3969683600675922,1.349839906603515,1.539135791164795,7.145122489241082,0.75,4.75,2021-01-05 03:15:00+00:00,2021-01-05 03:15:00+00:00,2021-01-05 03:30:00+00:00,True,True,True,False,True,True,2021-01-05 01:15:00+00:00,-0.759081039348054,True,2021-01-05 01:30:00+00:00,-0.7054737873856416,True,2021-01-05 01:30:00+00:00,-0.7054737873856416,True,2021-01-05 02:00:00+00:00,-1.5471284534640835
11,2021-01-06 13:15:00+00:00,2021-01-06 13:30:00+00:00,-1,34627.33,34426.46892857143,401.7221428571429,-6.406072249653728,-6.448920857255642,7.501530908890477,0.7791179404385632,11.0,0.5,2021-01-06 14:00:00+00:00,,,True,True,True,True,True,True,2021-01-06 15:15:00+00:00,-0.7112983712089604,True,2021-01-06 15:30:00+00:00,-0.9093457066984809,True,2021-01-06 13:45:00+00:00,-0.5397618969934759,True,2021-01-06 16:00:00+00:00,-1.5428486076019048
13,2021-01-07 13:15:00+00:00,2021-01-07 13:30:00+00:00,-1,38389.09,38210.55607142857,357.06785714285746,-1.0307954670480974,-1.0843014818111976,6.5955640684543875,4.256882945418529,4.75,5.25,2021-01-07 18:30:00+00:00,2021-01-07 18:30:00+00:00,2021-01-07 18:45:00+00:00,True,True,True,True,True,True,2021-01-07 14:00:00+00:00,-1.1105709984096759,True,2021-01-07 14:15:00+00:00,-0.9616917337640908,True,2021-01-07 13:45:00+00:00,-0.07692993378610107,True,2021-01-07 15:45:00+00:00,-1.5535060147631023
14,2021-01-08 01:45:00+00:00,2021-01-08 02:00:00+00:00,-1,38739.18,38440.298214285714,597.7635714285706,-4.896537570396323,-4.928691000323827,5.788411925880883,3.179397850798642,10.25,0.75,2021-01-08 02:15:00+00:00,2021-01-08 02:15:00+00:00,2021-01-08 02:15:00+00:00,True,True,True,True,True,True,2021-01-08 04:30:00+00:00,-0.6200644410893521,True,2021-01-08 07:30:00+00:00,-0.8489509215301376,True,2021-01-08 04:15:00+00:00,-0.526933975030736,True,2021-01-08 09:45:00+00:00,-1.5321534299275064
16,2021-01-09 02:15:00+00:00,2021-01-09 02:30:00+00:00,-1,40316.06,40120.89714285714,390.3257142857125,-2.748404263106289,-2.799798388159359,3.6353814396767747,3.555023643257654,11.5,4.5,2021-01-09 02:30:00+00:00,2021-01-09 02:30:00+00:00,2021-01-09 05:30:00+00:00,True,True,True,True,True,True,2021-01-09 04:30:00+00:00,-0.7391860058266516,True,2021-01-09 09:15:00+00:00,-1.2323126253531926,True,2021-01-09 03:30:00+00:00,-0.3365735356552141,True,2021-01-09 09:00:00+00:00,-1.551394125053073
18,2021-01-10 02:15:00+00:00,2021-01-10 02:30:00+00:00,1,40973.82,41129.618571428575,311.5971428571434,-4.286331251891175,-4.352329319450936,8.439161371367788,0.3703545787142522,9.5,0.0,,,,True,True,True,True,True,True,2021-01-10 03:00:00+00:00,-1.1703039937098458,True,2021-01-10 03:15:00+00:00,-1.9718838724910444,True,2021-01-10 03:00:00+00:00,-1.1703039937098458,True,2021-01-10 03:00:00+00:00,-1.5659980675597702
