group,n,resid_mean,median_mae,median_mfe,mae_ge_05,mae_ge_10,mae_ge_15,mae_ge_20,fav05_rate,fav10_rate,fav15_rate,median_t_mae,median_t_mfe
ALL,1496,0.5268937278381358,2.4901748236470285,3.1900274628306735,0.9699197860962567,0.7727272727272727,0.68048128342246,0.5848930481283422,0.9217914438502673,0.8181818181818182,0.7406417112299465,4.5,5.0
WINNER,772,4.1986085665728785,1.2463040946760415,5.353196519186787,0.9430051813471503,0.5712435233160622,0.4326424870466321,0.3121761658031088,1.0,0.9896373056994818,0.9650259067357513,1.25,8.25
LOSER,724,-3.3882497189895187,4.2190998499379315,1.5206820832868604,0.9986187845303868,0.9875690607734806,0.9447513812154696,0.8756906077348067,0.8383977900552486,0.6353591160220995,0.5013812154696132,8.75,1.5
