feature,std_coefficient,abs_coefficient
aligned_ret30d,-0.20485729241239795,0.20485729241239795
accept_streak_signed,-0.17039349491039818,0.17039349491039818
oriented_pos30d,0.1689779625421426,0.1689779625421426
eff90d,0.14884655616208492,0.14884655616208492
accept_ewm20,0.1324679158871643,0.1324679158871643
same_dir_accept_rate_10,-0.1268741854429958,0.1268741854429958
accept_rate_10,0.11450241962568732,0.11450241962568732
eff60d,-0.11020636020933587,0.11020636020933587
rv90d,0.10905506015077683,0.10905506015077683
known_impulses_30d,0.07943612441413549,0.07943612441413549
aligned_ret90d,-0.07270699514853164,0.07270699514853164
aligned_ret60d,0.05637707164931839,0.05637707164931839
same_dir_mean_cont_10,-0.05510610412881093,0.05510610412881093
rv30d,-0.045220560265703647,0.045220560265703647
rv60d,-0.03724181443120505,0.03724181443120505
accept_rate_20,-0.03056935997203855,0.03056935997203855
mean_cont_10,0.02833193328194235,0.02833193328194235
eff30d,-0.024546281965552887,0.024546281965552887
rv30_90_ratio,-0.018079142082409943,0.018079142082409943
oriented_pos90d,-0.014359918322454307,0.014359918322454307
mean_cont_20,0.009788601061356945,0.009788601061356945
