family,bucket,train_n,signals,on_n,coverage,base_filled,gated_filled,base_cum_R,gated_cum_R,delta_cum_R,base_ev_per_opportunity,gated_ev_per_opportunity,gated_ev_per_traded_signal,base_pf,gated_pf,base_maxdd_R,gated_maxdd_R,base_max_consecutive_losses,gated_max_consecutive_losses,threshold
SLOW_ONLY,2022,47,33,9,0.2727272727272727,20,3,-2.789905950092312,-2.260456211948406,0.5294497381439061,-0.08454260454825188,-0.06849867308934564,-0.2511618013276007,0.7811072930542744,0.0,5.87259804938012,2.260456211948406,2,1,0.23270405764195234
SLOW_ONLY,2023,80,9,7,0.7777777777777778,6,5,1.5706208683097895,1.0276162753214197,-0.5430045929883698,0.17451342981219883,0.11417958614682441,0.14680232504591711,1.698167931773271,1.4567930708636159,2.249631924973383,2.249631924973383,1,1,0.07331343308671476
SLOW_ONLY,2024,89,33,15,0.45454545454545453,24,10,-5.6610114576703765,1.9706971948217018,7.631708652492078,-0.17154580174758716,0.05971809681277884,0.13137981298811352,0.6711993855615386,1.374549952976231,9.482021730643114,2.7557142694151655,4,1,0.07108132918425292
SLOW_ONLY,2025,122,27,8,0.2962962962962963,18,4,4.962343155673568,-1.9113049373973579,-6.873648093070926,0.18379048724716918,-0.07078907175545769,-0.23891311717466973,1.555518398122641,0.427216752836874,4.061983193932155,3.336872973962919,3,2,-0.00044102892144672404
SLOW_ONLY,2026_JAN_JUL,149,22,8,0.36363636363636365,15,3,6.172553540376626,1.7599613614293954,-4.41259217894723,0.2805706154716648,0.07999824370133615,0.21999517017867443,1.9289693029183879,2.651327110402933,2.2803130256894093,1.065786027699839,2,1,0.03492353630110975
SLOW_ONLY,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
ACCEPTANCE_ONLY,2022,47,33,18,0.5454545454545454,20,11,-2.789905950092312,1.8191757386305567,4.609081688722869,-0.08454260454825188,0.05512653753425929,0.1010653188128087,0.7811072930542744,1.3497261493667714,5.87259804938012,3.0781340200108946,2,2,0.24929890947938688
ACCEPTANCE_ONLY,2023,80,9,3,0.3333333333333333,6,1,1.5706208683097895,-1.1432106942041529,-2.7138315625139424,0.17451342981219883,-0.1270234104671281,-0.3810702314013843,1.698167931773271,0.0,2.249631924973383,1.1432106942041529,1,1,0.08975041201900547
ACCEPTANCE_ONLY,2024,89,33,12,0.36363636363636365,24,10,-5.6610114576703765,-0.5512852558457615,5.109726201824615,-0.17154580174758716,-0.016705613813507925,-0.04594043798714679,0.6711993855615386,0.9125966193743796,9.482021730643114,4.174878263489719,4,1,0.13466600601557652
ACCEPTANCE_ONLY,2025,122,27,4,0.14814814814814814,18,3,4.962343155673568,-3.353923089795933,-8.316266245469501,0.18379048724716918,-0.12421937369614566,-0.8384807724489832,1.555518398122641,0.0,4.061983193932155,3.353923089795933,3,1,-0.018853368456601398
ACCEPTANCE_ONLY,2026_JAN_JUL,149,22,12,0.5454545454545454,15,6,6.172553540376626,-1.4670330775881262,-7.639586617964752,0.2805706154716648,-0.0666833217085512,-0.1222527564656772,1.9289693029183879,0.6651358124593563,2.2803130256894093,2.2803130256894093,2,2,0.023749904581169618
ACCEPTANCE_ONLY,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
SLOW_PLUS_ACCEPTANCE,2022,47,33,13,0.3939393939393939,20,7,-2.789905950092312,1.083164055003794,3.873070005096106,-0.08454260454825188,0.03282315318193315,0.08332031192336878,0.7811072930542744,1.3509600322735003,5.87259804938012,3.086288908703124,2,1,0.29342913919925184
SLOW_PLUS_ACCEPTANCE,2023,80,9,3,0.3333333333333333,6,1,1.5706208683097895,-1.1432106942041529,-2.7138315625139424,0.17451342981219883,-0.1270234104671281,-0.3810702314013843,1.698167931773271,0.0,2.249631924973383,1.1432106942041529,1,1,0.036048496160210663
SLOW_PLUS_ACCEPTANCE,2024,89,33,10,0.30303030303030304,24,8,-5.6610114576703765,1.6325155646249265,7.293527022295303,-0.17154580174758716,0.04947016862499777,0.1632515564624927,0.6711993855615386,1.391100665460314,9.482021730643114,3.12550685291846,4,1,0.11774871840932313
SLOW_PLUS_ACCEPTANCE,2025,122,27,5,0.18518518518518517,18,4,4.962343155673568,-4.454571380155998,-9.416914535829566,0.18379048724716918,-0.1649841251909629,-0.8909142760311995,1.555518398122641,0.0,4.061983193932155,4.454571380155998,3,2,-0.0018538636032639725
SLOW_PLUS_ACCEPTANCE,2026_JAN_JUL,149,22,12,0.5454545454545454,15,6,6.172553540376626,3.557571592348839,-2.6149819480277867,0.2805706154716648,0.16170779965221996,0.29646429936240326,1.9289693029183879,2.6426364048812943,2.2803130256894093,1.0999833304959745,2,1,0.015155710832286631
SLOW_PLUS_ACCEPTANCE,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
