observed,ci_lo,ci_hi,p_positive,n_a,n_b,weeks,horizon_h,metric
-0.02411583915527247,-0.09668163884333145,0.05320658692001142,0.2676,167,4951,210,8,momentum_flip_8h
-0.03694944627504418,-0.11246356628623196,0.04197545630987425,0.1748,162,4743,210,12,momentum_flip_12h
